# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100 -16201.5
200 -16287.1
300 -16300
400 -16212.9
500 -16134.4
600 -16131.5
700 -16181.1
800 -16272.1
900 -16345.4
1000 -16308
1100 -16242.9
1200 -16201.1
1300 -16191.2
1400 -16221.1
1500 -16236.2
1600 -16190.7
1700 -16134.3
1800 -16127.9
1900 -16223.6
2000 -16270.9
2100 -16253.3
2200 -16221.4
2300 -16107.5
2400 -16018.9
2500 -16040.2
2600 -16125.7
2700 -16181.2
2800 -16176.3
2900 -16134.4
3000 -16143.6
3100 -16178.3
3200 -16172.2
3300 -16097.5
3400 -16042.5
3500 -16073.8
3600 -16096.8
3700 -16159.8
3800 -16243.2
3900 -16262.4
4000 -16190.6
4100 -16111.7
4200 -16171.7
4300 -16251.5
4400 -16235.8
4500 -16200.3
4600 -16135.3
4700 -16107.6
4800 -16140.5
4900 -16161.6
5000 -16166.2
5100 -16202
5200 -16180
5300 -16090.2
5400 -16068.5
5500 -16150.4
5600 -16179.5
5700 -16196.2
5800 -16209.7
5900 -16225.9
6000 -16250.9
6100 -16228.8
6200 -16193.5
6300 -16202.1
6400 -16199.9
6500 -16117.8
6600 -16094.5
6700 -16192.1
6800 -16248.8
6900 -16262.2
7000 -16250
7100 -16174.2
7200 -16096.9
7300 -16127.3
7400 -16236.2
7500 -16275
7600 -16210.1
7700 -16148.4
7800 -16188.6
7900 -16269.5
8000 -16298.7
8100 -16287.5
8200 -16243.1
8300 -16215.2
8400 -16103.8
8500 -16059.7
8600 -16125.3
8700 -16203.4
8800 -16216.6
8900 -16217.3
9000 -16274
9100 -16367.2
9200 -16357.2
9300 -16270
9400 -16240.5
9500 -16214.3
9600 -16222.2
9700 -16246.9
9800 -16282.1
9900 -16285.2
10000 -16225.8
10100 -16135.7
10200 -16129.4
10300 -16202.9
10400 -16252.7
10500 -16219
10600 -16183.2
10700 -16157.9
10800 -16140.9
10900 -16184.8
11000 -16195.2
11100 -16101.2
11200 -16040.3
11300 -16056.7
11400 -16123.3
11500 -16170.1
11600 -16200.2
11700 -16191.6
11800 -16147.4
11900 -16151.9
12000 -16172.3
12100 -16203.4
12200 -16271.6
12300 -16328.1
12400 -16304.3
12500 -16224.9
12600 -16154.4
12700 -16196.8
12800 -16284.8
12900 -16331.6
13000 -16340.1
13100 -16307.5
13200 -16237.7
13300 -16189.7
13400 -16204.5
13500 -16223.3
13600 -16178.8
13700 -16095.7
13800 -16078.8
13900 -16114.9
14000 -16175.5
14100 -16231.7
14200 -16284.7
14300 -16236.2
14400 -16130.7
14500 -16150
14600 -16235.6
14700 -16288.6
14800 -16258.6
14900 -16219.9
15000 -16134
15100 -16030.8
15200 -16079.2
15300 -16134.5
15400 -16177.7
15500 -16234.6
15600 -16304.9
15700 -16354.6
15800 -16349.1
15900 -16242
16000 -16213.7
16100 -16208.7
16200 -16163.9
16300 -16094.1
16400 -16084.4
16500 -16203.9
16600 -16274.3
16700 -16256
16800 -16200.1
16900 -16151
17000 -16055.7
17100 -16054
17200 -16171.1
17300 -16233.6
17400 -16210.9
17500 -16205.4
17600 -16221.4
17700 -16192.6
17800 -16166.2
17900 -16117
18000 -16127.1
18100 -16244.1
18200 -16271.7
18300 -16196
18400 -16158.4
18500 -16196.4
18600 -16287.2
18700 -16304.1
18800 -16291
18900 -16278.9
19000 -16246.1
19100 -16188
19200 -16202.9
19300 -16261.4
19400 -16308.2
19500 -16365.7
19600 -16351.5
19700 -16270.1
19800 -16172.6
19900 -16155.6
20000 -16214.6
20100 -16264.7
20200 -16276.5
20300 -16260.3
20400 -16229.4
20500 -16228.2
20600 -16279.8
20700 -16324.5
20800 -16290.7
20900 -16284.4
21000 -16297.9
21100 -16320.9
21200 -16377.9
21300 -16351.2
21400 -16257.2
21500 -16223.6
21600 -16250.2
21700 -16294.4
21800 -16371.9
21900 -16407.5
22000 -16303
22100 -16211.2
22200 -16175.5
22300 -16206.4
22400 -16283.9
22500 -16362
22600 -16345.2
22700 -16290.4
22800 -16245.5
22900 -16190.7
23000 -16167.8
23100 -16146.4
23200 -16054
23300 -16011.1
23400 -16100.3
23500 -16131.1
23600 -16161.8
23700 -16236.9
23800 -16276.3
23900 -16263.9
24000 -16273.1
24100 -16273.3
24200 -16170.1
24300 -16130.6
24400 -16170.8
24500 -16212.1
24600 -16180.9
24700 -16176.6
24800 -16206.6
24900 -16223.4
25000 -16174.2
25100 -16063.1
25200 -16068.5
25300 -16089.5
25400 -16023.8
25500 -15985.5
25600 -16060.7
25700 -16099.6
25800 -16108.8
25900 -16124.2
26000 -16194.8
26100 -16242.1
26200 -16151
26300 -16057.1
26400 -16050.2
26500 -16072.1
26600 -16086.6
26700 -16172.2
26800 -16214.3
26900 -16175.3
27000 -16069.8
27100 -16069.9
27200 -16098.1
27300 -16135.8
27400 -16243.2
27500 -16286.1
27600 -16236.4
27700 -16175.7
27800 -16172.7
27900 -16163.4
28000 -16106.1
28100 -15998.7
28200 -15997.9
28300 -16062.9
28400 -16090.3
28500 -16137.9
28600 -16192.7
28700 -16217.5
28800 -16261.6
28900 -16249.6
29000 -16148.6
29100 -16070.7
29200 -16075.5
29300 -16157.6
29400 -16199.6
29500 -16191.6
29600 -16169.5
29700 -16123.3
29800 -16002.8
29900 -16028.9
30000 -16104.9
30100 -16100.3
30200 -16075.2
30300 -16075
30400 -16197.8
30500 -16246.1
30600 -16228.5
30700 -16193.2
30800 -16144.5
30900 -16127.5
31000 -16131.8
31100 -16180.8
31200 -16226.7
31300 -16222.7
31400 -16131
31500 -16088.3
31600 -16144.3
31700 -16251.7
31800 -16277.4
31900 -16228.1
32000 -16165.2
32100 -16113
32200 -16082.4
32300 -16003
32400 -15985.6
32500 -16090.9
32600 -16145.6
32700 -16184.1
32800 -16230.5
32900 -16214.8
33000 -16149.4
33100 -16090.9
33200 -16088.8
33300 -16185.9
33400 -16277.5
33500 -16252.3
33600 -16170.7
33700 -16142.2
33800 -16175.6
33900 -16168.6
34000 -16126
34100 -16118.8
34200 -16130.6
34300 -16138.2
34400 -16158.9
34500 -16118.2
34600 -16027.3
34700 -16028.4
34800 -16113
34900 -16147.2
35000 -16165.5
35100 -16219.9
35200 -16170.9
35300 -16094.5
35400 -16128.9
35500 -16129
35600 -16094.3
35700 -16157.1
35800 -16238.8
35900 -16217.1
36000 -16219.4
36100 -16178.9
36200 -16119.8
36300 -16096.7
36400 -16175.9
36500 -16247.9
36600 -16233
36700 -16175
36800 -16132.1
36900 -16122.3
37000 -16119.7
