# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100 -16156.2 -20010.1 298.43 -187.05
200 -16092.8 -19983.8 301.304 -165.119
300 -16019.7 -19922.1 302.191 122.521
400 -16048.7 -19968.8 303.564 -46.0431
500 -16160.5 -19986.1 296.234 -10.039
600 -16161 -19981.7 295.868 -308.568
700 -16114 -19966.1 298.294 13.6569
800 -16065 -19944.2 300.392 321.125
900 -16036.8 -19952.1 303.182 0.835324
1000 -16107.8 -19931 296.06 47.7936
1100 -16172.4 -20008.1 297.023 79.0898
1200 -16199.8 -20042.7 297.582 172.22
1300 -16248.5 -20089.8 297.46 17.7861
1400 -16349.9 -20166.7 295.557 -140.949
1500 -16373.5 -20169 293.908 -297.237
1600 -16299.7 -20136.1 297.076 -50.5746
1700 -16232.7 -20074.9 297.524 -222.68
1800 -16206 -20035.8 296.565 5.97737
1900 -16172 -20053.4 300.554 348.322
2000 -16201.8 -20042.5 297.405 116.12
2100 -16297.5 -20092.6 293.877 -61.1988
2200 -16318.8 -20128.1 294.979 72.9147
2300 -16246.3 -20087.6 297.459 -54.0621
2400 -16124.1 -19999.2 300.074 -34.1512
2500 -16107.2 -19978 299.744 17.498
2600 -16146.9 -20007.3 298.931 -90.2571
2700 -16216.8 -20048.1 296.679 -136.941
2800 -16258.7 -20053.6 293.867 -269.258
2900 -16171.6 -20023.2 298.249 -30.1108
3000 -16094 -19975.5 300.569 41.078
3100 -16097.4 -19941.8 297.703 -167.312
3200 -16114.2 -20002.4 301.089 38.6524
3300 -16205.6 -20006 294.29 -18.7089
3400 -16247.6 -20100.4 298.345 32.921
3500 -16261.2 -20081.4 295.818 120.405
3600 -16178.8 -20039.2 298.937 115.469
3700 -16074.6 -19966.3 301.357 -103.252
3800 -16094.6 -19960 299.32 -181.685
3900 -16148.3 -19978 296.559 -443.787
4000 -16198.2 -20033.2 296.973 -219.27
4100 -16285.7 -20072.3 293.215 -131.042
4200 -16293.9 -20092.1 294.119 -152.16
4300 -16179.2 -20076.8 301.813 -125.749
4400 -16160.8 -20020 298.842 -247.677
4500 -16175.2 -20027.5 298.307 -50.7207
4600 -16195.8 -20014.6 295.72 43.9361
4700 -16222.4 -20054.5 296.739 -223.459
4800 -16256 -20090.2 296.908 -242.849
4900 -16247.8 -20033.6 293.16 -109.408
5000 -16144.8 -20009.6 299.276 315.701
5100 -16107.1 -19943.1 297.046 -62.6846
5200 -16081.5 -19961.4 300.442 102.498
5300 -16124.9 -19988.4 299.172 128.643
5400 -16228.6 -20028.1 294.215 -318.069
5500 -16216.6 -20039.4 296.024 -262.229
5600 -16166.2 -20046 300.438 -53.825
5700 -16180.7 -20061.1 300.485 93.9456
5800 -16289.9 -20117.6 296.396 -289.206
5900 -16367 -20129.3 291.341 -441.858
6000 -16293.3 -20080.4 293.254 -270.14
6100 -16194.9 -20035.4 297.393 11.2554
6200 -16121.9 -19994.3 299.865 32.9584
6300 -16099.8 -19961 298.993 -85.418
6400 -16124.7 -19981.2 298.63 2.11121
6500 -16204.3 -20035.2 296.646 -93.712
6600 -16286.4 -20085.8 294.209 -179.397
6700 -16257 -20059.6 294.459 -204.789
6800 -16188.8 -20053 299.227 -235.462
6900 -16188.7 -20080.8 301.387 -116.428
7000 -16241.7 -20059.8 295.666 -68.9235
7100 -16245.3 -20042.9 294.072 105.732
7200 -16152.4 -19984.3 296.727 116.377
7300 -16108.3 -19957.5 298.068 75.1113
7400 -16090.2 -19957.3 299.452 -20.5262
7500 -16112.9 -20008 301.62 -15.2166
7600 -16218.9 -20053.2 296.908 2.95856
7700 -16243.3 -20062.3 295.726 -102.406
7800 -16201.7 -20046.4 297.713 -196.544
