# Time-averaged data for fix PEAve
# TimeStep v_PotEn
36200 -19986.9
36300 -19992.7
36400 -20017.1
36500 -20049
36600 -20057.3
36700 -20002.4
36800 -19984.8
36900 -19968.3
37000 -19981.6
37100 -20007.4
37200 -20055.1
37300 -20111
37400 -20095.7
37500 -20001.8
37600 -19982.9
37700 -19998.1
37800 -20045.2
37900 -20110.9
38000 -20090
38100 -20079.1
38200 -20075.5
38300 -20064
38400 -20069.8
38500 -20031.5
38600 -19989.4
38700 -20014.3
38800 -20009.8
38900 -20027.4
39000 -20024
39100 -20032.8
39200 -20011.5
39300 -20051
39400 -20045
39500 -20021.7
39600 -20030.1
39700 -20041.7
39800 -20064.2
39900 -20047.2
40000 -20061.7
40100 -20016
40200 -20031
40300 -19987.6
40400 -20010.8
40500 -20090.3
40600 -20084.5
40700 -20047.1
40800 -20000.2
40900 -20003.6
41000 -20011.5
41100 -20048.3
41200 -20092.3
41300 -20138.6
41400 -20138.8
41500 -20071.9
41600 -20001.3
41700 -19987
41800 -19971.1
41900 -19962.7
42000 -19978.8
42100 -19995.7
42200 -19943.2
42300 -19920.3
42400 -19951.5
42500 -19993.1
42600 -19961.8
42700 -19959.2
42800 -19945.7
42900 -19939.8
43000 -19967.6
43100 -20003.8
43200 -20013.9
43300 -19970.5
43400 -19940.7
43500 -19897.6
43600 -19983
43700 -20051.4
43800 -20081
43900 -20075.8
44000 -20069.8
44100 -20026.2
44200 -19963.2
44300 -19933.3
44400 -19949.7
44500 -19945.8
44600 -19991.5
44700 -19985.5
44800 -19949
44900 -19934.4
45000 -20001.4
45100 -20033.2
45200 -20065.5
45300 -20088.5
45400 -20116.7
45500 -20129.3
45600 -20065.4
45700 -20089.2
45800 -20096.8
45900 -20078.6
46000 -20055.7
46100 -20037.5
46200 -19979.5
46300 -20000.8
46400 -20031.3
46500 -20053.1
46600 -20074.3
46700 -20042.5
46800 -20027.7
46900 -19983.5
47000 -19957.5
47100 -19954.7
47200 -19932.5
47300 -19989.4
47400 -20029.1
47500 -19999
47600 -19970
47700 -19974.4
47800 -19961.2
47900 -19928.7
48000 -19916.3
48100 -19929.8
48200 -19936.4
48300 -20016.2
48400 -20046.1
48500 -20035.1
48600 -20034.7
48700 -20033.7
48800 -20013.2
48900 -20041.4
49000 -20035.4
49100 -20099
49200 -20052.2
49300 -20009.3
49400 -19950.9
49500 -19973.9
49600 -20006.3
49700 -20092
49800 -20076.1
49900 -20045.1
50000 -20058
50100 -20059.2
50200 -20067.4
50300 -20027.3
50400 -19975.2
50500 -19964.8
50600 -20020.3
50700 -20065
50800 -20078.1
50900 -20075.3
51000 -20001.8
51100 -19928.2
51200 -19924.7
51300 -19972.2
51400 -20010.1
51500 -20022.1
51600 -20014.6
51700 -19988.7
51800 -19944.5
51900 -19958
52000 -19950.6
52100 -19979.1
52200 -19994.2
52300 -20035.3
52400 -20084.9
52500 -20113
52600 -20110.5
52700 -20043.9
52800 -19976.2
52900 -19990.8
53000 -20042.8
