#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_all2	MSD_bulkvisc
 10 1.01806e+09 1.01615e+09 1.01968e+09 1.02063e+09 1.02611e+09 1.0199e+09 1.02221e+09 1.02051e+09 1.02009e+09 1.16729e+09
 20 3.24876e+09 3.23905e+09 3.25585e+09 3.25791e+09 3.28048e+09 3.25565e+09 3.26468e+09 3.25796e+09 3.25628e+09 4.3474e+09
 30 6.74715e+09 6.72782e+09 6.76368e+09 6.76762e+09 6.81743e+09 6.76217e+09 6.78241e+09 6.76793e+09 6.76431e+09 9.36903e+09
 40 1.1016e+10 1.0987e+10 1.10464e+10 1.10512e+10 1.11375e+10 1.10408e+10 1.10765e+10 1.10525e+10 1.10465e+10 1.58873e+10
 50 1.56603e+10 1.56224e+10 1.57094e+10 1.57129e+10 1.58448e+10 1.5696e+10 1.57512e+10 1.57164e+10 1.57076e+10 2.36144e+10
 60 2.08373e+10 2.07968e+10 2.09111e+10 2.09119e+10 2.10968e+10 2.08857e+10 2.09648e+10 2.09182e+10 2.09066e+10 3.24311e+10
 70 2.59798e+10 2.59401e+10 2.6084e+10 2.60798e+10 2.63261e+10 2.60433e+10 2.61497e+10 2.60904e+10 2.60755e+10 4.19941e+10
 80 3.1456e+10 3.14233e+10 3.15949e+10 3.15858e+10 3.19017e+10 3.15378e+10 3.16751e+10 3.16016e+10 3.15833e+10 5.22543e+10
 90 3.6942e+10 3.69198e+10 3.71196e+10 3.7106e+10 3.7498e+10 3.70449e+10 3.72163e+10 3.71273e+10 3.71051e+10 6.29385e+10
 100 4.25997e+10 4.25906e+10 4.28178e+10 4.28013e+10 4.32758e+10 4.27252e+10 4.29341e+10 4.28282e+10 4.28017e+10 7.39612e+10
