# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100 -16170.6 -20003.4 296.796 -13.4666 0.871407
200 -16075.3 -19988.3 303.003 -190.015 0.869631
300 -15995 -19869 299.99 -47.2375 0.869229
400 -16012.6 -19911.7 301.933 36.8466 0.869642
500 -16129.7 -19972.1 297.542 106.066 0.869792
600 -16145.5 -19955.5 295.03 -343.004 0.869401
700 -16101.2 -19988.9 301.047 27.0598 0.87174
800 -16109.9 -19976.9 299.446 121.82 0.874463
900 -16196.8 -20033 297.06 269.415 0.875611
1000 -16268.8 -20063.6 293.858 194.077 0.874183
1100 -16241.2 -20071.8 296.631 -217.653 0.871134
1200 -16218.8 -20084 299.307 -204.517 0.869978
1300 -16224.7 -20070.2 297.777 1.70313 0.870714
1400 -16214.2 -20060.5 297.841 -41.831 0.871529
1500 -16137.7 -20019.5 300.594 -63.8144 0.87279
1600 -16047.9 -19981.8 304.621 79.4104 0.874812
1700 -16107.8 -20000 301.393 233.017 0.876064
1800 -16188.2 -20025.1 297.109 84.0668 0.875112
1900 -16185.4 -19991.8 294.753 -154.284 0.873404
2000 -16124.3 -20024.3 302.005 91.1663 0.872669
2100 -16144.2 -20023 300.357 45.4524 0.871126
2200 -16252.2 -20077.6 296.23 -53.6715 0.86883
2300 -16269.3 -20057.9 293.374 -70.4016 0.866795
2400 -16204.7 -20061.5 298.65 -173.918 0.865725
2500 -16154.2 -19998.7 297.697 73.7486 0.865607
2600 -16089.4 -19941.9 298.323 -234.289 0.865396
2700 -16020.5 -19937.7 303.335 -262.56 0.867391
2800 -16076.2 -19929.8 298.409 66.4291 0.872266
2900 -16196.9 -20036.5 297.325 207.353 0.877483
3000 -16241.6 -20115.7 299.994 13.8855 0.881367
3100 -16282.1 -20110.1 296.422 308.728 0.88428
3200 -16294.3 -20124.6 296.607 331.981 0.884491
3300 -16271.7 -20089.8 295.661 54.7209 0.881976
3400 -16174.9 -20041.4 299.406 59.8287 0.878227
3500 -16122.6 -19971.1 298.01 -198.734 0.874197
3600 -16086.4 -19903.3 295.569 -281.9 0.872123
3700 -16024.8 -19910.2 300.872 -45.6921 0.872903
3800 -16023.5 -19913.5 301.231 59.0723 0.874295
3900 -16058.6 -19932.4 299.974 76.3774 0.874878
4000 -16098.7 -19981.1 300.639 -64.49 0.874839
4100 -16175.4 -19996.5 295.885 -11.0024 0.875236
4200 -16205 -20026.5 295.924 -130.312 0.876121
4300 -16170.5 -20008.7 297.218 10.9343 0.877894
4400 -16070.4 -19962.9 301.423 167.173 0.879587
4500 -16061.8 -19981.1 303.493 192.483 0.879355
4600 -16130.9 -19993.9 299.132 86.3038 0.877502
4700 -16172.4 -20027.1 298.49 101.254 0.875283
4800 -16203.1 -20018.4 295.449 -176.513 0.872609
4900 -16147.7 -19995.3 297.942 -108.589 0.871523
5000 -16076.4 -19964.4 301.074 161.575 0.87145
5100 -16078.9 -19906.5 296.398 -92.3368 0.870617
5200 -16060.1 -19870.7 295.071 -48.6301 0.870473
5300 -16028 -19900.3 299.855 164.337 0.870511
5400 -16038.6 -19923.4 300.82 95.5647 0.869373
5500 -16128.6 -20000.3 299.812 -162.434 0.867646
5600 -16188.3 -20005.1 295.56 -23.9266 0.867416
5700 -16174.2 -20026.8 298.331 114.856 0.867564
5800 -16153.5 -19993.1 297.325 -114.621 0.86671
5900 -16091.3 -19958.6 299.465 -178.652 0.867076
6000 -16023.5 -19929.1 302.434 77.9301 0.868871
6100 -16032.8 -19935.3 302.197 136.019 0.869834
6200 -16158.5 -19993.7 296.985 74.9646 0.869526
6300 -16202.1 -20040.2 297.205 -210.521 0.868753
6400 -16207.3 -20045.3 297.202 -66.6399 0.869769
6500 -16203.3 -20081.2 300.284 227.268 0.871203
6600 -16253.9 -20080.3 296.304 -104.828 0.870877
6700 -16295.1 -20072.2 292.483 -127.025 0.871438
6800 -16214.5 -20095.7 300.545 72.2429 0.873088
6900 -16183.4 -20049.3 299.361 0.592175 0.874236
7000 -16199.7 -20097.2 301.808 18.1326 0.875055
7100 -16242.5 -20074.4 296.725 -26.7224 0.875906
7200 -16251.5 -20130.5 300.377 135.636 0.876969
7300 -16299.2 -20144 297.725 -22.7264 0.876626
7400 -16339.9 -20131.8 293.629 -496.894 0.877111
7500 -16247.6 -20097.2 298.1 264.15 0.881365
7600 -16168.3 -20056.9 301.119 432.359 0.883653
7700 -16206.1 -20094.3 301.092 125.844 0.882013
7800 -16290.3 -20113 296.02 157.939 0.878757
7900 -16306.9 -20147.5 297.402 14.1251 0.874478
8000 -16280.8 -20109.7 296.495 -260.542 0.87057
8100 -16161.4 -20040.9 300.416 -199.104 0.869229
8200 -16105.2 -20001.2 301.69 -73.3831 0.870053
8300 -16150.6 -20044.7 301.548 132.363 0.871129
8400 -16233.1 -20063.6 296.617 -40.1751 0.871279
8500 -16257.7 -20104.3 297.863 -183.501 0.871942
8600 -16258 -20081.3 296.06 -28.0424 0.873696
8700 -16170.6 -20043.7 299.921 -85.9201 0.875823
8800 -16102.9 -20032.1 304.263 128.532 0.877984
8900 -16174.5 -20048 299.949 -25.9493 0.879144
9000 -16230.5 -20060.1 296.548 150.481 0.879907
9100 -16225.3 -20060.9 297.014 10.9287 0.879395
9200 -16179.3 -20022.6 297.608 11.4875 0.878758
9300 -16065.6 -19998.4 304.538 -3.54857 0.878172
9400 -16077.6 -19979.3 302.132 -134.306 0.877686
9500 -16157.1 -20039.9 300.67 -29.9694 0.8784
9600 -16214.1 -20072.5 298.781 158.067 0.879492
9700 -16246.8 -20049.6 294.471 103.157 0.879173
9800 -16189.8 -20021.2 296.693 -62.6165 0.877929
9900 -16103.8 -19978.6 300.045 75.3328 0.876904
10000 -16104.9 -19982.7 300.285 -115.068 0.875644
10100 -16148.4 -20008.4 298.906 5.44292 0.875095
10200 -16204.2 -20009.1 294.632 -0.174355 0.874442
10300 -16180.4 -20001.9 295.917 -241.49 0.874197
10400 -16065.7 -19987.7 303.704 -154.388 0.87623
10500 -16085.7 -19988.5 302.218 117.966 0.879567
10600 -16155 -19994.2 297.292 204.617 0.88204
10700 -16190.9 -20050.1 298.843 213.162 0.882458
10800 -16217 -20048.4 296.69 13.8647 0.880754
10900 -16214.2 -20075.5 299.004 -37.0469 0.878771
11000 -16204.6 -20041 297.07 -107.151 0.877118
11100 -16175 -20027.9 298.358 -237.58 0.876752
11200 -16136.6 -20010.4 299.968 84.8874 0.878282
11300 -16146.1 -20026.5 300.49 26.9068 0.879401
11400 -16228.5 -20032.9 294.599 101.244 0.88027
11500 -16270.5 -20112.2 297.493 146.089 0.880037
11600 -16269 -20055 293.178 -180.888 0.878673
11700 -16152.8 -20035.5 300.66 69.3736 0.878548
11800 -16129 -20014.4 300.873 161.246 0.878017
11900 -16190 -20048.8 298.809 -81.709 0.875987
12000 -16256.4 -20052 293.911 62.4447 0.87431
12100 -16227.7 -20062.3 296.94 -312.658 0.872447
12200 -16160.4 -20027.4 299.449 -197.777 0.873156
12300 -16149.5 -20062.6 303.019 194.501 0.875755
12400 -16194.9 -20051.6 298.643 -150.12 0.877357
12500 -16235.8 -20100.1 299.234 208.13 0.880101
12600 -16315.2 -20197.1 300.604 -8.01257 0.881544
12700 -16382.2 -20172.6 293.512 -140.218 0.882692
12800 -16335.1 -20134.9 294.238 159.515 0.885217
12900 -16257.6 -20117.1 298.865 81.5737 0.887079
13000 -16238.1 -20085.4 297.919 -14.8692 0.888405
13100 -16244.7 -20123.9 300.395 256.303 0.889723
13200 -16321.5 -20119.7 294.12 65.1428 0.889119
13300 -16364.7 -20107.2 289.808 -117.808 0.887297
13400 -16247.6 -20105 298.702 35.2229 0.886079
13500 -16183.2 -20023.4 297.373 131.292 0.884084
13600 -16131.3 -19969 297.176 -149.975 0.880587
13700 -16056.6 -19916.4 298.886 -103.778 0.877831
13800 -16010.4 -19907.1 301.743 35.919 0.875646
13900 -16069.3 -19893.9 296.158 -188.6 0.873477
14000 -16186.9 -19995.5 294.919 57.9878 0.872449
14100 -16204 -20034.1 296.591 -105.786 0.870965
14200 -16179.3 -20010.9 296.703 -308.991 0.870727
14300 -16106.6 -19982.3 300.121 99.5216 0.873046
14400 -16017.9 -19906 301.078 77.7893 0.875105
14500 -15905.8 -19858.9 306.115 333.779 0.87609
14600 -15950.6 -19868.9 303.417 48.79 0.874256
14700 -16037.2 -19956.7 303.515 14.1389 0.871256
14800 -16122.2 -19971.9 298.104 -309.093 0.868608
14900 -16158.5 -19954.9 293.973 -124.15 0.868495
15000 -16113.4 -19989.4 300.141 -91.1206 0.869831
15100 -16060.9 -19936.4 300.108 10.6326 0.872162
15200 -16037.4 -19944.4 302.548 204.934 0.874355
15300 -16127.5 -20004.4 300.209 0.875821 0.87485
