# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
0.00806561 0	0	0	0	0	0	
0.0241968 0	0	0	0	0	0	
0.040328 0	0	0	0	0	0	
0.0564593 0	0	0	0	0	0	
0.0725905 0	0	0	0	0	0	
0.0887217 0	0	0	0	0	0	
0.104853 0	0	0	0	0	0	
0.120984 0	0	0	0	0	0	
0.137115 0	0	0	0	0	0	
0.153247 0	0	0	0	0	0	
0.169378 0	0	0	0	0	0	
0.185509 0	0	0	0	0	0	
0.20164 0	0	0	0	0	0	
0.217771 0	0	0	0	0	0	
0.233903 0	0	0	0	0	0	
0.250034 0	0	0	0	0	0	
0.266165 0	0	0	0	0	0	
0.282296 0	0	0	0	0	0	
0.298428 0	0	0	0	0	0	
0.314559 0	0	0	0	0	0	
0.33069 0	0	0	0	0	0	
0.346821 0	0	0	0	0	0	
0.362952 0	0	0	0	0	0	
0.379084 0	0	0	0	0	0	
0.395215 0	0	0	0	0	0	
0.411346 0	0	0	0	0	0	
0.427477 0	0	0	0	0	0	
0.443608 0	0	0	0	0	0	
0.45974 0	0	0	0	0	0	
0.475871 0	0	0	0	0	0	
0.492002 0	0	0	0	0	0	
0.508133 0	0	0	0	0	0	
0.524265 0	0	0	0	0	0	
0.540396 0	0	0	0	0	0	
0.556527 0	0	0	0	0	0	
0.572658 0	0	0	0	0	0	
0.588789 0	0	0	0	0	0	
0.604921 0	0	0	0	0	0	
0.621052 0	0	0	0	0	0	
0.637183 0	0	0	0	0	0	
0.653314 0	0	0	0	0	0	
0.669445 0	0	0	0	0	0	
0.685577 0	0	0	0	0	0	
0.701708 0	0	0	0	0	0	
0.717839 0	0	0	0	0	0	
0.73397 0	0	0	0	0	0	
0.750102 0	0	0	0	0	0	
0.766233 0	0	0	0	0	0	
0.782364 0	0	0	0	0	0	
0.798495 0	0	0	0	0	0	
0.814626 0	0	0	0	0	0	
0.830758 0	0	0	0	0	0	
0.846889 0	0	0	0	0	0	
0.86302 0	0	0	0	0	0	
0.879151 0	0	0	0	0	0	
0.895283 0	0	0	0	0	0	
0.911414 0	0	0	0	0	0	
0.927545 0	0	0	0	0	0	
0.943676 0	0	0	0	0	0	
0.959807 0	0	0	0	0	0	
0.975939 0	0	0	0	0	0	
0.99207 0	0	0	0	0	0	
1.0082 0	0	0	0	0	0	
1.02433 0	0	0	0	0	0	
1.04046 0	0	0	0	0	0	
1.05659 0	0	0	0	0	0	
1.07273 0	0	0	0	0	0	
1.08886 0	0	0	0	0	0	
1.10499 0	0	0	0	0	0	
1.12112 0	0	0	0	0	0	
1.13725 0	0	0	0	0	0	
1.15338 0	0	0	0	0	0	
1.16951 0	0	0	0	0	0	
1.18564 0	0	0	0	0	0	
1.20178 0	0	0	0	0	0	
1.21791 0	0	0	0	0	0	
1.23404 0	0	0	0	0	0	
1.25017 0	0	0	0	0	0	
1.2663 0	0	0	0	0	0	
1.28243 0	0	0	0	0	0	
1.29856 0	0	0	0	0	0	
1.31469 0	0	0	0	0	0	
1.33083 0	0	0	0	0	0	
1.34696 0	0	0	0	0	0	
1.36309 0	0	0	0	0	0	
1.37922 0	0	0	0	0	0	
1.39535 0	0	0	0	0	0	
1.41148 0	0	0	0	0	0	
1.42761 0	0	0	0	0	0	
1.44374 0	0	0	0	0	0	
1.45988 0	0	0	0	0	0	
1.47601 0	0	0	0	0	0	
1.49214 0	0	0	0	0	0	
1.50827 0	0	0	0	0	0	
1.5244 0	0	0	0	0	0	
1.54053 0	0	0	0	0	0	
1.55666 0	0	0	0	0	0	
1.57279 0	0	0	0	0	0	
1.58892 0	0	0	0	0	0	
1.60506 0	0	0	0	0	0	
1.62119 0	0	0	0	0	0	
1.63732 0	0	0	0	0	0	
1.65345 0	0	0	0	0	0	
1.66958 0	0	0	0	0	0	
1.68571 0	0	0	0	0	0	
1.70184 0	0	0	0	0	0	
1.71797 0	0	0	0	0	0	
1.73411 0	0	0	0	0	0	
1.75024 0	0	0	0	0	0	
1.76637 0	0	0	0	0	0	
1.7825 0	0	0	0	0	0	
1.79863 0	0	0	0	0	0	
1.81476 0	0	0	0	0	0	
1.83089 0	0	0	0	0	0	
1.84702 0	0	0	0	0	0	
1.86316 0	0	0	0	0	0	
1.87929 0	0	0	0	0	0	
1.89542 0	0	0	0	0	0	
1.91155 0	0	0	0	0	0	
1.92768 0	0	0	0	0	0	
1.94381 0	0	0	0	0	0	
1.95994 0	0	0	0	0	0	
1.97607 0	0	0	0	0	0	
1.99221 0	0	0	0	0	0	
2.00834 0	0	0	0	0	0	
2.02447 0	0	0	0	0	0	
2.0406 0	0	0	0	0	0	
2.05673 0	0	0	0	0	0	
2.07286 0	0	0	0	0	0	
2.08899 0	0	0	0	0	0	
2.10512 0	0	0	0	0	0	
2.12125 0	0	0	0	0	0	
2.13739 0	0	0	0	0	0	
2.15352 0	0	0	0	0	0	
2.16965 0	0	0	0	0	0	
2.18578 0	0	0	0	0	0	
2.20191 0	0	0	0	0	0	
2.21804 0	0	0	0	0	0	
2.23417 0	0	0	0	0	0	
2.2503 0	0	0	0	0	0	
2.26644 0	0	0	0	0	0	
2.28257 1.79861e-06	1.79945e-06	0	0	0	0	
2.2987 0	0	0	0	0	0	
2.31483 1.74882e-06	1.7496e-06	0	0	0	0	
2.33096 1.89717e-05	1.898e-05	8.6235e-07	8.61863e-07	0	0	
2.34709 0.000119075	0.000119126	1.1057e-05	1.10506e-05	0	0	
2.36322 0.00038089	0.000381047	6.37613e-05	6.37238e-05	8.38965e-06	8.39311e-06	
2.37935 0.00116696	0.00116742	0.000262358	0.000262201	3.97261e-05	3.9742e-05	
2.39549 0.0034996	0.00350096	0.000970841	0.000970246	0.000209029	0.00020911	
2.41162 0.00885551	0.00885884	0.00300823	0.00300635	0.000868471	0.000868798	
2.42775 0.0204305	0.0204379	0.00817698	0.00817177	0.00277283	0.00277383	
2.44388 0.0422046	0.0422194	0.0200519	0.0200388	0.00839731	0.00840025	
2.46001 0.0795446	0.0795716	0.0442939	0.0442646	0.0222302	0.0222377	
2.47614 0.140475	0.140521	0.0887769	0.0887171	0.0512819	0.0512986	
2.49227 0.229425	0.229498	0.163373	0.163261	0.107175	0.107209	
2.5084 0.351608	0.351717	0.277782	0.277589	0.206326	0.206389	
2.52454 0.509644	0.509798	0.441185	0.440875	0.36483	0.364938	
2.54067 0.700516	0.700725	0.660214	0.659747	0.600809	0.600982	
2.5568 0.911722	0.911992	0.92952	0.928862	0.921942	0.922207	
2.57293 1.14353	1.14387	1.24953	1.24865	1.32962	1.33001	
2.58906 1.37844	1.37885	1.60143	1.60031	1.82098	1.82153	
2.60519 1.60273	1.60323	1.96833	1.96698	2.36805	2.36882	
2.62132 1.81054	1.81113	2.33057	2.32902	2.9572	2.95824	
2.63745 1.98693	1.98761	2.6714	2.6697	3.54086	3.54224	
2.65359 2.13175	2.13251	2.9695	2.9677	4.1013	4.1031	
2.66972 2.23227	2.23311	3.21881	3.21697	4.59038	4.59264	
2.68585 2.29436	2.29527	3.4024	3.40057	5.01094	5.01371	
2.70198 2.31468	2.31564	3.52736	3.5256	5.32271	5.32602	
2.71811 2.3022	2.30321	3.58647	3.58483	5.53285	5.53668	
2.73424 2.25764	2.25867	3.58491	3.58342	5.64063	5.64495	
2.75037 2.18301	2.18405	3.53141	3.53009	5.65164	5.6564	
2.7665 2.09099	2.09202	3.4383	3.43715	5.57266	5.57777	
2.78263 1.98571	1.98672	3.30718	3.3062	5.42399	5.42937	
2.79877 1.86706	1.86804	3.1495	3.14867	5.21464	5.22017	
2.8149 1.74722	1.74816	2.97835	2.97767	4.96549	4.9711	
2.83103 1.62493	1.62582	2.7915	2.79095	4.68944	4.69503	
2.84716 1.50251	1.50335	2.60232	2.60188	4.398	4.4035	
2.86329 1.38855	1.38934	2.41886	2.41851	4.10203	4.10739	
2.87942 1.27557	1.2763	2.23592	2.23565	3.79647	3.80161	
2.89555 1.1709	1.17157	2.06176	2.06155	3.50503	3.50994	
2.91168 1.072	1.07262	1.89531	1.89514	3.23334	3.238	
2.92782 0.981786	0.982348	1.74045	1.74032	2.96815	2.97254	
2.94395 0.898995	0.899509	1.59735	1.59725	2.73168	2.7358	
2.96008 0.825863	0.826332	1.4666	1.46652	2.50648	2.51033	
2.97621 0.759396	0.759823	1.34659	1.34653	2.30149	2.30508	
2.99234 0.697397	0.697785	1.2386	1.23855	2.11548	2.11883	
3.00847 0.642603	0.642957	1.14222	1.14218	1.95028	1.95341	
3.0246 0.594696	0.595019	1.05456	1.05452	1.7987	1.80161	
3.04073 0.552055	0.552349	0.978445	0.978407	1.66738	1.6701	
3.05687 0.514236	0.514505	0.907952	0.907915	1.54874	1.55129	
3.073 0.481633	0.481881	0.846174	0.846137	1.44281	1.44519	
3.08913 0.45207	0.452297	0.794133	0.794094	1.34867	1.3509	
3.10526 0.430303	0.430514	0.745766	0.745726	1.26861	1.27072	
3.12139 0.406552	0.406746	0.704116	0.704074	1.19711	1.19911	
3.13752 0.388589	0.388769	0.666462	0.666418	1.13471	1.13661	
3.15365 0.374444	0.374614	0.635076	0.635028	1.0818	1.08361	
3.16978 0.360515	0.360673	0.607771	0.607721	1.03095	1.03267	
3.18592 0.349114	0.349262	0.585352	0.585298	0.989534	0.991189	
3.20205 0.340633	0.340773	0.564518	0.564461	0.953883	0.955478	
3.21818 0.332788	0.332919	0.547337	0.547275	0.923397	0.92494	
3.23431 0.328117	0.328241	0.532835	0.53277	0.896425	0.89792	
3.25044 0.325572	0.325691	0.521416	0.521347	0.874003	0.875458	
3.26657 0.321982	0.322094	0.510452	0.510378	0.854473	0.855893	
3.2827 0.321109	0.321216	0.504117	0.504039	0.836749	0.838137	
3.29883 0.320062	0.320163	0.497811	0.497728	0.823028	0.82439	
3.31496 0.321793	0.32189	0.493165	0.493077	0.812189	0.813529	
3.3311 0.323918	0.324011	0.490042	0.489948	0.802409	0.803729	
3.34723 0.326857	0.326945	0.487783	0.487683	0.794206	0.795509	
3.36336 0.330863	0.330947	0.486854	0.486749	0.788653	0.789942	
3.37949 0.335148	0.335228	0.488334	0.488223	0.78195	0.783224	
3.39562 0.340046	0.340121	0.48883	0.488712	0.779891	0.781158	
3.41175 0.346515	0.346586	0.492614	0.492489	0.777189	0.778447	
3.42788 0.352463	0.352529	0.49395	0.493819	0.774858	0.776108	
3.44401 0.358496	0.358558	0.49909	0.49895	0.774824	0.77607	
3.46015 0.365785	0.365842	0.503145	0.502998	0.775296	0.776538	
3.47628 0.374083	0.374135	0.508359	0.508204	0.776048	0.777286	
3.49241 0.382892	0.382939	0.514619	0.514456	0.777253	0.778489	
3.50854 0.392115	0.392157	0.519891	0.51972	0.777783	0.779016	
3.52467 0.401287	0.401323	0.527784	0.527603	0.780913	0.782145	
3.5408 0.411925	0.411957	0.535065	0.534875	0.783843	0.785076	
3.55693 0.423266	0.423291	0.542194	0.541995	0.786687	0.78792	
3.57306 0.434821	0.43484	0.550374	0.550165	0.789099	0.790331	
3.5892 0.444952	0.444965	0.559852	0.559633	0.792764	0.793998	
3.60533 0.456157	0.456164	0.568782	0.568552	0.795816	0.797049	
3.62146 0.469577	0.469577	0.578149	0.577909	0.801301	0.802539	
3.63759 0.480611	0.480604	0.588299	0.588048	0.805499	0.806738	
3.65372 0.493394	0.493379	0.597727	0.597465	0.810644	0.811887	
3.66985 0.507264	0.507242	0.608105	0.607831	0.816302	0.81755	
3.68598 0.52161	0.52158	0.617926	0.617641	0.821333	0.822584	
3.70211 0.534908	0.53487	0.629691	0.629394	0.82758	0.828837	
3.71825 0.548587	0.54854	0.64089	0.640581	0.8314	0.832658	
3.73438 0.562939	0.562884	0.652736	0.652414	0.838482	0.839747	
3.75051 0.577905	0.577841	0.663927	0.663593	0.844679	0.845949	
3.76664 0.592415	0.592342	0.67564	0.675293	0.85008	0.851354	
3.78277 0.607014	0.606932	0.686243	0.685884	0.856692	0.857973	
3.7989 0.622336	0.622245	0.698851	0.698479	0.8659	0.867191	
3.81503 0.637259	0.637158	0.711106	0.710722	0.87148	0.872776	
3.83116 0.653471	0.65336	0.723235	0.722838	0.877642	0.878944	
3.8473 0.668713	0.668593	0.735941	0.735531	0.883555	0.884862	
