# Time-averaged data for fix TempAve
# TimeStep c_T
100 299.628
200 299.591
300 292.881
400 296.241
500 299.189
600 299.893
700 296.611
800 296.418
900 293.174
1000 295.442
1100 296.018
1200 297.899
1300 299.038
1400 295.742
1500 296.187
1600 298.823
1700 300.788
1800 301.146
1900 295.948
2000 295.63
2100 297.951
2200 297.987
2300 299.853
2400 301.18
2500 300.097
2600 297.845
2700 296.311
2800 295.375
2900 299.902
3000 301.274
3100 297.494
3200 295.65
3300 298.686
3400 303.047
3500 297.918
3600 301.656
3700 300.478
3800 296.333
3900 295.08
4000 294.445
4100 303.611
4200 300.58
4300 294.103
4400 298.735
4500 298.465
4600 303.298
4700 299.832
4800 295.943
4900 296.671
5000 299.391
5100 294.427
5200 296.135
5300 300.619
5400 302.731
5500 298.414
5600 298.421
5700 297.349
5800 297.69
5900 297.814
6000 294.739
6100 298.909
6200 300.883
6300 296.837
6400 294.715
6500 300.872
6600 302.943
6700 297.44
6800 298.369
6900 297
7000 297.394
7100 299.326
7200 302.907
7300 299.357
7400 296.754
7500 293.531
7600 295.881
7700 302.481
7800 299.191
7900 297.597
8000 297.295
8100 295.541
8200 299.662
8300 296.169
8400 302.159
8500 303.22
8600 302.361
8700 296.572
8800 297.961
8900 299.077
9000 297.024
9100 293.972
9200 293.174
9300 299.186
9400 295.939
9500 300.092
9600 297.758
9700 295.831
9800 296.743
9900 296.545
10000 296.898
10100 300.37
10200 302.284
10300 302.485
10400 295.074
10500 298.988
10600 298.64
10700 299.65
10800 300.884
10900 295.572
11000 293.735
11100 297.89
11200 300.623
11300 300.531
11400 298.986
11500 299.054
11600 297.62
11700 297.092
11800 301.515
11900 297.328
12000 297.71
12100 298.443
12200 297.581
12300 294.515
12400 299.366
12500 298.477
12600 302.288
12700 300.131
12800 297.213
12900 298.287
13000 296.41
13100 296.405
13200 296.247
13300 299.388
13400 298.151
13500 295.695
13600 298.803
13700 302.11
13800 299.647
13900 296.051
14000 296.59
14100 297.268
14200 294.331
14300 295.167
14400 301.774
14500 300.517
14600 299.429
14700 294.924
14800 297.693
14900 297.455
15000 301.311
15100 305.682
15200 301.853
15300 299.465
15400 298.395
15500 297.028
15600 295.108
15700 294.087
15800 291.859
15900 300.318
16000 298.39
16100 296.698
16200 299.752
16300 301.011
16400 302.393
16500 299.406
16600 295.779
16700 297.014
16800 299.532
16900 298.68
17000 303.142
17100 300.311
17200 297.513
17300 295.778
17400 299.368
17500 298.163
17600 296.007
17700 299.404
17800 297.261
17900 301.742
18000 301.869
18100 297.543
18200 293.301
18300 298.357
18400 300.639
18500 300.266
18600 295.542
18700 297.479
18800 297.685
18900 297.965
19000 299.685
19100 301.804
19200 297.892
19300 296.105
19400 296.298
19500 293.688
19600 297.179
19700 296.361
19800 299.631
19900 301.046
20000 299.03
20100 298.007
20200 295.84
20300 296.013
20400 297.773
20500 300.803
20600 299.894
20700 293.023
20800 298.496
20900 298.931
21000 297.659
21100 297.397
21200 292.421
21300 294.115
21400 298.703
21500 300.671
21600 296.264
21700 297.473
21800 295.276
21900 291.218
22000 291.988
22100 298.289
22200 299.916
22300 298.303
22400 298.941
22500 294.992
22600 294.052
22700 296.841
22800 295.555
22900 298.117
23000 298.031
23100 298.319
23200 304.193
23300 304.2
23400 296.719
23500 298.625
23600 299.706
23700 296.964
23800 295.893
23900 297.937
24000 298.321
24100 294.736
24200 299.668
24300 301.327
24400 300.05
24500 293.38
24600 297.997
24700 300.393
24800 298.112
24900 296.238
25000 295.831
25100 301.687
25200 298.131
25300 294.844
25400 301.849
25500 303.264
25600 297.852
25700 298.031
25800 298.614
25900 299.304
26000 293.09
26100 293.002
26200 296.661
26300 299.172
26400 299.066
26500 296.503
26600 300.422
26700 295.29
26800 295.812
26900 295.378
27000 301.779
27100 298.931
27200 298.083
27300 297.846
27400 294.518
27500 294.894
27600 295.361
27700 299.583
27800 297.375
27900 296.757
28000 298.842
28100 303.24
28200 303.816
28300 298.996
28400 298.474
28500 298.229
28600 296.531
28700 296.405
28800 294.007
28900 294.22
29000 296.403
