#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 10 6.13342 6.12402 6.11629 6.12458
 20 16.8712 16.8446 16.8076 16.8411
 30 25.646 25.6218 25.556 25.6079
 40 30.7432 30.7308 30.6385 30.7042
 50 34.824 34.8244 34.6893 34.7792
 60 41.5431 41.5444 41.3652 41.4842
 70 50.04 50.0353 49.7923 49.9559
 80 59.0492 59.0583 58.7272 58.9449
 90 67.1737 67.19 66.7771 67.0469
 100 74.419 74.4156 73.9305 74.255
 110 81.4842 81.4265 80.8934 81.268
 120 88.6858 88.5699 88.0143 88.4233
 130 96.3098 96.1583 95.5883 96.0188
 140 103.905 103.742 103.153 103.6
 150 111.439 111.278 110.674 111.13
 160 118.766 118.606 117.988 118.453
 170 126.016 125.863 125.246 125.708
 180 133.2 133.056 132.48 132.912
 190 140.196 140.059 139.547 139.934
 200 147.182 147.045 146.609 146.945
 210 154.001 153.879 153.505 153.795
 220 160.774 160.702 160.375 160.617
 230 167.439 167.421 167.158 167.339
 240 174.037 174.044 173.883 173.988
 250 180.637 180.627 180.592 180.619
 250 180.358 180.638 180.174 180.39
 500 329.212 334.313 335.206 332.91
 750 466.466 477.777 478.649 474.297
 1000 599.942 616.766 616.511 611.073
 1250 731.327 758.189 752.156 747.224
 1500 857.27 896.779 885.153 879.734
 1750 985.565 1036 1017.74 1013.1
 2000 1116.07 1176.48 1145.42 1145.99
 2250 1245.44 1314.28 1270.58 1276.77
 2500 1374.25 1451.53 1395.2 1406.99
 2750 1502.22 1588.74 1521.51 1537.49
 3000 1629.98 1723.05 1647.27 1666.77
 3250 1758.35 1856.51 1772.1 1795.65
 3500 1890.1 1992.18 1899.39 1927.22
 3750 2021.43 2129.65 2024.09 2058.39
 4000 2153.55 2267.98 2147.56 2189.7
 4250 2285.47 2404.79 2272.56 2320.94
 4500 2417.79 2539.99 2397.46 2451.74
 4750 2547.55 2675.67 2519.5 2580.9
 5000 2677.34 2809.9 2641.3 2709.51
 5250 2803.1 2943.97 2763.96 2837.01
 5500 2929.78 3078.34 2884.94 2964.35
 5750 3059.99 3211.87 3005.4 3092.42
 6000 3189.91 3343.56 3128.8 3220.76
 6250 3320.74 3474.07 3253.65 3349.49
 6250 3271.21 3484.91 3222.87 3326.33
 12500 6682.24 6944.45 6076.26 6567.65
 18750 9898.66 10584.9 9106.67 9863.4
 25000 13395.5 14107.7 11988.3 13163.9
 31250 16733.1 17875.7 14751 16453.3
 37500 20024.3 21784.5 17596.9 19801.9
 43750 23463.4 25680.8 20269.4 23137.9
 50000 26985.6 29770 23039.3 26598.3
 56250 30246 33482.3 25918.1 29882.1
 62500 33379.8 37205.3 28973 33186
 68750 36316.7 40921.5 31922.3 36386.8
 75000 39103.2 44516.6 34801.7 39473.8
 81250 41963.9 47803 37707.8 42491.6
 87500 45083.5 51101.6 40728.1 45637.7
 93750 48086.7 54136.1 43245.3 48489.4
 100000 51349.3 57213.6 45601.3 51388.1
 106250 54538.9 60651.7 48305.7 54498.8
 112500 57752.2 64087.7 50727.7 57522.5
 118750 60850.7 67762 53270.7 60627.8
 125000 64143.1 71430.7 55937.3 63837
 131250 67365.6 74752.9 58533.3 66883.9
 137500 70615 77982.1 60952.7 69849.9
 143750 74086.9 81005.5 63161.7 72751.4
 150000 77552.6 84162 65608 75774.2
 156250 81103.1 87402 67811.4 78772.2
 156250 85127.6 78763.9 76097.3 79996.2
 312500 207164 184328 123336 171609
 468750 303850 302120 164097 256689
 625000 368071 402922 204489 325161
 781250 423485 479812 261405 388234
 937500 494107 551276 344635 463339
 1.09375e+06 602018 581402 418264 533895
 1.25e+06 749087 613652 484665 615801
 1.40625e+06 905979 672373 547878 708743
 1.5625e+06 1.06259e+06 751013 590329 801311
 1.71875e+06 1.22599e+06 840168 655798 907317
 1.875e+06 1.41449e+06 936877 717960 1.02311e+06
 2.03125e+06 1.63201e+06 990093 778363 1.13349e+06
 2.1875e+06 1.90994e+06 1.05747e+06 846185 1.2712e+06
 2.34375e+06 2.1883e+06 1.10657e+06 896985 1.39728e+06
 2.5e+06 2.44222e+06 1.17052e+06 938271 1.517e+06
 2.65625e+06 2.72851e+06 1.27049e+06 997391 1.66546e+06
 2.8125e+06 3.01215e+06 1.3773e+06 1.0871e+06 1.82552e+06
 2.96875e+06 3.27369e+06 1.48974e+06 1.16583e+06 1.97642e+06
 3.125e+06 3.53838e+06 1.50794e+06 1.25974e+06 2.10202e+06
 3.28125e+06 3.83681e+06 1.51338e+06 1.36445e+06 2.23821e+06
 3.4375e+06 4.19924e+06 1.51813e+06 1.46577e+06 2.39438e+06
 3.59375e+06 4.56502e+06 1.51514e+06 1.596e+06 2.55872e+06
 3.75e+06 4.94681e+06 1.52904e+06 1.72265e+06 2.73283e+06
 3.90625e+06 5.33927e+06 1.59019e+06 1.87694e+06 2.93547e+06
 3.90625e+06 6.95311e+06 771953 761619 2.82889e+06
 7.8125e+06 2.01245e+07 2.27951e+06 3.03087e+06 8.47829e+06
