# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
1.76372 0	0	0	0	0	0	
1.77389 0	0	0	0	0	0	
1.78405 0	0	0	0	0	0	
1.79422 0	0	0	0	0	0	
1.80438 0	0	0	0	0	0	
1.81455 0	0	0	0	0	0	
1.82472 0	0	0	0	0	0	
1.83488 0	0	0	0	0	0	
1.84505 0	0	0	0	0	0	
1.85521 0	0	0	0	0	0	
1.86538 0	0	0	0	0	0	
1.87554 0	0	0	0	0	0	
1.88571 0	0	0	0	0	0	
1.89587 0	0	0	0	0	0	
1.90604 0	0	0	0	0	0	
1.91621 0	0	0	0	0	0	
1.92637 0	0	0	0	0	0	
1.93654 0	0	0	0	0	0	
1.9467 0	0	0	0	0	0	
1.95687 0	0	0	0	0	0	
1.96703 0	0	0	0	0	0	
1.9772 0	0	0	0	0	0	
1.98736 0	0	0	0	0	0	
1.99753 0	0	0	0	0	0	
2.0077 0	0	0	0	0	0	
2.01786 0	0	0	0	0	0	
2.02803 0	0	0	0	0	0	
2.03819 0	0	0	0	0	0	
2.04836 0	0	0	0	0	0	
2.05852 0	0	0	0	0	0	
2.06869 0	0	0	0	0	0	
2.07885 0	0	0	0	0	0	
2.08902 0	0	0	0	0	0	
2.09919 0	0	0	0	0	0	
2.10935 0	0	0	0	0	0	
2.11952 0	0	0	0	0	0	
2.12968 0	0	0	0	0	0	
2.13985 0	0	0	0	0	0	
2.15001 0	0	0	0	0	0	
2.16018 0	0	0	0	0	0	
2.17034 0	0	0	0	0	0	
2.18051 0	0	0	0	0	0	
2.19068 0	0	0	0	0	0	
2.20084 0	0	0	0	0	0	
2.21101 0	0	0	0	0	0	
2.22117 0	0	0	0	0	0	
2.23134 0	0	0	0	0	0	
2.2415 0	0	0	0	0	0	
2.25167 0	0	0	0	0	0	
2.26183 0	0	0	0	0	0	
2.272 0	0	0	0	0	0	
2.28217 0	0	0	0	0	0	
2.29233 0	0	0	0	0	0	
2.3025 0	0	0	0	0	0	
2.31266 0	0	0	0	0	0	
2.32283 0	0	0	0	0.000110347	0.000110543	
2.33299 0	0	0	0	0	0	
2.34316 0	0	0	0	0.00010844	0.000108627	
2.35332 0	0	0	0	0	0	
2.36349 0	0	0.000213165	0.000212665	0.000532911	0.000533799	
2.37366 0	0	0.000105671	0.000105421	0.00105671	0.00105844	
2.38382 0	0	0.000209544	0.000209041	0.00220021	0.00220374	
2.39399 0.000207768	0.000208095	0.000675247	0.000673604	0.00311652	0.00312143	
2.40415 0.000309022	0.000309499	0.00185413	0.00184957	0.00566541	0.00567415	
2.41432 0.000817135	0.000818369	0.00275783	0.00275095	0.00868206	0.00869518	
2.42448 0.00273475	0.0027388	0.00638109	0.00636497	0.0174214	0.0174472	
2.43465 0.00421861	0.00422471	0.0115007	0.0114713	0.0307356	0.0307801	
2.44481 0.00707228	0.00708228	0.0214659	0.0214103	0.041836	0.0418953	
2.45498 0.0183743	0.0183997	0.0361064	0.0360118	0.0670759	0.067169	
2.46515 0.0274325	0.0274696	0.0552079	0.0550615	0.0924868	0.0926123	
2.47531 0.0486823	0.0487465	0.0870159	0.0867825	0.133512	0.133689	
2.48548 0.0809567	0.081061	0.128663	0.128314	0.185429	0.185671	
2.49564 0.121404	0.121557	0.187746	0.187231	0.258198	0.258528	
2.50581 0.177881	0.1781	0.260896	0.260175	0.324093	0.324499	
2.51597 0.264482	0.264801	0.344805	0.343844	0.420613	0.421132	
2.52614 0.374783	0.375227	0.45726	0.455978	0.503536	0.504149	
2.5363 0.521721	0.52233	0.589423	0.587762	0.653516	0.654304	
2.54647 0.698991	0.6998	0.744577	0.742472	0.761333	0.762245	
2.55664 0.892286	0.893315	0.92198	0.919371	0.899117	0.90019	
2.5668 1.15471	1.15604	1.12565	1.12247	1.03922	1.04046	
2.57697 1.42103	1.4227	1.33954	1.33577	1.1821	1.18352	
2.58713 1.76961	1.77174	1.57138	1.56699	1.33739	1.33902	
2.5973 2.07978	2.08236	1.77679	1.77188	1.47495	1.47677	
2.60746 2.43778	2.44094	2.01381	2.00831	1.5901	1.59209	
2.61763 2.81189	2.81572	2.24401	2.23799	1.75503	1.75728	
2.62779 3.15463	3.15918	2.47582	2.46931	1.88469	1.88717	
2.63796 3.55327	3.55874	2.69561	2.68869	1.99785	2.00055	
2.64812 3.90063	3.90706	2.8802	2.87302	2.05615	2.05901	
2.65829 4.23862	4.24614	3.04947	3.0421	2.1461	2.14919	
2.66846 4.53883	4.5475	3.21198	3.20449	2.23589	2.2392	
2.67862 4.79662	4.80649	3.36705	3.35951	2.24907	2.25252	
2.68879 5.06266	5.07387	3.43367	3.4263	2.27682	2.28042	
2.69895 5.26309	5.27564	3.50675	3.49957	2.26795	2.27165	
2.70912 5.35533	5.36902	3.57	3.56305	2.28585	2.28969	
2.71928 5.51689	5.532	3.59698	3.59035	2.28344	2.2874	
2.72945 5.58576	5.6021	3.59757	3.59131	2.24417	2.24817	
2.73961 5.64188	5.65944	3.58925	3.58337	2.22675	2.23084	
2.74978 5.61174	5.63027	3.54209	3.53666	2.15181	2.15586	
2.75995 5.51732	5.53658	3.48939	3.4844	2.12622	2.13032	
2.77011 5.50639	5.52664	3.4158	3.41125	2.05827	2.06233	
2.78028 5.44093	5.46196	3.33591	3.3318	2.01421	2.01827	
2.79044 5.2921	5.31351	3.25404	3.25033	1.90972	1.91364	
2.80061 5.20183	5.22381	3.1563	3.15298	1.83136	1.83518	
2.81077 5.00647	5.02849	3.05054	3.0476	1.77428	1.77804	
2.82094 4.82433	4.84635	2.9219	2.91933	1.68871	1.69235	
2.8311 4.65188	4.67386	2.80717	2.80492	1.61763	1.62115	
2.84127 4.52278	4.54484	2.70596	2.70399	1.54442	1.54782	
2.85144 4.28563	4.30716	2.58023	2.57853	1.47528	1.47857	
2.8616 4.08466	4.10575	2.43942	2.43797	1.398	1.40114	
2.87177 3.92144	3.94221	2.35064	2.34938	1.32452	1.32751	
2.88193 3.73003	3.75024	2.2272	2.22613	1.24839	1.25122	
2.8921 3.53928	3.55887	2.10822	2.10731	1.18837	1.19108	
2.90226 3.38631	3.40543	1.99957	1.9988	1.11638	1.11892	
2.91243 3.18225	3.20054	1.91179	1.91114	1.08031	1.08278	
2.92259 3.01378	3.03138	1.81094	1.81038	1.0144	1.01672	
2.93276 2.87497	2.89201	1.70139	1.70093	0.948401	0.950566	
2.94293 2.70968	2.72596	1.63078	1.63038	0.918143	0.920237	
2.95309 2.57902	2.59471	1.53607	1.53574	0.858855	0.860807	
2.96326 2.45151	2.4666	1.45449	1.45421	0.811069	0.812906	
2.97342 2.32313	2.33758	1.36982	1.36957	0.766812	0.76854	
2.98359 2.1963	2.21009	1.30602	1.30581	0.732435	0.734076	
2.99375 2.05911	2.07215	1.25133	1.25114	0.699901	0.701459	
3.00392 1.97559	1.98819	1.17155	1.17138	0.656309	0.657759	
3.01408 1.88364	1.89574	1.12926	1.1291	0.622202	0.623565	
3.02425 1.79966	1.81129	1.06748	1.06734	0.603574	0.604885	
3.03442 1.71112	1.72225	1.01566	1.01553	0.561064	0.56227	
3.04458 1.62271	1.6333	0.967945	0.967815	0.545955	0.547116	
3.05475 1.56018	1.57041	0.927794	0.927665	0.525036	0.52614	
3.06491 1.47633	1.48605	0.900417	0.900288	0.498108	0.499143	
3.07508 1.40469	1.41397	0.841963	0.841836	0.486384	0.487381	
3.08524 1.35535	1.36433	0.814845	0.814714	0.461855	0.462789	
3.09541 1.29247	1.30105	0.785206	0.78507	0.438569	0.439444	
3.10557 1.2539	1.26224	0.754023	0.753883	0.436012	0.436868	
3.11574 1.20911	1.21717	0.730129	0.729984	0.416183	0.416988	
3.12591 1.16836	1.17616	0.693948	0.693798	0.403122	0.403889	
3.13607 1.13398	1.14156	0.679013	0.678855	0.395973	0.396713	
3.14624 1.08991	1.0972	0.661821	0.661656	0.385118	0.385825	
3.1564 1.04747	1.05448	0.638173	0.638001	0.371346	0.372016	
3.16657 1.0284	1.03529	0.632093	0.63191	0.365344	0.365991	
3.17673 0.987259	0.993866	0.608497	0.608307	0.356107	0.356725	
3.1869 0.954298	0.960682	0.600899	0.600698	0.352022	0.35262	
3.19706 0.952433	0.958803	0.579114	0.578907	0.34769	0.348268	
3.20723 0.92852	0.934726	0.560168	0.559954	0.339064	0.339615	
3.2174 0.90673	0.912786	0.561925	0.561697	0.334912	0.335444	
3.22756 0.896226	0.902208	0.548161	0.547924	0.328462	0.328971	
3.23773 0.887199	0.893115	0.548728	0.548477	0.336739	0.337249	
3.24789 0.85953	0.865254	0.531075	0.530819	0.322331	0.322806	
3.25806 0.835048	0.840602	0.524766	0.524498	0.322117	0.32258	
3.26822 0.84363	0.849233	0.513703	0.513426	0.319225	0.31967	
3.27839 0.81935	0.824784	0.517834	0.517541	0.322123	0.32256	
3.28855 0.80631	0.811648	0.513041	0.512736	0.325089	0.325518	
3.29872 0.802551	0.807856	0.501896	0.501582	0.324894	0.325309	
3.30889 0.794256	0.799496	0.502677	0.502349	0.318388	0.318782	
3.31905 0.7961	0.801343	0.502332	0.501989	0.324872	0.32526	
3.32922 0.789903	0.795095	0.501794	0.501436	0.320259	0.320629	
3.33938 0.787237	0.792402	0.496768	0.496399	0.330004	0.330372	
3.34955 0.769146	0.774181	0.498507	0.498121	0.335274	0.335635	
3.35971 0.7626	0.767581	0.501244	0.500841	0.32713	0.327468	
3.36988 0.768596	0.773606	0.491907	0.491496	0.33402	0.334351	
3.38004 0.772944	0.777971	0.501486	0.501051	0.335297	0.335616	
3.39021 0.758473	0.763395	0.495945	0.495499	0.339868	0.340177	
3.40038 0.755386	0.760277	0.500888	0.500422	0.343297	0.343595	
3.41054 0.756367	0.761253	0.490536	0.490064	0.342072	0.342356	
3.42071 0.758137	0.763022	0.497648	0.497154	0.355561	0.355841	
3.43087 0.759518	0.764401	0.501001	0.500487	0.353052	0.353316	
3.44104 0.754484	0.759323	0.504808	0.504274	0.359668	0.359922	
3.4512 0.749496	0.754291	0.509186	0.508632	0.361252	0.361492	
3.46137 0.754244	0.759057	0.509803	0.509232	0.361419	0.361644	
3.47153 0.74267	0.747397	0.521766	0.521165	0.37215	0.372366	
3.4817 0.745805	0.75054	0.520049	0.519434	0.374842	0.375045	
3.49187 0.756801	0.761594	0.523667	0.523031	0.384089	0.384281	
3.50203 0.749792	0.754528	0.526481	0.525825	0.39361	0.393791	
3.5122 0.757138	0.761909	0.525971	0.525299	0.3937	0.393865	
3.52236 0.762036	0.766825	0.530402	0.529708	0.398917	0.399068	
3.53253 0.756845	0.76159	0.545913	0.545182	0.41528	0.415421	
3.54269 0.764937	0.76972	0.545394	0.544646	0.409342	0.409464	
3.55286 0.761462	0.766211	0.55065	0.549878	0.414078	0.414185	
3.56302 0.752105	0.756783	0.552108	0.551317	0.425835	0.425928	
3.57319 0.765878	0.77063	0.558274	0.557457	0.435446	0.435525	
3.58336 0.767798	0.77255	0.56617	0.565324	0.433165	0.433226	
3.59352 0.769086	0.773833	0.571132	0.570262	0.452064	0.452111	
3.60369 0.774105	0.778871	0.581416	0.580513	0.458778	0.458808	
3.61385 0.775956	0.780722	0.584304	0.583379	0.459985	0.459997	
3.62402 0.786796	0.791616	0.589235	0.588286	0.474	0.473994	
3.63418 0.779425	0.784188	0.596988	0.596009	0.478519	0.478496	
3.64435 0.777279	0.782017	0.600185	0.599183	0.482129	0.482088	
3.65451 0.784507	0.789277	0.614013	0.612972	0.493761	0.4937	
3.66468 0.794968	0.799789	0.610013	0.608961	0.498695	0.498616	
3.67485 0.803405	0.808267	0.619891	0.618805	0.511987	0.511888	
3.68501 0.796129	0.800934	0.629783	0.628661	0.514822	0.514704	
3.69518 0.795504	0.800294	0.63561	0.634461	0.532967	0.532826	
3.70534 0.794918	0.799693	0.645484	0.6443	0.530741	0.530581	
3.71551 0.800192	0.804986	0.661666	0.660436	0.541814	0.541633	
3.72567 0.803509	0.808312	0.653663	0.652431	0.560093	0.559887	
3.73584 0.808954	0.813778	0.661928	0.660663	0.570359	0.570131	
3.746 0.80737	0.812172	0.676966	0.675656	0.574311	0.574062	
3.75617 0.818408	0.823265	0.68124	0.679905	0.578844	0.578575	
3.76634 0.823356	0.828231	0.686487	0.685124	0.596458	0.596162	
3.7765 0.820599	0.825447	0.694255	0.692861	0.592541	0.592229	
3.78667 0.831645	0.836548	0.700789	0.699365	0.599246	0.598912	
3.79683 0.838019	0.842948	0.714098	0.712631	0.618096	0.617733	
3.807 0.842669	0.847616	0.71793	0.71644	0.630492	0.630103	
3.81716 0.844479	0.849427	0.728045	0.726518	0.646711	0.646294	
3.82733 0.844511	0.849448	0.733714	0.732159	0.642711	0.642278	
3.83749 0.844207	0.849132	0.738565	0.736984	0.649337	0.648881	
3.84766 0.856441	0.861429	0.747597	0.745982	0.669839	0.669351	
3.85783 0.852014	0.856966	0.761564	0.759904	0.681115	0.680602	
3.86799 0.856654	0.861623	0.764689	0.763008	0.677739	0.67721	
3.87816 0.868004	0.873029	0.772027	0.770315	0.693587	0.693029	
3.88832 0.877923	0.882998	0.778983	0.777241	0.704142	0.703558	
3.89849 0.878208	0.883276	0.790693	0.788912	0.711365	0.710758	
3.90865 0.873179	0.878209	0.798394	0.796581	0.723648	0.723014	
3.91882 0.89335	0.898489	0.799239	0.797411	0.731568	0.73091	
3.92898 0.885108	0.890191	0.820872	0.818982	0.744024	0.74334	
3.93915 0.89455	0.89968	0.814799	0.812911	0.75005	0.749344	
3.94931 0.895639	0.900767	0.833571	0.831627	0.762494	0.76176	
3.95948 0.923174	0.928454	0.840518	0.838546	0.769597	0.768842	
3.96965 0.909422	0.914617	0.845551	0.843556	0.783833	0.78305	
3.97981 0.91339	0.918601	0.856254	0.854223	0.792652	0.791846	
3.98998 0.919363	0.924602	0.862536	0.86048	0.797669	0.796843	
4.00014 0.922547	0.927799	0.868297	0.866217	0.805006	0.804159	
4.01031 0.926909	0.93218	0.876376	0.874268	0.825548	0.824667	
4.02047 0.944585	0.949952	0.886499	0.884357	0.823699	0.822807	
4.03064 0.943088	0.948443	0.888227	0.886072	0.843627	0.842701	
