# Time-averaged data for fix PressAve
# TimeStep c_P
100 -98.5679
200 -269.762
300 -202.245
400 184.144
500 209.183
600 -244.413
700 -357.589
800 -10.8292
900 258.92
1000 -11.7536
1100 -127.63
1200 -160.562
1300 -34.8436
1400 399.112
1500 156.102
1600 178.551
1700 225.122
1800 153.738
1900 -39.7482
2000 66.1436
2100 -81.2641
2200 -126.657
2300 158.725
2400 197.93
2500 17.0698
2600 153.965
2700 301.45
2800 163.669
2900 -179.43
3000 -33.7068
3100 -137.953
3200 -2.78114
3300 -73.9837
3400 20.8561
3500 -18.8522
3600 -62.4148
3700 238.452
3800 124.31
3900 54.5151
4000 -29.7174
4100 78.9843
4200 183.998
4300 -47.8476
4400 -118.526
4500 -127.396
4600 -37.7002
4700 -75.7633
4800 123.119
4900 274.398
5000 142.235
5100 -97.5272
5200 4.79313
5300 -20.3953
5400 12.2432
5500 10.1089
5600 -100.382
5700 106.046
5800 7.05716
5900 48.2749
6000 -154.998
6100 101.33
6200 136.357
6300 17.8223
6400 -104.511
6500 -77.8856
6600 64.3837
6700 85.466
6800 -411.775
6900 -40.2335
7000 304
7100 -19.4587
7200 70.0772
7300 -58.8201
7400 -198.561
7500 -201.668
7600 167.924
7700 269.266
7800 249.2
7900 41.5228
8000 0.789675
8100 -99.3933
8200 -8.39254
8300 -101.095
8400 69.6802
8500 -155.764
8600 -75.3498
8700 42.4897
8800 -83.6346
8900 -38.6732
9000 20.887
9100 -37.4413
9200 14.1829
9300 15.731
9400 -157.039
9500 32.1079
9600 66.0978
9700 -165.185
9800 -39.3584
9900 40.2227
10000 -9.64331
10100 62.3229
10200 -33.8397
10300 110.847
10400 -93.4703
10500 -108.395
10600 192.206
10700 234.747
10800 -50.6286
10900 -115.917
11000 -66.5432
11100 -44.7961
11200 108.698
11300 292.077
11400 151.836
11500 -34.5594
11600 -261.578
11700 -30.4223
11800 96.5041
11900 169.239
12000 -75.0839
12100 5.72853
12200 -78.6391
12300 89.7986
12400 49.2909
12500 -41.1377
12600 24.8768
12700 195.995
12800 93.8508
12900 -162.229
13000 82.8059
13100 269.419
13200 14.2778
13300 -43.6892
13400 56.8991
13500 322.773
13600 -87.3318
13700 -117.06
13800 -159.86
13900 -79.7371
14000 23.0557
14100 -207.838
14200 108.753
14300 23.1272
14400 92.7467
14500 116.938
14600 -148.617
14700 60.8026
14800 465.17
14900 148.008
15000 -201.191
15100 155.565
15200 276.013
15300 98.5103
15400 123.048
15500 70.9236
15600 49.0234
15700 44.7808
15800 225.051
15900 -49.9073
16000 90.9047
16100 49.8963
16200 -116.626
16300 5.64051
16400 202.578
16500 -26.1064
16600 -208.943
16700 67.679
16800 174.023
16900 -253.488
17000 -72.3891
17100 115.823
17200 -26.6572
17300 -126.136
17400 -252.484
17500 -257.936
17600 -218.694
17700 198.586
17800 -9.73015
17900 201.912
18000 90.4401
18100 -133.6
18200 142.581
18300 -9.26539
18400 -34.2102
18500 22.3738
18600 -115.593
18700 -171.411
18800 -124.497
18900 22.585
19000 14.4818
19100 173.101
19200 115.344
19300 -12.1638
19400 -203.898
19500 17.7551
19600 13.6983
19700 -45.093
19800 -183.683
19900 -72.492
20000 -263.792
20100 314.083
20200 405.597
20300 322.633
20400 111.034
20500 193.314
20600 49.2376
20700 -15.7398
20800 152.766
20900 122.582
21000 39.3838
21100 -153.816
21200 -224.864
21300 21.2184
21400 -31.2482
21500 150.136
21600 41.7628
21700 164.967
21800 -3.83252
21900 157.974
22000 -162.442
22100 -66.0772
22200 -0.0975531
22300 60.813
22400 -23.4393
22500 -87.1892
22600 33.0373
22700 54.3931
22800 -22.0463
22900 224.229
23000 145.578
23100 7.12934
23200 -217.481
23300 -230.902
23400 94.6315
23500 75.1901
23600 -72.32
23700 -127.111
23800 -151.302
23900 -99.1281
24000 -39.5701
24100 138.581
24200 -148.079
24300 190.693
24400 25.5618
24500 -101.324
24600 -84.668
24700 -150.32
24800 28.5895
24900 -7.38824
25000 -72.707
25100 -263.557
25200 -238.411
25300 107.573
25400 386.185
25500 321.028
25600 -146.549
25700 59.1081
25800 190.278
25900 172.551
26000 59.4543
26100 267.729
26200 254.756
26300 147.934
26400 26.4235
26500 56.2116
26600 109.808
26700 152.065
26800 113.703
26900 253.681
27000 150.264
27100 70.0109
27200 -275.925
27300 -146.948
27400 90.6932
27500 -43.8239
27600 200.105
27700 -12.511
27800 25.7609
27900 -231.197
28000 40.9
28100 76.6374
28200 -107.722
28300 -125.673
28400 -130.249
28500 -295.388
28600 -187.232
28700 -279.391
28800 146.929
28900 103.885
29000 -10.0386
29100 119.421
29200 -203.648
29300 -259.244
29400 -57.0891
29500 -87.3594
29600 77.7477
29700 -35.2746
29800 -15.7119
29900 -7.44296
30000 -435.556
30100 -124.378
30200 -93.8699
30300 65.2306
30400 -3.08606
30500 -98.2954
30600 180.49
30700 -155.548
30800 -165.188
30900 -103.603
31000 -163.42
31100 -368.633
31200 -162.269
31300 61.2954
31400 -145.869
31500 -419.219
31600 -28.3831
31700 106.918
31800 86.8113
31900 59.8594
32000 105.636
32100 140.128
32200 -39.8089
32300 -31.5718
32400 107.52
32500 120.318
32600 174.709
32700 -31.0799
32800 -38.7944
32900 -18.1409
33000 15.7779
33100 68.7121
33200 50.6867
33300 42.0742
33400 -134.98
33500 -92.4381
33600 8.60836
33700 -111.05
33800 -143.008
33900 -18.9004
34000 315.616
34100 274.084
34200 165.787
34300 15.1684
34400 129.608
34500 96.1144
34600 124.606
34700 155.39
34800 78.2001
34900 238.587
35000 -192.706
35100 152.485
35200 117.338
35300 69.1323
35400 70.9196
35500 -91.7644
35600 -8.56774
35700 117.095
35800 -192.335
35900 -314.656
36000 -11.3225
36100 -28.9709
36200 152.778
36300 77.8418
36400 151.354
36500 60.1808
36600 12.9049
36700 19.6498
36800 -111.844
36900 -96.8726
37000 -334.111
37100 26.8796
37200 113.327
37300 252.226
37400 -159.476
37500 -191.972
37600 -126.442
37700 132.576
37800 233.441
37900 110.716
38000 103.767
38100 155.429
38200 -74.1157
38300 117.173
38400 -93.7521
38500 -141.487
38600 7.52914
38700 238.809
38800 91.6774
38900 -37.973
39000 31.1784
39100 -228.559
39200 -17.8456
39300 76.1669
39400 4.59192
39500 -28.2515
39600 69.4679
39700 -168.263
39800 -62.9067
39900 -88.8896
40000 168.397
40100 -192.01
40200 -176.297
40300 -196.977
40400 171.55
40500 -257.258
40600 -79.025
40700 95.2894
40800 166.838
40900 -143.599
41000 70.6768
41100 -83.3231
41200 23.2485
41300 -70.7362
41400 -102.14
41500 132.844
41600 -338.469
41700 -389.519
41800 -125.423
41900 20.597
42000 -224.683
42100 -46.4233
42200 -6.97087
42300 74.8474
42400 129.514
42500 -28.1241
42600 219.527
42700 107.265
42800 -232.11
