# Time-averaged data for fix DensAve
# TimeStep v_Dens
40000 0.876399
80000 0.876741
120000 0.876793
160000 0.873538
200000 0.87718
240000 0.874328
280000 0.875386
320000 0.874471
360000 0.875423
400000 0.875968
440000 0.875072
480000 0.876162
520000 0.87471
560000 0.876047
600000 0.87679
640000 0.874689
680000 0.875449
720000 0.875761
760000 0.876249
800000 0.876375
840000 0.874824
880000 0.874244
920000 0.876786
960000 0.872712
1000000 0.87484
