# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100 -16225.8 -20053.6 296.407 22.4666 0.880115
200 -16197.6 -20072.4 300.045 473.154 0.881542
300 -16156.6 -20038.2 300.574 209.297 0.878972
400 -16125.6 -19993.5 299.519 -72.5559 0.873971
500 -16118.8 -19994.5 300.114 -349.191 0.869712
600 -16187.3 -20021.7 296.917 -234.927 0.86846
700 -16239.5 -20046 294.755 -102.568 0.869786
800 -16206 -20052.5 297.861 100.365 0.872052
900 -16089.8 -19950.5 298.959 43.5213 0.873396
1000 -16016.8 -19939.2 303.736 -87.623 0.874488
1100 -16084.2 -19990.5 302.488 -8.49206 0.875983
1200 -16157.3 -19997.2 297.351 -97.7125 0.87791
1300 -16192.6 -20026.6 296.89 161.639 0.880439
1400 -16198.7 -20032 296.834 182.611 0.881452
1500 -16138.9 -20029.5 301.278 12.9782 0.8809
1600 -16093.7 -19997.6 302.299 315.466 0.879667
1700 -16165.6 -20008.4 297.566 -132.104 0.876268
1800 -16237 -20058.5 295.924 -168.97 0.873917
1900 -16235 -20075.7 297.408 -21.8273 0.873223
2000 -16221.1 -20091.1 299.678 -90.2435 0.872971
2100 -16280.4 -20100 295.781 -37.9257 0.873554
2200 -16366.4 -20172.4 294.725 -168.736 0.874737
2300 -16355.6 -20134.7 292.639 197.842 0.876703
2400 -16249.8 -20094 297.676 172.208 0.877119
2500 -16201.3 -20055.3 298.437 -29.7139 0.875803
2600 -16188.2 -20043.8 298.563 89.8271 0.874647
2700 -16197.4 -20058.1 298.955 -50.0464 0.873158
2800 -16248.3 -20057.8 294.997 -178.818 0.872205
2900 -16287.7 -20095.8 294.884 30.1277 0.872819
3000 -16239.9 -20044.2 294.593 -186.646 0.873537
3100 -16134 -20035 302.077 236.624 0.875228
3200 -16153 -20002.1 298.058 424.231 0.874583
3300 -16179.5 -20007.9 296.459 -270.44 0.87112
3400 -16169.3 -20025.3 298.599 -95.5205 0.869728
3500 -16118.6 -19979.7 298.99 -92.3019 0.869593
3600 -16064.5 -19975 302.82 -204.368 0.870558
3700 -16112.2 -19996.7 300.801 114.742 0.872808
3800 -16207.2 -20044.5 297.147 172.04 0.874029
3900 -16225.5 -20050 296.152 -137.552 0.873976
4000 -16208.5 -20066.8 298.775 26.4278 0.874678
4100 -16169.9 -20028.5 298.798 -79.9321 0.875323
4200 -16079.5 -19963.6 300.768 114.182 0.876388
4300 -16053 -19957.9 302.383 -252.105 0.877185
4400 -16142.3 -20002.7 298.938 261.71 0.879052
4500 -16229.1 -20080.3 298.224 218.498 0.879007
4600 -16247.7 -20065.8 295.662 -78.6288 0.877145
4700 -16194.6 -20044.3 298.111 -27.0535 0.875739
4800 -16128.4 -19990.6 299.074 109.55 0.874498
4900 -16116.3 -19983.4 299.452 -44.54 0.87274
5000 -16182.3 -20006.8 296.155 24.2287 0.871165
5100 -16292.6 -20067.2 292.29 -66.8222 0.869587
5200 -16249.6 -20048.6 294.175 -202.006 0.868953
5300 -16152.7 -19979.7 296.348 -43.7437 0.869918
5400 -16100.3 -19949.3 298.054 -5.25747 0.87152
5500 -16082.9 -19975.4 301.422 131.305 0.872978
5600 -16163.1 -20004 297.425 -72.5135 0.873464
5700 -16226.1 -20052.5 296.302 11.6106 0.874241
5800 -16212.2 -20027.8 295.465 149.853 0.874602
5900 -16163.6 -20003.7 297.359 -27.8217 0.87405
6000 -16131.8 -20016.5 300.819 153.374 0.873304
6100 -16133.2 -19952.7 295.765 -44.0053 0.871432
6200 -16029.8 -19933.7 302.304 166.189 0.869683
6300 -15976.3 -19891.2 303.15 -98.3417 0.867266
6400 -16048.7 -19910.2 299.026 -294.514 0.865843
6500 -16121.3 -19961.4 297.363 -58.6136 0.867064
6600 -16162.7 -20021.2 298.784 -5.01218 0.868856
6700 -16201.7 -20024.3 296.009 -134.827 0.8705
6800 -16183.2 -20029.9 297.87 -82.8315 0.873238
6900 -16062.4 -19971.3 302.691 473.284 0.875657
7000 -16064.4 -19954 301.193 161.416 0.874037
7100 -16153 -20021.8 299.582 -175.677 0.871415
7200 -16225 -20085.7 298.959 79.9046 0.870383
7300 -16248.3 -20055.9 294.843 -275.277 0.869275
7400 -16191.8 -20009.7 295.645 -188.035 0.870548
7500 -16117.9 -20021.9 302.307 221.185 0.873216
7600 -16155.8 -20029.5 299.965 -38.7571 0.874053
7700 -16196 -20008.8 295.244 -97.8862 0.874872
7800 -16170.8 -20040.4 299.644 77.2853 0.876192
7900 -16150.6 -20022.9 299.857 -188.689 0.87726
8000 -16165.4 -19988.1 296.016 -15.1511 0.879695
8100 -16148.7 -20009.2 298.936 284.471 0.881788
8200 -16143.1 -20026.2 300.696 -19.1872 0.881694
8300 -16216.7 -20071.3 298.485 59.4042 0.881241
8400 -16291.4 -20135.5 297.677 -38.275 0.880617
8500 -16319 -20154.8 297.036 138.596 0.880132
8600 -16337.6 -20179.6 297.506 76.2041 0.878381
8700 -16386.6 -20182.6 293.944 -103.029 0.876222
8800 -16391.8 -20194.8 294.489 52.1566 0.874635
8900 -16305.7 -20136.5 296.643 -126.585 0.872876
9000 -16227.7 -20089.8 299.062 63.9208 0.872109
9100 -16199 -20035.1 297.054 -54.7414 0.871165
9200 -16155.4 -20039.7 300.778 -128.159 0.8708
9300 -16117.8 -20027.2 302.732 192.569 0.871227
9400 -16170.8 -20045 300.003 -77.2742 0.870229
9500 -16269.3 -20085.9 295.541 -369.776 0.870124
9600 -16282.2 -20083.2 294.33 -30.4173 0.873302
9700 -16212.4 -20088.2 300.127 57.5215 0.877097
9800 -16186.2 -20077.8 301.35 199.748 0.880013
9900 -16273 -20088.9 295.483 84.4656 0.880986
10000 -16348.4 -20111 291.367 -3.40044 0.881072
10100 -16294.3 -20112.7 295.68 187.871 0.880781
10200 -16230.5 -20071.7 297.451 -113.829 0.879318
10300 -16176 -20071.2 301.626 129.197 0.87843
10400 -16214.9 -20109.9 301.61 97.1511 0.876693
10500 -16315.3 -20120.6 294.671 -152.264 0.874367
10600 -16299.5 -20118.4 295.718 -115.846 0.873442
10700 -16237.6 -20070.6 296.813 -66.1775 0.873782
10800 -16158.5 -19996.8 297.222 73.076 0.874566
10900 -16116.9 -19984.9 299.523 101.78 0.874732
11000 -16130.8 -20006.2 300.099 181.93 0.873799
11100 -16159.9 -19978.2 295.676 -264.864 0.871892
11200 -16130.3 -19990.3 298.902 -31.5349 0.871854
11300 -16010.9 -19922.8 302.924 -11.8748 0.872414
11400 -15990 -19909.4 303.499 -31.9992 0.873161
11500 -16070.5 -19917.5 297.9 60.3698 0.874063
11600 -16086.4 -19885 294.146 56.2532 0.874109
11700 -16036 -19908.4 299.861 -51.0278 0.873841
11800 -16028.5 -19890.7 299.071 -277.752 0.874376
11900 -16104.3 -19957.7 298.391 -90.9878 0.877128
12000 -16213.1 -20024.4 295.132 -18.174 0.880635
12100 -16218.8 -20066.4 297.946 -42.271 0.883836
12200 -16215.6 -20063.6 297.973 209.728 0.886671
12300 -16202.8 -20048.5 297.794 257.656 0.887216
12400 -16148.7 -20006 298.693 174.392 0.885338
12500 -16079 -19935.6 298.646 75.8759 0.882099
