# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
0.00806466 0	0	0	0	0	0	
0.024194 0	0	0	0	0	0	
0.0403233 0	0	0	0	0	0	
0.0564526 0	0	0	0	0	0	
0.0725819 0	0	0	0	0	0	
0.0887112 0	0	0	0	0	0	
0.104841 0	0	0	0	0	0	
0.12097 0	0	0	0	0	0	
0.137099 0	0	0	0	0	0	
0.153228 0	0	0	0	0	0	
0.169358 0	0	0	0	0	0	
0.185487 0	0	0	0	0	0	
0.201616 0	0	0	0	0	0	
0.217746 0	0	0	0	0	0	
0.233875 0	0	0	0	0	0	
0.250004 0	0	0	0	0	0	
0.266134 0	0	0	0	0	0	
0.282263 0	0	0	0	0	0	
0.298392 0	0	0	0	0	0	
0.314522 0	0	0	0	0	0	
0.330651 0	0	0	0	0	0	
0.34678 0	0	0	0	0	0	
0.36291 0	0	0	0	0	0	
0.379039 0	0	0	0	0	0	
0.395168 0	0	0	0	0	0	
0.411298 0	0	0	0	0	0	
0.427427 0	0	0	0	0	0	
0.443556 0	0	0	0	0	0	
0.459685 0	0	0	0	0	0	
0.475815 0	0	0	0	0	0	
0.491944 0	0	0	0	0	0	
0.508073 0	0	0	0	0	0	
0.524203 0	0	0	0	0	0	
0.540332 0	0	0	0	0	0	
0.556461 0	0	0	0	0	0	
0.572591 0	0	0	0	0	0	
0.58872 0	0	0	0	0	0	
0.604849 0	0	0	0	0	0	
0.620979 0	0	0	0	0	0	
0.637108 0	0	0	0	0	0	
0.653237 0	0	0	0	0	0	
0.669367 0	0	0	0	0	0	
0.685496 0	0	0	0	0	0	
0.701625 0	0	0	0	0	0	
0.717754 0	0	0	0	0	0	
0.733884 0	0	0	0	0	0	
0.750013 0	0	0	0	0	0	
0.766142 0	0	0	0	0	0	
0.782272 0	0	0	0	0	0	
0.798401 0	0	0	0	0	0	
0.81453 0	0	0	0	0	0	
0.83066 0	0	0	0	0	0	
0.846789 0	0	0	0	0	0	
0.862918 0	0	0	0	0	0	
0.879048 0	0	0	0	0	0	
0.895177 0	0	0	0	0	0	
0.911306 0	0	0	0	0	0	
0.927436 0	0	0	0	0	0	
0.943565 0	0	0	0	0	0	
0.959694 0	0	0	0	0	0	
0.975823 0	0	0	0	0	0	
0.991953 0	0	0	0	0	0	
1.00808 0	0	0	0	0	0	
1.02421 0	0	0	0	0	0	
1.04034 0	0	0	0	0	0	
1.05647 0	0	0	0	0	0	
1.0726 0	0	0	0	0	0	
1.08873 0	0	0	0	0	0	
1.10486 0	0	0	0	0	0	
1.12099 0	0	0	0	0	0	
1.13712 0	0	0	0	0	0	
1.15325 0	0	0	0	0	0	
1.16938 0	0	0	0	0	0	
1.1855 0	0	0	0	0	0	
1.20163 0	0	0	0	0	0	
1.21776 0	0	0	0	0	0	
1.23389 0	0	0	0	0	0	
1.25002 0	0	0	0	0	0	
1.26615 0	0	0	0	0	0	
1.28228 0	0	0	0	0	0	
1.29841 0	0	0	0	0	0	
1.31454 0	0	0	0	0	0	
1.33067 0	0	0	0	0	0	
1.3468 0	0	0	0	0	0	
1.36293 0	0	0	0	0	0	
1.37906 0	0	0	0	0	0	
1.39519 0	0	0	0	0	0	
1.41131 0	0	0	0	0	0	
1.42744 0	0	0	0	0	0	
1.44357 0	0	0	0	0	0	
1.4597 0	0	0	0	0	0	
1.47583 0	0	0	0	0	0	
1.49196 0	0	0	0	0	0	
1.50809 0	0	0	0	0	0	
1.52422 0	0	0	0	0	0	
1.54035 0	0	0	0	0	0	
1.55648 0	0	0	0	0	0	
1.57261 0	0	0	0	0	0	
1.58874 0	0	0	0	0	0	
1.60487 0	0	0	0	0	0	
1.621 0	0	0	0	0	0	
1.63713 0	0	0	0	0	0	
1.65325 0	0	0	0	0	0	
1.66938 0	0	0	0	0	0	
1.68551 0	0	0	0	0	0	
1.70164 0	0	0	0	0	0	
1.71777 0	0	0	0	0	0	
1.7339 0	0	0	0	0	0	
1.75003 0	0	0	0	0	0	
1.76616 0	0	0	0	0	0	
1.78229 0	0	0	0	0	0	
1.79842 0	0	0	0	0	0	
1.81455 0	0	0	0	0	0	
1.83068 0	0	0	0	0	0	
