#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_all2	MSD_bulkvisc
 10 1.01851e+09 1.02278e+09 1.02384e+09 1.02156e+09 1.02162e+09 1.02173e+09 1.02163e+09 1.02166e+09 1.02167e+09 1.16094e+09
 20 3.24883e+09 3.26918e+09 3.26736e+09 3.26364e+09 3.2638e+09 3.26845e+09 3.2653e+09 3.2639e+09 3.26354e+09 4.32185e+09
 30 6.74544e+09 6.79295e+09 6.78926e+09 6.78251e+09 6.78059e+09 6.79112e+09 6.78474e+09 6.7812e+09 6.78031e+09 9.31306e+09
 40 1.10086e+10 1.10959e+10 1.1091e+10 1.10816e+10 1.10737e+10 1.10919e+10 1.10824e+10 1.10755e+10 1.10738e+10 1.57918e+10
 50 1.56434e+10 1.57827e+10 1.57782e+10 1.57669e+10 1.57482e+10 1.57773e+10 1.57641e+10 1.57524e+10 1.57495e+10 2.34725e+10
 60 2.08083e+10 2.10087e+10 2.10112e+10 2.09966e+10 2.096e+10 2.10016e+10 2.09861e+10 2.09688e+10 2.09644e+10 3.2239e+10
 70 2.59363e+10 2.62074e+10 2.62187e+10 2.62035e+10 2.61429e+10 2.62028e+10 2.61831e+10 2.61582e+10 2.61519e+10 4.17504e+10
 80 3.13978e+10 3.17452e+10 3.17721e+10 3.1756e+10 3.16644e+10 3.17451e+10 3.17218e+10 3.16884e+10 3.16801e+10 5.19601e+10
 90 3.68681e+10 3.72988e+10 3.73422e+10 3.73285e+10 3.72004e+10 3.73071e+10 3.72787e+10 3.72351e+10 3.72242e+10 6.25963e+10
 100 4.2511e+10 4.30304e+10 4.30926e+10 4.30819e+10 4.29118e+10 4.30491e+10 4.30143e+10 4.29598e+10 4.29461e+10 7.35748e+10
 110 4.84073e+10 4.90211e+10 4.91019e+10 4.90946e+10 4.8877e+10 4.90491e+10 4.90069e+10 4.89415e+10 4.89252e+10 8.48062e+10
 120 5.44028e+10 5.51189e+10 5.5214e+10 5.52104e+10 5.49416e+10 5.51551e+10 5.51024e+10 5.50262e+10 5.50071e+10 9.61513e+10
 130 6.07943e+10 6.16203e+10 6.17262e+10 6.17247e+10 6.14014e+10 6.16588e+10 6.1595e+10 6.15091e+10 6.14876e+10 1.07651e+11
 140 6.73008e+10 6.82486e+10 6.83551e+10 6.83569e+10 6.79789e+10 6.82856e+10 6.82071e+10 6.81116e+10 6.80877e+10 1.19166e+11
 150 7.41352e+10 7.52178e+10 7.53165e+10 7.53208e+10 7.48866e+10 7.5247e+10 7.51515e+10 7.50468e+10 7.50207e+10 1.30751e+11
 160 8.11462e+10 8.23777e+10 8.24556e+10 8.24644e+10 8.19735e+10 8.23915e+10 8.22765e+10 8.21631e+10 8.21348e+10 1.42345e+11
 170 8.83227e+10 8.97184e+10 8.97647e+10 8.97783e+10 8.92301e+10 8.97105e+10 8.95729e+10 8.94512e+10 8.94208e+10 1.53949e+11
 180 9.57357e+10 9.73087e+10 9.73134e+10 9.73338e+10 9.67251e+10 9.72704e+10 9.71097e+10 9.69802e+10 9.69478e+10 1.65596e+11
 190 1.0322e+11 1.04984e+11 1.04937e+11 1.04967e+11 1.04294e+11 1.0491e+11 1.04723e+11 1.04586e+11 1.04552e+11 1.77242e+11
 200 1.1096e+11 1.12924e+11 1.1282e+11 1.12862e+11 1.12117e+11 1.12809e+11 1.12596e+11 1.12452e+11 1.12416e+11 1.88959e+11
 210 1.18806e+11 1.2098e+11 1.20811e+11 1.2087e+11 1.20047e+11 1.20821e+11 1.20579e+11 1.20427e+11 1.20389e+11 2.0071e+11
 220 1.26878e+11 1.29272e+11 1.29035e+11 1.29112e+11 1.28203e+11 1.29064e+11 1.28793e+11 1.28634e+11 1.28594e+11 2.12547e+11
 230 1.35149e+11 1.37773e+11 1.37463e+11 1.37563e+11 1.36559e+11 1.37511e+11 1.37211e+11 1.37045e+11 1.37003e+11 2.24471e+11
 240 1.43601e+11 1.46464e+11 1.46078e+11 1.46202e+11 1.45095e+11 1.46142e+11 1.45813e+11 1.4564e+11 1.45597e+11 2.3649e+11
 250 1.52311e+11 1.55421e+11 1.54954e+11 1.55107e+11 1.53886e+11 1.5503e+11 1.54674e+11 1.54496e+11 1.54451e+11 2.48642e+11
 250 1.52257e+11 1.5579e+11 1.55322e+11 1.55221e+11 1.53971e+11 1.54636e+11 1.54609e+11 1.54548e+11 1.54533e+11 2.49297e+11
