#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 10 6.127 6.12606 6.10626 6.11977
 20 16.837 16.8434 16.7809 16.8204
 30 25.5866 25.6209 25.514 25.5738
 40 30.6376 30.7339 30.5958 30.6557
 50 34.6321 34.8188 34.6398 34.6969
 60 41.2635 41.5281 41.2651 41.3522
 70 49.6793 50.0094 49.6187 49.7691
 80 58.6271 59.0178 58.4924 58.7124
 90 66.6642 67.1419 66.5088 66.7716
 100 73.7853 74.3686 73.6468 73.9336
 110 80.7113 81.3923 80.5749 80.8928
 120 87.7963 88.5335 87.6236 87.9844
 130 95.3469 96.1029 95.1102 95.52
 140 102.897 103.665 102.586 103.049
 150 110.411 111.19 110.008 110.536
 160 117.712 118.513 117.222 117.816
 170 124.945 125.769 124.39 125.035
 180 132.14 132.976 131.54 132.219
 190 139.182 140.012 138.528 139.241
 200 146.245 147.053 145.484 146.26
 210 153.158 153.948 152.251 153.119
 220 160.06 160.814 158.992 159.955
 230 166.868 167.563 165.657 166.696
 240 173.606 174.238 172.279 173.374
 250 180.341 180.912 178.898 180.05
 250 180.579 180.132 179.743 180.151
 500 333.525 335.421 331.609 333.518
 750 475.731 480.723 471.94 476.132
 1000 613.615 622.783 607.18 614.526
 1250 748.598 759.166 741.421 749.728
 1500 879.425 894.988 876.128 883.514
 1750 1011.81 1027.69 1010.08 1016.53
 2000 1143.01 1161.75 1142.23 1149
 2250 1270.29 1293.78 1271.71 1278.59
 2500 1398.36 1425.7 1400.25 1408.11
 2750 1525.51 1559.03 1532.03 1538.86
 3000 1650.02 1691.67 1663.43 1668.37
 3250 1774.34 1824.93 1793.39 1797.55
 3500 1898.12 1955.33 1924.46 1925.97
 3750 2021.54 2087.75 2058.35 2055.88
 4000 2141.6 2220.26 2191.39 2184.41
 4250 2261.97 2353.65 2326.18 2313.94
 4500 2381.59 2483.45 2458.58 2441.21
 4750 2502.18 2616.4 2589.97 2569.52
 5000 2621.3 2748.34 2720.69 2696.77
 5250 2737.93 2878.54 2850.71 2822.39
 5500 2856.08 3011.57 2984.56 2950.74
 5750 2976.5 3139.54 3117.43 3077.82
 6000 3095.32 3266.36 3249.38 3203.69
 6250 3215.08 3393.31 3380.68 3329.69
 6250 3257.82 3464.65 3471.25 3397.91
 12500 6089.16 6701.03 6690.93 6493.71
 18750 9026.32 10053.1 9813.42 9630.96
 25000 12254.3 13481.7 13054.9 12930.3
 31250 15417.6 16800.9 16004.3 16074.3
 37500 18539.5 19972.1 19173.1 19228.2
 43750 21526.9 22920.2 22437.7 22295
 50000 24768.5 25630 25988 25462.2
 56250 27719.2 28039.3 29861.5 28540
 62500 30401 30543.7 33646.5 31530.4
 68750 33116.1 33153.4 37765.9 34678.5
 75000 35521.2 35755.2 41635 37637.1
 81250 38215.2 38154.6 45597.5 40655.8
 87500 41096.5 40693.6 49535.3 43775.1
 93750 43892.6 43215.9 53172.2 46760.2
 100000 46509.7 45532.6 56892.6 49644.9
 106250 49254.2 47827.8 60554.1 52545.4
 112500 51820 50339.8 64351 55503.6
 118750 54254.9 53021.6 68143.1 58473.2
 125000 56716.5 56084.5 72087.2 61629.4
 131250 59284.9 59170.6 76228.7 64894.7
 137500 62009.5 62179.4 80486.8 68225.2
 143750 64726.6 65342.2 84587.2 71552
 150000 67642.2 68371.4 88730.8 74914.8
 156250 70645.6 71408.9 92794 78282.8
 156250 70023.6 74541.6 88516.6 77693.9
 312500 128979 146214 217895 164363
 468750 159530 205923 370487 245313
 625000 183544 231186 454084 289605
 781250 195596 216359 514690 308882
 937500 220563 227519 535529 327870
 1.09375e+06 243797 246535 588166 359499
 1.25e+06 272461 273662 643578 396567
 1.40625e+06 303420 265883 740724 436676
 1.5625e+06 313331 260222 814982 462845
 1.71875e+06 341823 292947 871110 501960
 1.875e+06 370957 382202 892777 548645
 2.03125e+06 389886 451938 939533 593786
 2.1875e+06 360967 492749 970869 608195
 2.34375e+06 376356 500132 977349 617946
 2.5e+06 456404 511452 940983 636280
 2.65625e+06 505248 535166 932016 657477
 2.8125e+06 534724 560229 975720 690224
 2.96875e+06 542039 579822 1.05773e+06 726530
 3.125e+06 581451 575486 1.15308e+06 770006
 3.28125e+06 610007 610414 1.22029e+06 813569
 3.4375e+06 636873 702381 1.26261e+06 867287
 3.59375e+06 733081 819456 1.24532e+06 932618
 3.75e+06 820291 905476 1.22133e+06 982366
 3.90625e+06 878743 984601 1.16905e+06 1.0108e+06
 3.90625e+06 3.05482e+06 238247 2.10501e+06 1.79936e+06
 7.8125e+06 6.59583e+06 795020 1.17221e+06 2.85435e+06
