# Time-averaged data for fix TempAve
# TimeStep c_T
100 295.799
200 296.775
300 295.737
400 299.846
500 302.924
600 299.772
700 296.786
800 296.61
900 301.48
1000 298.343
1100 297.814
1200 289.947
1300 297.153
1400 298.983
1500 297.475
1600 298.683
1700 296.329
1800 299.356
1900 298.996
2000 303.054
2100 295.791
2200 293.115
2300 297.895
2400 299.161
2500 298.804
2600 296.536
2700 297.76
2800 302.542
2900 301.313
3000 294.365
3100 298.801
3200 298.143
3300 291.864
3400 293.194
3500 296.5
3600 296.787
3700 298.745
3800 302.446
3900 296.119
4000 294.519
4100 297.141
4200 298.412
4300 300.504
4400 298.092
4500 293.838
4600 292.073
4700 296.072
4800 299.853
4900 303.281
5000 292.378
5100 297.455
5200 299.802
5300 296.611
5400 298.68
5500 302.55
5600 301.133
5700 294.513
5800 300.364
5900 295.069
6000 290.702
6100 297.593
6200 301.941
6300 300.158
6400 293.115
6500 297.246
6600 298.592
6700 302.551
6800 298.045
6900 296.97
7000 299.121
7100 297.011
7200 294.729
7300 296.149
7400 297.524
7500 298.926
7600 299.363
7700 302.918
7800 299.22
7900 297.161
8000 299.371
8100 298.805
8200 294.485
8300 295.002
8400 299.258
8500 299.178
8600 297.499
8700 299.702
8800 299.762
8900 297.71
9000 294.187
9100 297.119
9200 300.91
9300 299.516
9400 298.875
9500 303.578
9600 300.479
9700 294.483
9800 297.361
9900 299.178
10000 301.87
10100 302.106
10200 300.146
10300 296.916
10400 295.778
10500 295.995
10600 304.648
10700 298.576
10800 293.235
10900 297.048
11000 296.436
11100 298.507
11200 301.369
11300 298.398
11400 295.609
11500 295.594
11600 295.965
11700 300.505
11800 298.845
11900 299.412
12000 297.32
12100 297.724
12200 296.494
12300 299.833
12400 300.766
12500 299.57
12600 297.494
12700 295.867
12800 297.617
12900 294.27
13000 300.015
13100 299.195
13200 300.143
13300 294.874
13400 294.922
13500 298.867
13600 295.669
13700 300.142
13800 298.713
13900 296.302
14000 294.592
14100 295.451
14200 298.35
14300 299.46
14400 299.589
14500 300.845
14600 293.603
14700 298.685
14800 298.362
14900 297.411
15000 297.558
15100 300.127
15200 300.405
15300 300.914
15400 296.549
15500 295.521
15600 300.458
15700 300.319
15800 297.179
15900 292.028
16000 294.789
16100 298.824
16200 298.534
16300 298.063
16400 295.603
16500 296.935
16600 298.093
16700 299.381
16800 301.437
16900 297.26
17000 299.372
17100 297.607
17200 298.2
17300 299.076
17400 296.15
17500 296.121
17600 296.415
17700 295.8
17800 300.449
17900 298.416
18000 298.688
18100 296.179
18200 299.787
18300 299.961
18400 298.754
18500 295.677
18600 297.54
18700 294.381
18800 299.022
18900 297.742
19000 300.307
19100 297.881
19200 291.68
19300 298.586
19400 302.032
19500 296.819
19600 301.539
19700 298.988
19800 297.891
19900 295.209
20000 294.478
20100 297.109
20200 298.004
20300 299.566
20400 296.556
20500 293.805
20600 296.042
20700 299.456
20800 300.483
20900 300.449
21000 294.586
21100 294.432
21200 297.297
21300 298.734
21400 298.401
21500 297.54
21600 296.269
21700 291.82
21800 296.241
21900 300.201
22000 298.07
22100 298.09
22200 297.837
22300 295.646
22400 294.519
22500 298.961
22600 300.822
22700 296.553
22800 302.178
22900 307.083
23000 302.497
23100 296.78
23200 296.15
23300 298.587
23400 300.326
23500 300.218
23600 296.83
23700 295.387
23800 295.619
23900 297.109
24000 297.016
24100 300.437
24200 295.425
24300 299.678
24400 298.971
24500 296.268
24600 292.272
24700 296.698
24800 300.896
24900 299.914
25000 295.431
25100 294.279
25200 300.115
25300 301.062
25400 299.003
25500 298.482
25600 293.434
25700 296.776
25800 301.079
25900 296.294
26000 296.461
26100 300.046
26200 302.057
26300 298.895
26400 294.749
26500 297.174
26600 295.953
26700 297.629
26800 299.215
26900 303.199
27000 299.144
27100 299.3
27200 295.458
27300 296.361
27400 300.802
27500 300.479
27600 300.799
27700 298.869
27800 297.445
27900 297.509
28000 301.866
28100 299.811
28200 295.839
28300 298.519
28400 296.068
28500 291.915
28600 298.526
28700 300.386
28800 298.035
28900 298.915
29000 302.277
29100 303.331
29200 298.716
29300 297.877
29400 296.689
29500 298.753
29600 303.909
29700 299.402
29800 299.947
29900 295.569
30000 295.252
30100 299.804
30200 298.784
30300 298.199
30400 298.449
30500 296.979
30600 299.084
30700 301.707
30800 298.416
30900 295.583
31000 298.554
31100 296.179
31200 301.772
31300 299.778
31400 300.567
31500 296.827
31600 294.514
31700 299.694
31800 298.344
31900 296.784
32000 292.838
32100 292.664
32200 297.127
32300 299.589
32400 297.835
32500 298.064
32600 301.953
32700 294.008
32800 297.145
32900 297.628
33000 300.754
33100 301.973
33200 300.548
33300 298.97
33400 297.24
33500 298.724
33600 298.858
33700 295.007
33800 292.452
33900 299.684
34000 298.924
34100 298.405
34200 297.255
34300 297.597
34400 298.21
34500 296.73
34600 298.142
34700 291.204
34800 297.998
34900 295.345
35000 298.59
35100 300.808
35200 294.191
35300 296.29
35400 301.261
35500 302.412
35600 296.905
35700 296.771
35800 296.461
35900 288.772
36000 294.387
36100 297.619
36200 298.088
36300 299.867
36400 295.68
36500 295.9
36600 303.882
36700 301.462
36800 298.282
36900 296.768
37000 295.701
37100 299.193
37200 301.243
37300 301.255
37400 295.056
37500 295.172
37600 294.955
37700 302.746
37800 298.666
37900 298.848
38000 298.987
38100 294.733
38200 297.48
38300 296.535
38400 298.483
38500 297.356
38600 301.602
38700 302.275
38800 298.149
38900 296.708
39000 300.073
39100 293.918
39200 295.455
39300 295.714
39400 299.655
39500 300.359
39600 300.006
39700 297.22
39800 295.205
39900 296.568
40000 301.147
40100 296.71
40200 297.252
40300 300.131
40400 306.508
40500 299.008
40600 298.012
40700 298.414
40800 297.216
40900 294.677
41000 299.9
41100 300.704
41200 296.873
41300 293.688
41400 296.557
41500 297.335
41600 299.971
41700 295.242
41800 296.037
41900 298.898
42000 299.665
42100 299.58
42200 296.119
42300 296.471
42400 301.013
42500 305.279
42600 301.138
42700 296.11
42800 298.962
42900 299.851
43000 292.36
43100 298.23
43200 295.199
43300 306.132
43400 302.423
43500 299.215
43600 300.791
43700 293.08
43800 295.647
43900 298.661
44000 298.703
44100 296.533
44200 297.824
44300 301.6
44400 301.249
44500 298.284
44600 296.013
44700 298.911
44800 296.229
44900 299.282
45000 297.692
45100 297.102
45200 302.151
45300 301.038
45400 298.514
45500 300.32
45600 297.573
45700 294.884
45800 300.576
45900 302.104
46000 302.03
46100 299.413
46200 297.425
46300 297.243
46400 298.453
46500 301.005
46600 293.85
46700 296.447
46800 299.068
46900 295.876
47000 298.04
47100 302.573
47200 300.941
47300 299.927
47400 298.042
47500 294.818
47600 300.82
47700 301.799
47800 302.111
47900 302.228
48000 299.335
48100 298.562
48200 292.117
48300 298.145
48400 300.993
48500 297.287
48600 295.717
48700 297.233
48800 303.324
48900 300.596
49000 296.664
49100 297.578
49200 296.628
49300 299.416
49400 304.101
49500 300.251
49600 297.937
49700 298.025
49800 293.787
49900 295.28
50000 300.48
50100 301.021
50200 297.311
50300 297.732
50400 297.333
50500 295.79
50600 299.616
50700 298.941
50800 293.621
50900 291.025
51000 292.198
51100 296.106
51200 299.763
51300 297.938
51400 301.016
51500 296.673
51600 291.129
51700 298.98
