#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__wat_wat	MSD__wat_met	MSD__met_met	
 1000 335.133 -160.806 124.621
 2000 540.06 -266.763 192.935
 3000 725.182 -363.43 253.149
 4000 895.446 -453.567 308.352
 5000 1061.3 -542.427 362.357
 6000 1226.74 -631.498 414.62
 7000 1389.82 -719.693 465.959
 8000 1553.67 -808.044 516.856
 9000 1712.77 -894.945 566.877
 10000 1874.83 -984.789 618.236
 11000 2039.85 -1077 671.291
 12000 2204.82 -1168.78 724.488
 13000 2367.43 -1259.69 776.451
 14000 2527.41 -1347.29 826.261
 15000 2683.97 -1435.03 875.907
 16000 2844.04 -1524.81 926.66
 17000 3000.25 -1612.78 976.827
 18000 3161.97 -1702.94 1028.16
 19000 3325.91 -1794.41 1080.24
 20000 3485.59 -1883.68 1130.92
 21000 3643.27 -1972.35 1181.3
 22000 3804.95 -2061.97 1231.51
 23000 3964.69 -2152.52 1282.69
 24000 4118.43 -2239.54 1332.21
 25000 4271.06 -2325.32 1380.86
 25000 4357.73 -2372.07 1404.97
 50000 8083.58 -4475.55 2598.55
 75000 11907 -6629.53 3811.39
 100000 15927.3 -8878.08 5066.01
 125000 19636.5 -10957.1 6233.96
 150000 23292 -13014.8 7394.98
 175000 26889.5 -15017.7 8513.18
 200000 30366.2 -16973 9605.03
 225000 33675 -18842.3 10654.7
 250000 37061.1 -20740.2 11728.7
 275000 40323.1 -22558.9 12735.3
 300000 43947.6 -24606.2 13892
 325000 47838.3 -26798.1 15133.9
 350000 51064 -28615.8 16160.7
 375000 54262.2 -30399.5 17152
 400000 57479.3 -32205.8 18163.3
 425000 60483.9 -33904 19125.9
 450000 63605.4 -35690.9 20138
 475000 66476.2 -37274.6 21014.7
 500000 69496.7 -38982 21977.3
 525000 72599.9 -40729.6 22967.6
 550000 75542 -42344.7 23856.1
 575000 78213.5 -43829.9 24680.4
 600000 81019.3 -45420.1 25580.6
 625000 83697.4 -46934.6 26431.8
 625000 95781.8 -53147.4 29569.8
 1.25e+06 117461 -66134.7 37307.1
 1.875e+06 212302 -118950 66734.2
 2.5e+06 288533 -162269 91358.2
 3.125e+06 391670 -219976 123646
 3.75e+06 530749 -298016 167448
 4.375e+06 663824 -373375 210069
 5e+06 836793 -469573 263583
 5.625e+06 1.00446e+06 -564140 316928
 6.25e+06 1.19821e+06 -672473 377491
 6.875e+06 1.34632e+06 -758026 426859
 7.5e+06 1.55438e+06 -876074 493858
 8.125e+06 1.51047e+06 -853644 482517
 8.75e+06 1.85629e+06 -1.05049e+06 594567
 9.375e+06 1.59384e+06 -904662 513553
 1e+07 2.09326e+06 -1.18795e+06 674450
