# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100 -16061.6 -19946 300.794 72.8344
200 -16154.8 -19975.4 295.857 -132.289
300 -16167.9 -20008.4 297.397 184.091
400 -16149 -20002 298.367 224.633
500 -16144.9 -20032.5 301.04 129.386
600 -16257.2 -20052 293.85 41.5477
700 -16303.2 -20150.2 297.898 -52.0695
800 -16327.9 -20139.3 295.139 60.6215
900 -16277.2 -20105 296.411 224.145
1000 -16169.3 -20044.9 300.105 297.909
1100 -16140.7 -19971.2 296.624 70.6118
1200 -16094 -19965.4 299.781 76.1336
1300 -16061.7 -19980 303.415 77.4028
1400 -16165.1 -20010.3 297.761 3.85083
1500 -16244.6 -20070.4 296.255 29.6388
1600 -16243 -20088.3 297.772 156.824
1700 -16219.7 -20070.9 298.215 -83.0867
1800 -16185.7 -20091.5 302.451 143.856
1900 -16204.7 -20060.8 298.601 48.6459
2000 -16279.4 -20131.5 298.291 27.5538
2100 -16351.8 -20138.5 293.226 -179.346
2200 -16311.3 -20104.9 293.763 -259.079
2300 -16240.3 -20085 297.714 -237.236
2400 -16211.5 -20051.4 297.345 -302.614
2500 -16169.7 -20019.4 298.106 -35.1674
2600 -16109.1 -19985.3 300.152 -215.118
2700 -16043.3 -19981 304.925 -49.5942
2800 -16118.3 -20004.1 300.899 -120.834
2900 -16215 -20020.1 294.653 -234.034
3000 -16190.3 -20036.8 297.854 107.856
3100 -16162.5 -20067.2 302.368 86.6873
3200 -16234.3 -20055.1 295.865 113.168
3300 -16286.6 -20076.7 293.49 -202.301
3400 -16195.3 -20058 299.115 -33.2231
3500 -16125.1 -19993.2 299.527 -134.927
3600 -16127.1 -19994.7 299.491 -258.069
3700 -16166.8 -20025.3 298.785 46.6487
3800 -16240.9 -20051.3 295.066 12.6936
3900 -16241.5 -20070.2 296.478 -23.8702
4000 -16144 -20048.6 302.359 -153.724
4100 -16083.3 -19988.2 302.381 65.2814
4200 -16142.8 -19996.8 298.439 -107.168
4300 -16192.6 -20052.6 298.905 57.0245
4400 -16222.9 -20074.1 298.227 281.085
4500 -16224.5 -20048.9 296.148 -134.144
4600 -16193.8 -20007 295.283 -112.444
4700 -16135.3 -19993.7 298.781 -29.772
4800 -16119.1 -20023.1 302.317 174.389
4900 -16162 -20038.7 300.2 -6.55679
5000 -16192.9 -20040 297.904 -287.244
5100 -16223.6 -20095.5 299.83 -19.4542
5200 -16305 -20084.5 292.664 -232.714
5300 -16282.3 -20088.8 294.767 -79.7577
5400 -16184 -20059.7 300.12 166.599
5500 -16183.8 -20046.3 299.094 100.689
5600 -16198.2 -20021.8 296.086 -131.593
5700 -16161.8 -20028.1 299.39 -135.705
5800 -16113.4 -20015.1 302.134 240.469
5900 -16132.1 -19988.4 298.62 144.844
6000 -16219.8 -20042.7 296.037 -196.655
6100 -16258.9 -20047.9 293.4 -57.9625
6200 -16184 -20043.2 298.842 -164.652
6300 -16119 -20036.5 303.359 80.0638
6400 -16165.4 -20036.2 299.742 -43.8064
6500 -16202.3 -20002.9 294.304 -451.12
6600 -16153.7 -20010.2 298.628 130.835
6700 -16083.2 -19971.3 301.081 -219.669
6800 -16091.7 -19994.6 302.227 -81.5287
6900 -16223.1 -20038 295.406 -132.567
7000 -16252.6 -20089.6 297.128 -63.2993
7100 -16227.8 -20034.8 294.801 -116.019
7200 -16141.5 -20023.6 300.617 18.8833
7300 -16116 -19986.4 299.707 18.246
7400 -16158.3 -20004.1 297.804 -110.256
7500 -16278.6 -20066.4 293.31 10.6985
7600 -16293.9 -20091.3 294.052 -26.2786
7700 -16242.6 -20072.7 296.588 -85.8605
7800 -16205.3 -20078.2 299.901 44.0055
7900 -16216.8 -20061.8 297.74 -36.9247
8000 -16241 -20072.6 296.705 149.118
8100 -16277.3 -20043.1 291.608 3.45023
8200 -16214.1 -20059.2 297.748 -54.7995
8300 -16147.1 -20045.2 301.852 96.7699
8400 -16168.1 -20023.8 298.567 -196.542
8500 -16258.4 -20094.7 297.067 -125.327
8600 -16324.5 -20149.5 296.198 228.656
