#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__met	MSD__wat	
 1000 343.305 322.156
 2000 538.235 517.034
 3000 713.474 694.582
 4000 880.447 865.135
 5000 1043.49 1032.37
 6000 1204.27 1197.96
 7000 1363.84 1362.76
 8000 1522.47 1526.63
 9000 1680.59 1689.97
 10000 1837.96 1852.69
 11000 1994.76 2014.95
 12000 2151.04 2176.83
 13000 2307.01 2338.38
 14000 2462.35 2499.7
 15000 2618.01 2660.83
 16000 2773.43 2821.77
 17000 2928.32 2982.32
 18000 3083.07 3142.64
 19000 3237.44 3302.65
 20000 3391.89 3462.61
 21000 3546.41 3622.61
 22000 3701.21 3782.51
 23000 3855.83 3942.35
 24000 4010.3 4101.91
 25000 4164.71 4261.58
 25000 4170.97 4270.73
 50000 8033.71 8244.91
 75000 11886.4 12211.8
 100000 15727.7 16156.1
 125000 19580.3 20113.7
 150000 23446.8 24074.1
 175000 27318.3 28038
 200000 31175.1 31998.5
 225000 35037.5 35963.6
 250000 38903.4 39944.8
 275000 42777.6 43927.6
 300000 46661.1 47915.6
 325000 50546 51904.9
 350000 54443.2 55887.2
 375000 58339.3 59859.6
 400000 62228.3 63830.4
 425000 66116.3 67794
 450000 69998.8 71764.2
 475000 73883.8 75735.2
 500000 77783.3 79714.2
 525000 81692 83680.2
 550000 85599.7 87645.5
 575000 89515.1 91605
 600000 93434.4 95571.8
 625000 97343.6 99547.9
 625000 97504.9 99749.7
 1.25e+06 195195 199617
 1.875e+06 291668 297141
 2.5e+06 387279 395725
 3.125e+06 482682 493276
 3.75e+06 579533 590841
 4.375e+06 676858 688465
 5e+06 776174 785939
 5.625e+06 874001 882529
 6.25e+06 967786 974641
 6.875e+06 1.0597e+06 1.066e+06
 7.5e+06 1.15394e+06 1.16591e+06
 8.125e+06 1.24937e+06 1.27328e+06
 8.75e+06 1.34645e+06 1.37816e+06
 9.375e+06 1.44537e+06 1.47116e+06
 1e+07 1.54446e+06 1.58167e+06
