# Time-averaged data for fix DensAve
# TimeStep v_Dens
40000 0.876111
80000 0.875216
120000 0.873792
160000 0.875614
200000 0.875956
240000 0.874329
280000 0.873782
320000 0.874235
360000 0.877491
400000 0.875641
440000 0.873942
480000 0.874063
520000 0.875591
560000 0.873296
600000 0.873839
640000 0.874811
680000 0.872761
720000 0.87832
760000 0.873314
800000 0.874634
840000 0.874508
880000 0.875451
920000 0.875796
960000 0.877273
1000000 0.875647
