#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_all2	MSD_bulkvisc
 10 1.02392e+09 1.0244e+09 1.02409e+09 1.0204e+09 1.0263e+09 1.0199e+09 1.0222e+09 1.02298e+09 1.02317e+09 1.16749e+09
 20 3.27099e+09 3.27262e+09 3.27206e+09 3.25779e+09 3.28143e+09 3.25379e+09 3.26434e+09 3.26736e+09 3.26812e+09 4.3461e+09
 30 6.79758e+09 6.79997e+09 6.79666e+09 6.76896e+09 6.81955e+09 6.75929e+09 6.7826e+09 6.78879e+09 6.79033e+09 9.36653e+09
 40 1.11056e+10 1.11065e+10 1.10977e+10 1.10579e+10 1.11404e+10 1.10385e+10 1.10789e+10 1.10887e+10 1.10911e+10 1.58842e+10
 50 1.58e+10 1.57975e+10 1.578e+10 1.57314e+10 1.58477e+10 1.56972e+10 1.57588e+10 1.57723e+10 1.57756e+10 2.3611e+10
 60 2.10394e+10 2.10296e+10 2.10001e+10 2.09497e+10 2.10965e+10 2.08967e+10 2.0981e+10 2.09978e+10 2.1002e+10 3.24289e+10
 70 2.62555e+10 2.6235e+10 2.61918e+10 2.61455e+10 2.6319e+10 2.60692e+10 2.61779e+10 2.61977e+10 2.62027e+10 4.19918e+10
 80 3.18174e+10 3.17828e+10 3.17246e+10 3.16871e+10 3.18844e+10 3.15869e+10 3.17195e+10 3.17417e+10 3.17472e+10 5.22527e+10
 90 3.73983e+10 3.73471e+10 3.72742e+10 3.72474e+10 3.74686e+10 3.71247e+10 3.72802e+10 3.73041e+10 3.731e+10 6.29373e+10
 100 4.31603e+10 4.30922e+10 4.30052e+10 4.2985e+10 4.32357e+10 4.28434e+10 4.30214e+10 4.30472e+10 4.30536e+10 7.39614e+10
 110 4.91826e+10 4.90964e+10 4.89953e+10 4.89784e+10 4.92655e+10 4.88238e+10 4.90226e+10 4.90501e+10 4.9057e+10 8.52351e+10
 120 5.531e+10 5.52069e+10 5.50914e+10 5.50692e+10 5.54042e+10 5.49089e+10 5.51274e+10 5.51576e+10 5.51651e+10 9.66166e+10
 130 6.18389e+10 6.17183e+10 6.15863e+10 6.15537e+10 6.19462e+10 6.13955e+10 6.16318e+10 6.16649e+10 6.16732e+10 1.08147e+11
 140 6.84883e+10 6.83507e+10 6.81997e+10 6.81517e+10 6.86104e+10 6.80025e+10 6.82549e+10 6.82914e+10 6.83006e+10 1.19687e+11
 150 7.54719e+10 7.53184e+10 7.5145e+10 7.50768e+10 7.5609e+10 7.49409e+10 7.52089e+10 7.525e+10 7.52603e+10 1.31291e+11
 160 8.26373e+10 8.24682e+10 8.22662e+10 8.218e+10 8.27879e+10 8.20595e+10 8.23425e+10 8.23884e+10 8.23998e+10 1.42901e+11
 170 8.99754e+10 8.97933e+10 8.95549e+10 8.94502e+10 9.01381e+10 8.93452e+10 8.96445e+10 8.96965e+10 8.97095e+10 1.54519e+11
 180 9.75563e+10 9.7362e+10 9.70762e+10 9.69601e+10 9.77287e+10 9.68692e+10 9.7186e+10 9.72442e+10 9.72588e+10 1.6618e+11
 190 1.05216e+11 1.05012e+11 1.04666e+11 1.04545e+11 1.05396e+11 1.04467e+11 1.04803e+11 1.04868e+11 1.04884e+11 1.77839e+11
 200 1.13139e+11 1.12928e+11 1.12507e+11 1.12389e+11 1.13326e+11 1.12322e+11 1.12679e+11 1.12751e+11 1.12769e+11 1.89571e+11
 210 1.21176e+11 1.20958e+11 1.2045e+11 1.20345e+11 1.21368e+11 1.20286e+11 1.20666e+11 1.20744e+11 1.20764e+11 2.01336e+11
 220 1.2945e+11 1.29227e+11 1.2862e+11 1.2853e+11 1.29647e+11 1.28479e+11 1.28885e+11 1.28971e+11 1.28992e+11 2.13189e+11
 230 1.37934e+11 1.37704e+11 1.36988e+11 1.36922e+11 1.38133e+11 1.36878e+11 1.37311e+11 1.37403e+11 1.37427e+11 2.2513e+11
 240 1.46609e+11 1.46372e+11 1.45538e+11 1.45499e+11 1.46808e+11 1.45464e+11 1.45923e+11 1.46023e+11 1.46048e+11 2.37168e+11
 250 1.55552e+11 1.55306e+11 1.54346e+11 1.54338e+11 1.55746e+11 1.54312e+11 1.54799e+11 1.54907e+11 1.54934e+11 2.49342e+11
 250 1.55658e+11 1.55631e+11 1.54415e+11 1.54444e+11 1.55716e+11 1.54603e+11 1.54921e+11 1.55047e+11 1.55078e+11 2.50169e+11
 500 4.27713e+11 4.25882e+11 4.19786e+11 4.22047e+11 4.23673e+11 4.21258e+11 4.22326e+11 4.2318e+11 4.23393e+11 6.0519e+11
 750 7.7246e+11 7.69094e+11 7.53459e+11 7.56347e+11 7.62325e+11 7.54639e+11 7.5777e+11 7.60664e+11 7.61387e+11 1.05738e+12
 1000 1.17462e+12 1.17019e+12 1.1418e+12 1.14288e+12 1.15624e+12 1.14347e+12 1.14753e+12 1.1534e+12 1.15487e+12 1.58485e+12
 1250 1.62146e+12 1.61718e+12 1.57403e+12 1.57286e+12 1.59605e+12 1.57934e+12 1.58275e+12 1.59134e+12 1.59349e+12 2.17484e+12
 1500 2.10526e+12 2.10195e+12 2.03938e+12 2.03827e+12 2.07095e+12 2.0539e+12 2.05437e+12 2.0655e+12 2.06828e+12 2.82127e+12
 1750 2.61965e+12 2.61733e+12 2.53271e+12 2.53185e+12 2.57536e+12 2.56046e+12 2.55589e+12 2.56949e+12 2.57289e+12 3.51481e+12
 2000 3.15958e+12 3.15937e+12 3.04919e+12 3.04688e+12 3.10329e+12 3.09308e+12 3.08108e+12 3.09774e+12 3.1019e+12 4.25055e+12
 2250 3.72237e+12 3.72405e+12 3.58561e+12 3.58009e+12 3.65312e+12 3.64642e+12 3.62654e+12 3.64686e+12 3.65194e+12 5.02255e+12
 2500 4.30231e+12 4.30872e+12 4.13902e+12 4.12707e+12 4.2207e+12 4.21915e+12 4.18897e+12 4.21339e+12 4.21949e+12 5.82663e+12
