# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100 -16207.2 -20035.7 296.466 -22.0588 0.878066
200 -16257.9 -20121.6 299.189 254.212 0.881136
300 -16317.3 -20102.3 293.097 260.195 0.881843
400 -16266.9 -20081.9 295.42 -0.835034 0.880133
500 -16171.8 -20059.5 301.048 -133.053 0.878301
600 -16195.1 -20081.1 300.91 174.813 0.877214
700 -16276.9 -20113.7 297.104 15.1953 0.875194
800 -16315.8 -20123.8 294.879 -53.6161 0.872823
900 -16261.5 -20075.3 295.327 -204.813 0.87121
1000 -16157.5 -20026.6 299.605 -269.974 0.871737
1100 -16147.4 -20039.6 301.393 191.119 0.874501
1200 -16218.1 -20074.5 298.628 319.41 0.875466
1300 -16273.5 -20100.5 296.348 -96.4656 0.873688
1400 -16252.5 -20043.2 293.541 -101.812 0.87276
1500 -16162.6 -20030.8 299.54 126.179 0.872592
1600 -16143.8 -20010.6 299.43 -129.736 0.871598
1700 -16167.5 -20025.2 298.728 202.876 0.87113
1800 -16203.5 -20000.6 294.029 -23.8557 0.869407
1900 -16150 -20000.3 298.148 -59.8269 0.867783
2000 -16055.9 -19950 301.546 33.4814 0.866703
2100 -16070.9 -19968.8 301.841 -36.207 0.865659
2200 -16154.9 -20029.5 300.039 -214.389 0.865278
2300 -16191.8 -20006.6 295.406 -180.849 0.866458
2400 -16160.2 -19995.9 297.023 38.188 0.869369
2500 -16110.8 -19976.6 299.35 287.562 0.871608
2600 -16053.7 -19929.4 300.114 0.959675 0.871412
2700 -15959.5 -19872.8 303.029 150.205 0.870819
2800 -15976.2 -19908 304.462 164.398 0.868964
2900 -16083.7 -19926.7 297.593 -75.4177 0.865936
3000 -16101.4 -19909.9 294.919 -179.075 0.86408
3100 -16060.5 -19948.9 301.106 -222.305 0.864154
3200 -16067.5 -19963.8 301.717 -193.627 0.866166
3300 -16184 -20026.1 297.515 35.7628 0.869658
3400 -16225.8 -20056.7 296.652 32.0276 0.872419
3500 -16203.7 -20033.2 296.539 -176.73 0.874637
3600 -16129.9 -20006.2 300.161 399.867 0.87731
3700 -16082.8 -19968.8 300.919 293.114 0.87649
3800 -16130.3 -19969.8 297.314 -55.6397 0.873357
3900 -16233.7 -20060.9 296.363 -185.235 0.871033
4000 -16273 -20089.7 295.551 -238.153 0.870834
4100 -16249.7 -20088.7 297.275 126.672 0.872335
4200 -16145.1 -20015.1 299.678 62.7392 0.872789
4300 -16094.3 -19970.7 300.174 74.0418 0.872563
4400 -16099.4 -19917.3 295.646 -46.0761 0.871897
4500 -16064.2 -19965.9 302.136 -202.307 0.871691
4600 -16077.5 -19930.2 298.339 -141.759 0.873112
4700 -16166 -19991.7 296.251 -76.1117 0.876132
4800 -16227.1 -20070.8 297.64 209.999 0.879347
4900 -16270.3 -20068.9 294.149 155.429 0.880803
5000 -16215.3 -20077.2 299.055 198.629 0.880457
5100 -16114.3 -19994.9 300.494 -167.748 0.87868
5200 -16098.6 -19984.5 300.91 92.0579 0.877862
5300 -16141.8 -19996.1 298.462 11.0948 0.876559
5400 -16169.2 -20033.7 299.253 -121.194 0.875341
5500 -16195.3 -20049.3 298.443 138.924 0.875002
5600 -16221.4 -20071.1 298.108 -49.2046 0.873806
5700 -16264.3 -20090.8 296.309 -114.093 0.872921
5800 -16335.6 -20089.7 290.698 10.5586 0.873084
5900 -16298.3 -20128.8 296.614 -139.128 0.873521
6000 -16218 -20064.7 297.868 172.669 0.874647
6100 -16194.8 -20055.5 298.96 -153.433 0.874916
6200 -16168.3 -19966.7 294.129 -295.269 0.87642
6300 -16060.8 -19973.6 302.993 14.5742 0.880437
