#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__met_met	MSD__met_wat	MSD__wat_wat	
 1000 122.071 -156.543 330.663
 2000 189.991 -261.925 536.288
 3000 250.911 -359.348 722.756
 4000 308.687 -453.119 897.877
 5000 362.742 -543.028 1066.32
 6000 417.533 -636.556 1239.7
 7000 472.112 -730.101 1413.04
 8000 525.646 -821.532 1581.13
 9000 579.107 -913.019 1746.04
 10000 632.796 -1005.06 1910.95
 11000 682.923 -1093.49 2073.37
 12000 734.714 -1184.23 2239.28
 13000 786.532 -1276.4 2408.18
 14000 838.981 -1369.3 2578.77
 15000 890.975 -1463.12 2748.65
 16000 943.493 -1555.47 2914.52
 17000 995.638 -1649.15 3085.41
 18000 1047.35 -1741.75 3252.92
 19000 1097.25 -1832.46 3418.81
 20000 1147.55 -1922.43 3582.91
 21000 1196.26 -2010.64 3741.92
 22000 1247.84 -2102.52 3908.85
 23000 1298.69 -2193.27 4071.52
 24000 1349.69 -2284.03 4235.01
 25000 1401.3 -2377.35 4402.66
 25000 1422.95 -2441.53 4551.01
 50000 2640.35 -4657.49 8591.42
 75000 3921.18 -6919.38 12611
 100000 5253.41 -9248.61 16685.3
 125000 6586.49 -11607.2 20855.7
 150000 7845.9 -13841 24824.1
 175000 9173.22 -16226.7 29077.2
 200000 10592 -18730.6 33530.9
 225000 11942.8 -21186.8 37985.5
 250000 13355.9 -23667.8 42345.4
 275000 14813.2 -26247.6 46901.9
 300000 16175.3 -28658.7 51170.5
 325000 17627 -31246.1 55784.6
 350000 19042.7 -33797.4 60365.5
 375000 20444.4 -36285.2 64784.7
 400000 21792.8 -38676.4 69020.6
 425000 23130.7 -41079.5 73347.1
 450000 24599.5 -43673.2 77920.6
 475000 25963.6 -46045.9 82074
 500000 27355.6 -48534.6 86524.8
 525000 28763.9 -50998.7 90812.7
 550000 30110.3 -53371.7 94990.6
 575000 31611.9 -56055.9 99806.5
 600000 33068.2 -58681.5 104527
 625000 34523 -61262.4 109096
 625000 34728.3 -61781.3 110186
 1.25e+06 58155.4 -103028 182912
 1.875e+06 101073 -179861 320415
 2.5e+06 159904 -283971 504531
 3.125e+06 230389 -409485 728030
 3.75e+06 286350 -508793 904305
 4.375e+06 348028 -619250 1.10215e+06
 5e+06 398960 -709891 1.26348e+06
 5.625e+06 395710 -701985 1.24556e+06
 6.25e+06 426802 -757874 1.34597e+06
 6.875e+06 448068 -797238 1.41886e+06
 7.5e+06 485221 -863066 1.53573e+06
 8.125e+06 548939 -978787 1.7457e+06
 8.75e+06 575794 -1.02683e+06 1.83136e+06
 9.375e+06 625933 -1.11046e+06 1.9704e+06
 1e+07 665081 -1.18229e+06 2.10219e+06
