# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
13500 -16182.3 -20026.1 297.649 199.376
13600 -16190.9 -20076.6 300.899 -36.7803
13700 -16234.7 -20035.6 294.326 -102.67
13800 -16194 -19991.4 294.056 138.479
13900 -16089.1 -19974.9 300.9 99.443
14000 -16092.2 -19961.5 299.628 -11.7072
14100 -16148.2 -20007.7 298.862 53.6457
14200 -16216.2 -20021.9 294.702 -114.837
14300 -16199.3 -20014.3 295.422 34.9665
14400 -16080.3 -19990.7 302.811 6.29098
14500 -16061.4 -19955 301.508 -141.846
14600 -16106.7 -19955.5 298.038 -62.6334
14700 -16151.5 -20017.3 299.354 -50.5411
14800 -16219.9 -20016.3 293.98 88.1105
14900 -16239.4 -20072.6 296.826 115.827
15000 -16168 -20083.1 303.17 153.606
15100 -16157 -20044.7 301.047 -160.866
15200 -16245.3 -20118.8 299.946 -107.698
15300 -16327.5 -20169.8 297.535 -19.4413
15400 -16342.2 -20153.8 295.155 -174.777
15500 -16284.4 -20135.3 298.199 -260.493
15600 -16197.5 -20075 300.251 -321.567
15700 -16180.8 -20062.6 300.599 -191.977
15800 -16208.6 -20065.2 298.635 -227.281
15900 -16211.9 -20057 297.743 -4.47625
16000 -16211.2 -20064.7 298.402 -62.728
16100 -16223.1 -20063.3 297.37 -309.605
16200 -16230.3 -20098.5 299.539 -107.082
16300 -16284.4 -20094.9 295.073 -138.806
16400 -16304.3 -20133 296.485 -21.6476
16500 -16264.8 -20099.7 296.958 -99.6999
16600 -16180.6 -20085.1 302.356 -21.3566
16700 -16180.1 -20013.7 296.858 -87.9595
16800 -16146.5 -20019 299.876 -97.7637
16900 -16083.5 -19984.9 302.11 135.09
17000 -16103 -20000.5 301.806 -25.3423
17100 -16215.1 -20076.8 299.036 -224.392
17200 -16267.5 -20095.3 296.413 -111.748
17300 -16260.2 -20080.3 295.814 -87.9108
17400 -16185.2 -20057.6 299.86 -167.274
17500 -16119.4 -20004 300.81 73.6449
17600 -16131.7 -20000.4 299.58 224.284
17700 -16263.7 -20113.9 298.142 -94.5173
17800 -16332.8 -20133.7 294.329 -167.955
17900 -16289.1 -20107.1 295.655 -136.967
18000 -16214.8 -20086.4 299.806 -188.414
18100 -16206 -20066.7 298.959 249.831
18200 -16257.9 -20107.3 298.078 -255.958
18300 -16363.6 -20160.1 293.984 -262.421
18400 -16369.2 -20160.5 293.584 -44.1007
18500 -16300.3 -20145.6 297.767 -69.382
18600 -16259.7 -20095.5 297.024 -100.549
18700 -16247.7 -20100.7 298.36 -86.2373
18800 -16242.5 -20098.3 298.575 -248.619
18900 -16246.4 -20084.4 297.201 -218.677
19000 -16230.7 -20095.7 299.287 -15.354
19100 -16223.8 -20087.7 299.21 26.1742
19200 -16256.3 -20068.3 295.189 -50.5452
19300 -16244.4 -20066.3 295.952 -91.1966
19400 -16156.6 -20018 299.013 22.5537
19500 -16085.5 -19952.7 299.459 -169.625
19600 -16079.5 -19968.8 301.171 -88.4688
19700 -16164.9 -20032.5 299.49 -136.226
19800 -16247.2 -20076.6 296.528 71.4264
19900 -16251.1 -20120 299.594 -71.1876
20000 -16279.5 -20112.3 296.802 -159.036
20100 -16303.5 -20121 295.61 -179.222
20200 -16246 -20091.2 297.762 12.5406
20300 -16148.3 -20015.9 299.493 -348.681
20400 -16124.3 -20013.2 301.142 -121.488
20500 -16168.6 -20018 298.089 4.14124
20600 -16277.1 -20104 296.341 -328.071
20700 -16350.2 -20138.2 293.329 -220.53
20800 -16304.7 -20126.6 295.952 -196.983
20900 -16230.1 -20064.7 296.939 -19.4118
21000 -16178.4 -20061.7 300.705 75.7757
21100 -16170.4 -20000 296.55 -1.66536
21200 -16110 -20013.7 302.281 -41.9577
21300 -16049.2 -19988.1 305.009 -29.386
21400 -16134.7 -20014.1 300.412 251.827
21500 -16211.7 -20040 296.45 55.2643
21600 -16211.8 -20048 297.062 -117.592
21700 -16167.4 -20021.9 298.479 -56.548
21800 -16100.3 -20019 303.444 -175.745
21900 -16122.9 -19990.3 299.476 -217.061
22000 -16221.4 -20056.8 296.997 -24.4913
22100 -16277.5 -20112 296.931 42.9041
22200 -16287.9 -20101.8 295.341 -125.103
22300 -16191.6 -20063.4 299.816 -215.954
22400 -16112.6 -20007.3 301.592 -199.034
22500 -16139.6 -19995.5 298.59 -186.463
22600 -16196.3 -20079.2 300.681 83.9309
22700 -16278.3 -20087.9 294.995 -85.3459
22800 -16282.5 -20117.7 296.978 -126.035
22900 -16267.5 -20126.2 298.803 35.8
23000 -16271.1 -20132.8 299.037 -137.098
23100 -16328.8 -20125.4 293.989 -176.716
23200 -16414.2 -20199.8 293.143 -251.001
23300 -16390.4 -20168.3 292.547 -417.791
23400 -16263.9 -20046.9 292.943 -74.5726
23500 -16186.2 -20040.7 298.472 107.998
23600 -16152.3 -20041.3 301.148 213.483
23700 -16186.6 -20017.9 296.681 -184.434
23800 -16221.6 -20057.4 297.024 -117.633
23900 -16243.6 -20074.1 296.619 11.9244
24000 -16280 -20124.4 297.692 -69.0934
24100 -16327.9 -20110.1 292.883 -38.2236
24200 -16288.6 -20141.7 298.376 -297.371
24300 -16201.4 -20077.1 300.118 -114.79
24400 -16177.9 -20039.9 299.066 -200.952
24500 -16165.7 -20009 297.606 -100.31
24600 -16076.4 -19989.6 303.023 -168.254
24700 -16075.6 -19963.8 301.08 -283.542
24800 -16163.5 -20010.3 297.884 -126.973
24900 -16212.3 -20078.2 299.36 23.2196
25000 -16243.5 -20049.4 294.713 0.667924
25100 -16192.9 -20046.7 298.423 -158.89
25200 -16063.9 -19965.8 302.148 -338.285
25300 -16054.6 -19922.4 299.507 -186.824
25400 -16085.7 -19944.8 298.833 86.3864
25500 -16134.8 -19975.7 297.428 -85.8352
25600 -16206.2 -20017.5 295.132 -169.955
25700 -16306.4 -20119.3 295.254 -184.966
25800 -16357.1 -20101.4 289.938 -280.925
25900 -16275.2 -20069 293.776 -148.953
26000 -16213.4 -20083.9 299.715 -12.3835
26100 -16226.2 -20126.2 301.997 69.0653
26200 -16314.8 -20134.6 295.787 -14.5828
26300 -16328.9 -20137.3 294.908 185.203
26400 -16284 -20137.8 298.424 -32.8648
26500 -16250.9 -20134 300.699 18.809
26600 -16310.4 -20144.4 296.891 31.3156
26700 -16420.9 -20219.8 294.17 49.6718
26800 -16415.4 -20254.6 297.293 81.5701
26900 -16369 -20205.2 297.067 115.789
27000 -16280.2 -20171 301.285 112.858
27100 -16268.4 -20125.8 298.702 -97.5315
27200 -16288.1 -20132.2 297.665 -245.717
27300 -16298.8 -20129.5 296.633 -19.9707
27400 -16298.9 -20123.2 296.132 -30.8927
27500 -16254.7 -20090.2 297.009 3.33066
27600 -16180.7 -20069.9 301.158 -180.913
27700 -16178.1 -20072.3 301.555 -137.369
27800 -16278.3 -20129.6 298.227 302.507
27900 -16319.5 -20122.2 294.461 -163.629
28000 -16268.4 -20103.4 296.965 -116.324
