#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 10 6.14033 6.12909 6.11699 6.12881
 20 16.8839 16.8473 16.8254 16.8522
 30 25.6537 25.6252 25.6036 25.6275
 40 30.7074 30.7366 30.7185 30.7208
 50 34.7332 34.8247 34.8105 34.7895
 60 41.419 41.536 41.5412 41.4988
 70 49.8986 50.0011 50.0409 49.9802
 80 58.9102 58.9772 59.0539 58.9804
 90 67.0176 67.0497 67.1567 67.0747
 100 74.2155 74.2191 74.36 74.2648
 110 81.2109 81.1878 81.3778 81.2589
 120 88.3441 88.2969 88.5512 88.3974
 130 95.9287 95.8484 96.1765 95.9845
 140 103.503 103.385 103.771 103.553
 150 111.032 110.874 111.3 111.069
 160 118.345 118.151 118.611 118.369
 170 125.576 125.367 125.869 125.604
 180 132.748 132.543 133.11 132.8
 190 139.755 139.556 140.195 139.835
 200 146.791 146.582 147.277 146.884
 210 153.689 153.448 154.171 153.769
 220 160.546 160.291 161.024 160.62
 230 167.252 167.019 167.77 167.347
 240 173.874 173.661 174.455 173.997
 250 180.524 180.298 181.155 180.659
 250 180.622 179.653 181.039 180.438
 500 332.771 330.641 334.297 332.57
 750 475.823 471.173 475.512 474.169
 1000 614.204 606.857 612.905 611.322
 1250 749.999 738.501 748.331 745.61
 1500 883.749 867.411 883.435 878.199
 1750 1016.15 996.305 1017.87 1010.11
 2000 1145.44 1124.29 1153.21 1140.98
 2250 1272.79 1252.89 1285.08 1270.26
 2500 1400.46 1379.05 1418.71 1399.4
 2750 1525.32 1505.94 1550.57 1527.28
 3000 1646.98 1634.81 1681.09 1654.29
 3250 1771.06 1761.72 1811.23 1781.34
 3500 1896.61 1886.55 1936.75 1906.64
 3750 2020.09 2011.75 2060.89 2030.91
 4000 2144.75 2138.55 2185.47 2156.25
 4250 2269.56 2264.33 2306.42 2280.1
 4500 2396.86 2386.88 2425.49 2403.08
 4750 2523.08 2509.68 2544.49 2525.75
 5000 2651.25 2630.9 2665.87 2649.34
 5250 2781.7 2751.24 2790.3 2774.41
 5500 2910.98 2872.36 2913.71 2899.02
 5750 3037.96 2993.78 3038.03 3023.26
 6000 3164.79 3115.56 3160.38 3146.91
 6250 3293.99 3237.73 3280.9 3270.88
 6250 3286.73 3203.59 3186.01 3225.44
 12500 6455.43 6501.46 6224.03 6393.64
 18750 9645.14 10066.5 9366.95 9692.88
 25000 12634.7 13811.1 12612.7 13019.5
 31250 15510.4 17419.8 15867.8 16266
 37500 18140 21167.4 19129.6 19479
 43750 21017 24814.6 22421.4 22751
 50000 23960.3 28617.7 25749.9 26109.3
 56250 27097.9 32428.3 29025.4 29517.2
 62500 30391.9 36378.7 32487.7 33086.1
 68750 33513.6 39841.5 35896.8 36417.3
 75000 36425.2 43247.1 39152.4 39608.2
 81250 39397.4 46553.1 42452.3 42800.9
 87500 42151.6 50110.1 45849.9 46037.2
 93750 44789.5 53717.3 49098.5 49201.8
 100000 47433.3 56918.5 52674.7 52342.2
 106250 49972.7 60041.3 56318.5 55444.2
 112500 52517.3 63112.7 59812.9 58481
 118750 54880.6 66246.4 63486 61537.6
 125000 57342.2 69298.5 67201.6 64614.1
 131250 59443.3 72540.5 71058.3 67680.7
 137500 61604.6 75810.7 74866.4 70760.6
 143750 63864.1 78920.8 78721.7 73835.5
 150000 65991.4 81827.9 82670.8 76830.1
 156250 68163.3 84598.2 86678 79813.2
 156250 65898.4 80722.7 79753.1 75458
 312500 125622 137986 196487 153365
 468750 199157 210696 311787 240547
 625000 289931 319034 438161 349042
 781250 388441 413163 552300 451301
 937500 464796 522752 651665 546404
 1.09375e+06 549054 611505 741022 633860
 1.25e+06 633076 729026 817290 726464
 1.40625e+06 670771 844794 892231 802599
 1.5625e+06 700974 930512 977331 869606
 1.71875e+06 743577 1.04238e+06 1.06637e+06 950777
 1.875e+06 765795 1.12515e+06 1.14975e+06 1.01356e+06
 2.03125e+06 740890 1.19295e+06 1.22956e+06 1.05447e+06
 2.1875e+06 742634 1.20538e+06 1.31968e+06 1.08923e+06
 2.34375e+06 729582 1.23772e+06 1.39176e+06 1.11969e+06
 2.5e+06 696525 1.26929e+06 1.42066e+06 1.12882e+06
 2.65625e+06 640723 1.24922e+06 1.43373e+06 1.10789e+06
 2.8125e+06 626155 1.27457e+06 1.40662e+06 1.10245e+06
 2.96875e+06 594659 1.30517e+06 1.35497e+06 1.08493e+06
 3.125e+06 546131 1.29656e+06 1.32014e+06 1.05428e+06
 3.28125e+06 506823 1.31762e+06 1.31895e+06 1.0478e+06
 3.4375e+06 419224 1.32355e+06 1.3116e+06 1.01813e+06
 3.59375e+06 321459 1.31658e+06 1.26707e+06 968372
 3.75e+06 250865 1.31e+06 1.21196e+06 924275
 3.90625e+06 216904 1.35585e+06 1.08935e+06 887367
 3.90625e+06 375004 1.26297e+06 981671 873215
 7.8125e+06 1.37321e+06 2.8222e+06 455359 1.55026e+06
