# Time-averaged data for fix TempAve
# TimeStep c_T
100 296.327
200 296.392
300 303.216
400 299.803
500 298.739
600 299.277
700 295.016
800 298.707
900 296.227
1000 297.026
1100 297.757
1200 301.06
1300 298.575
1400 298.063
1500 296.448
1600 294.777
1700 296.694
1800 298.959
1900 296.825
2000 301.675
2100 303.572
2200 299.237
2300 297.136
2400 295.274
2500 297.991
2600 298.298
2700 302.971
2800 297.176
2900 300.197
3000 298.243
3100 295.128
3200 291.993
3300 295.819
3400 298.419
3500 300.501
3600 296.673
3700 293.899
3800 293.873
3900 298.865
4000 299.795
4100 297.867
4200 296.31
4300 297.834
4400 294.123
4500 300.102
4600 300.566
4700 299.918
4800 297.616
4900 294.64
5000 296.767
5100 300.718
5200 301.585
5300 299.651
5400 297.285
5500 293.949
5600 299.642
5700 299.312
5800 300.388
5900 302.07
6000 297.416
6100 294.425
6200 298.69
6300 300.809
6400 297.148
6500 295.199
6600 293.145
6700 294.939
6800 298.537
6900 296.512
7000 301.353
7100 300.166
7200 294.23
7300 296.31
7400 299.617
7500 298.799
7600 300.319
7700 299.85
7800 294.897
7900 294.977
8000 299.525
8100 301.697
8200 299.01
8300 296.828
8400 296.019
8500 300.55
8600 302.023
8700 298.095
8800 301.143
8900 295.333
9000 295.004
9100 299.144
9200 302.024
9300 297.155
9400 295.903
9500 293.253
9600 294.519
9700 300.111
9800 299.963
9900 295.862
10000 298.841
10100 293.455
10200 294.437
10300 297.924
10400 296.799
10500 297.68
10600 300.511
10700 301.824
10800 295.393
10900 296.819
11000 298.16
11100 301.471
11200 303.719
11300 298.821
11400 294.513
11500 296.885
11600 303.089
11700 297.062
11800 296.297
11900 297.132
12000 294.395
12100 296.223
12200 297.16
12300 299.665
12400 300.733
12500 299.83
12600 297.875
12700 297.585
12800 297.016
12900 301.217
13000 298.78
13100 295.725
13200 295.291
13300 295.902
13400 296.661
13500 300.04
13600 299.347
13700 298.469
13800 296.666
13900 292.304
14000 295.186
14100 295.925
14200 301.387
14300 299.026
14400 295.611
14500 298.197
14600 291.79
14700 294.072
14800 295.055
14900 296.315
15000 299.102
15100 297.186
15200 300.988
15300 303.906
15400 301.453
15500 297.175
15600 299.549
15700 296.493
15800 295.252
15900 297.144
16000 302.25
16100 301.022
16200 295.562
16300 294.783
16400 297.39
16500 298.437
16600 298.595
16700 298.127
16800 293.557
16900 294.973
17000 294.801
17100 298.855
17200 298.905
17300 298.431
17400 297.257
17500 295.178
17600 293.273
17700 296.223
17800 297.512
17900 298.301
18000 300.437
18100 297.416
18200 290.303
18300 293.023
18400 297.757
18500 296.231
18600 298.827
18700 300.655
18800 297.297
18900 294.432
19000 296.226
19100 299.001
19200 301.446
19300 294.89
19400 293.249
19500 295.415
19600 294.874
19700 297.88
19800 298.143
19900 298.522
20000 298.025
20100 294.784
20200 295.1
20300 296.315
20400 301.751
20500 297.095
20600 295.803
20700 298.381
20800 299.54
20900 303.874
21000 297.601
21100 297.324
21200 299.783
21300 295.983
21400 295.095
21500 297.393
21600 300.179
21700 300.401
21800 297.256
21900 294.343
22000 298.199
22100 298.26
22200 304.451
22300 300.63
22400 298.85
22500 296.217
22600 299.118
22700 294.673
22800 302.985
22900 302.512
23000 299.764
23100 296.903
23200 298.114
23300 296.664
23400 297.542
23500 302.53
23600 298.287
23700 299.668
23800 297.536
23900 295.539
24000 297.942
24100 298.956
24200 298.754
24300 300.503
24400 301.141
24500 294.179
24600 298.941
24700 294.581
24800 292.281
24900 298.538
25000 299.298
25100 298.717
25200 299.414
25300 295.209
25400 294.889
25500 297.209
25600 303.065
25700 303.275
25800 298.616
25900 298.378
26000 298.707
26100 294.025
26200 293.779
26300 296.777
26400 299.762
26500 299.044
26600 298.5
26700 298.082
26800 295.385
26900 295.143
27000 304.141
27100 299.295
27200 295.57
27300 299.466
27400 298.588
27500 293.006
