# Time-averaged data for fix PEAve
# TimeStep v_PotEn
100 -20090.4
200 -20087
300 -20076.1
400 -19974.9
500 -19968.6
600 -20044.1
700 -20087
800 -20140.8
900 -20112.9
1000 -20053.1
1100 -19956.5
1200 -19968.1
1300 -19982.9
1400 -20070.6
1500 -20104.6
1600 -20067.2
1700 -20020.7
1800 -20000.3
1900 -19956.9
2000 -19985.4
2100 -19993.2
2200 -20036.7
2300 -20096.5
2400 -20102.4
2500 -20083
2600 -19993.5
2700 -20036.6
2800 -19999.8
2900 -20042.2
3000 -20066.6
3100 -20137.3
3200 -20098.9
3300 -20066.4
3400 -20049.7
3500 -20057.5
3600 -20051.1
3700 -20110.8
3800 -20122
3900 -20079.9
4000 -20061.2
4100 -20059.3
4200 -20071
4300 -20104.5
4400 -20051.5
4500 -20038.5
4600 -20005.7
4700 -20050.8
4800 -20114.3
4900 -20091.3
5000 -20066.8
5100 -20060.1
5200 -20097.1
5300 -20131.9
5400 -20126
5500 -20059
5600 -20044.6
5700 -20002.9
5800 -20028.1
5900 -20101.9
6000 -20098.6
6100 -20065.1
6200 -20056.9
6300 -20040.9
6400 -20014.9
6500 -20096.4
6600 -20132.9
6700 -20086.2
6800 -20047.4
6900 -19978.6
7000 -19991.6
7100 -20027.9
7200 -20056.7
7300 -20054.7
7400 -20042.9
7500 -20010.7
7600 -20022.4
7700 -20051.5
7800 -20076.7
7900 -20077.9
8000 -20052.9
8100 -20064.2
8200 -20074.4
8300 -20080.6
8400 -20068.1
8500 -20026.3
8600 -19972
8700 -19948.2
8800 -20050.1
8900 -20072.4
9000 -20046.9
9100 -20030
9200 -20037.4
9300 -20047.1
9400 -20121.6
9500 -20078.9
9600 -20021.5
9700 -20019.6
9800 -20022.4
9900 -20016
10000 -20101
10100 -20140.9
10200 -20138.9
10300 -20103.8
10400 -20041.1
10500 -20016.7
10600 -20035
10700 -20088.1
10800 -20045.6
10900 -20029.9
11000 -19997.7
11100 -19987.3
11200 -19986.9
11300 -20010.4
11400 -20022.5
11500 -20021.4
11600 -20033.9
11700 -19991.3
11800 -20087.1
11900 -20141.9
12000 -20099.7
12100 -20074.2
12200 -20026.5
12300 -20009.2
12400 -20027.5
12500 -20069
12600 -20080.1
12700 -20077.9
12800 -20049.8
12900 -20051.2
13000 -20025.6
13100 -20062.8
13200 -20125.7
13300 -20142.6
13400 -20056.6
13500 -20006.8
13600 -19992.8
13700 -20036
13800 -20097.3
13900 -20061.6
14000 -20022.2
14100 -19978.7
14200 -20000.1
14300 -20001.4
14400 -20026.5
14500 -20108.1
14600 -20132.8
14700 -20166.1
14800 -20115.4
14900 -20073.1
15000 -20068.1
15100 -20022.2
15200 -19989.2
15300 -19950
15400 -19986.3
15500 -19982
15600 -20027.9
15700 -20044.9
15800 -20065.3
15900 -20028.4
16000 -19999.5
16100 -20011.7
16200 -20012.1
16300 -20002.9
16400 -19997.3
16500 -19991.4
16600 -19988.7
16700 -20003
16800 -20043.5
16900 -20092.8
17000 -20018.4
17100 -19984.6
17200 -19972.5
17300 -19984.3
17400 -20024.7
17500 -20095.3
17600 -20108.6
17700 -20086.8
17800 -20058.3
17900 -20042.7
18000 -20072.1
18100 -20100.4
18200 -20122.7
18300 -20122.4
18400 -20106.6
18500 -20025.6
18600 -19997.2
18700 -19995.2
18800 -20021.7
18900 -20089
19000 -20087.4
19100 -20055.3
19200 -20060.8
19300 -20066.7
19400 -20144.2
19500 -20144.6
19600 -20074.2
19700 -20031.1
19800 -20008.3
19900 -20009.4
20000 -20014.9
20100 -20038
20200 -20062.9
20300 -19999.5
20400 -20005.5
20500 -19977.5
20600 -19987.5
20700 -19998.4
20800 -19932.2
20900 -19948.8
21000 -19951.3
21100 -19991.1
21200 -20033.2
21300 -20035.5
21400 -20054.7
21500 -19992.9
21600 -19942.8
21700 -19938.8
21800 -19966.9
21900 -19991.4
22000 -20013.1
22100 -19982.2
22200 -19957.7
22300 -19877.8
22400 -19924.4
22500 -19961.3
22600 -20012.9
22700 -19968.2
22800 -19979.1
22900 -19919.8
23000 -19956.9
23100 -19990
23200 -20026.4
23300 -20014.7
23400 -19966.9
23500 -19927.5
23600 -19896.6
23700 -19973.1
23800 -20049.2
23900 -20058.7
24000 -20047.7
24100 -20024.1
24200 -20005.1
24300 -20002.7
24400 -20029.7
24500 -20015.9
24600 -20109
24700 -20093.4
24800 -20072
24900 -20049.2
25000 -20005.7
25100 -19980.2
25200 -19988.7
25300 -20000.9
25400 -20038.8
25500 -20023
25600 -20006.7
25700 -20040.8
25800 -20057.5
25900 -20088.6
26000 -20129.6
26100 -20142.5
26200 -20146.2
26300 -20050.9
26400 -20034.2
26500 -20027.8
26600 -20072.2
26700 -20146.9
26800 -20155.2
26900 -20128.4
27000 -20111.2
27100 -20050.3
27200 -20045.4
27300 -20093.5
27400 -20109
27500 -20117.5
27600 -20124
27700 -20056.9
27800 -20039.7
27900 -20019.1
28000 -20015.9
28100 -20025.7
28200 -20030.6
28300 -20008.2
28400 -20072.4
28500 -20089.2
28600 -20071.9
28700 -20039.3
28800 -20047.2
28900 -20072.1
29000 -20115.8
29100 -20100.6
29200 -20052
29300 -20066.6
29400 -20051.8
29500 -20066.6
29600 -20056.9
29700 -20002.5
29800 -19962.7
29900 -20030.1
30000 -20066.4
30100 -20093
30200 -20088.3
30300 -20058.1
30400 -20086.4
30500 -20049.7
30600 -20017.6
30700 -20010.2
30800 -20031
30900 -20038.3
31000 -20077.4
31100 -20109.7
31200 -20110.3
31300 -20100.3
31400 -20028.8
31500 -20032.6
31600 -20044.8
31700 -20095
31800 -20137.8
31900 -20124.3
32000 -20122.8
32100 -20011.2
32200 -20008.4
32300 -19993.1
32400 -20057.6
32500 -20111.5
32600 -20160
32700 -20128.8
32800 -20073.6
32900 -20003.2
33000 -19953
33100 -19980.8
33200 -19946.1
33300 -19972.2
33400 -19927.4
33500 -19921.7
33600 -19949.2
33700 -19982
33800 -20002.4
33900 -19994.5
34000 -19990.5
34100 -20010.8
34200 -20016.4
34300 -20042.1
34400 -20036.7
34500 -20009.4
34600 -20061.2
34700 -20080.6
34800 -20032.7
34900 -19986.3
35000 -19972.2
35100 -19974.9
35200 -20019.6
35300 -20037.7
35400 -20030.8
35500 -19963.8
35600 -19966.5
35700 -19966.4
35800 -20022.7
35900 -20054.1
36000 -20031.2
36100 -19993.3
36200 -19972.6
36300 -19990.2
36400 -20025.3
36500 -20062
36600 -20067.8
36700 -20053.8
36800 -20042.6
36900 -20108.3
37000 -20117
37100 -20090.6
37200 -20086.3
37300 -20054.1
37400 -20024.4
37500 -19944.3
37600 -19908.9
37700 -19932
37800 -19942.7
37900 -20025.5
38000 -20051.6
38100 -20086.3
38200 -20076
38300 -20035
38400 -20027.7
38500 -19968.2
38600 -19995.3
38700 -20089.6
38800 -20078
38900 -20058.9
39000 -20028
39100 -20044.1
39200 -20045.7
39300 -20084.1
39400 -20069.8
39500 -20060.1
39600 -20004.5
39700 -20011.4
39800 -20031.8
39900 -20091
40000 -20123.6
40100 -20086.7
40200 -20078.4
40300 -20026.2
40400 -20108
40500 -20140.6
40600 -20158.2
40700 -20125.2
40800 -20095.4
40900 -20064.8
41000 -20029.7
41100 -20000.1
41200 -19937.7
41300 -19922.2
41400 -19934.9
41500 -19993.8
41600 -20040.9
41700 -20089.9
41800 -20106.7
41900 -20078.6
42000 -20016
42100 -20010.8
42200 -20026.2
42300 -20031.9
42400 -20032.9
42500 -19940.5
42600 -19925.7
42700 -19960.4
42800 -20022.6
42900 -20079.1
43000 -20109.5
43100 -20071.8
43200 -20033.2
43300 -20048.4
43400 -20036.8
43500 -20086.2
43600 -20114.5
43700 -20157.4
43800 -20109.1
43900 -20115.8
44000 -20061.7
44100 -20078.6
44200 -20101.3
44300 -20122.2
44400 -20112.6
44500 -20076.7
44600 -20112.8
44700 -20114.5
44800 -20130.7
44900 -20084.8
45000 -20016.3
45100 -20021.2
45200 -20062.3
45300 -20108.9
45400 -20176.8
45500 -20199.3
45600 -20242.9
45700 -20232
45800 -20181.8
45900 -20160.1
46000 -20127.1
46100 -20100.1
46200 -20093
46300 -20077.3
46400 -20088.5
46500 -20125.9
46600 -20134.7
46700 -20043
46800 -20017.3
46900 -20036.1
47000 -20090
47100 -20102.5
47200 -20130.4
47300 -20070.4
47400 -20050.7
47500 -19985.7
47600 -20022.9
47700 -20052.1
47800 -20071.8
47900 -20092.2
48000 -20094.8
48100 -20081.3
48200 -20019.6
48300 -20013.2
48400 -20074.4
48500 -20141.7
48600 -20087.7
48700 -20091.4
48800 -20052.8
48900 -20008.2
49000 -19964.3
49100 -19938.6
49200 -19973.4
49300 -19964.2
49400 -19988.2
49500 -19945.2
49600 -19980
49700 -20015.8
49800 -20068
49900 -20052
50000 -20026.9
50100 -19995.2
50200 -19979.7
50300 -20004.5
50400 -20049.3
50500 -20038.4
50600 -20067.9
50700 -20068.5
50800 -20067.1
50900 -20055.9
51000 -20029
51100 -19987
51200 -19967.3
51300 -19958.7
51400 -19962.7
51500 -19929.2
51600 -19956.8
51700 -20033.5
51800 -20030
51900 -19993.8
52000 -19982.1
52100 -19999
52200 -20021.6
52300 -20063.9
52400 -20054.4
52500 -19999.8
52600 -19946.8
52700 -19928.3
52800 -19986.2
52900 -20000.5
53000 -20042
53100 -20059.5
53200 -20055.3
53300 -20023
53400 -20054.9
53500 -20026.4
53600 -20007
53700 -20068.9
53800 -20070.2
53900 -20043.5
54000 -20043.2
54100 -20014.4
54200 -20027.2
54300 -19990.6
54400 -20023.1
54500 -20000
54600 -20085.1
54700 -20103.7
54800 -20088.5
54900 -20066.7
55000 -20053
55100 -20080.4
55200 -20131.3
55300 -20137.1
55400 -20110.7
55500 -20087
55600 -20099.2
55700 -20163
55800 -20165.4
55900 -20124.9
56000 -20113
56100 -20148.2
56200 -20149
56300 -20147.5
56400 -20113.6
56500 -20055
56600 -20079.3
56700 -20106.4
56800 -20107.2
56900 -20047.5
57000 -20046.7
57100 -20046.5
57200 -20084.9
57300 -20058
57400 -20034.2
57500 -20008.7
57600 -20003
57700 -20008.2
57800 -20017.2
57900 -20001.9
58000 -20046.6
58100 -20088.2
58200 -20084.7
58300 -20031.2
