# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
0.00806587 0	0	0	0	0	0	
0.0241976 0	0	0	0	0	0	
0.0403294 0	0	0	0	0	0	
0.0564611 0	0	0	0	0	0	
0.0725929 0	0	0	0	0	0	
0.0887246 0	0	0	0	0	0	
0.104856 0	0	0	0	0	0	
0.120988 0	0	0	0	0	0	
0.13712 0	0	0	0	0	0	
0.153252 0	0	0	0	0	0	
0.169383 0	0	0	0	0	0	
0.185515 0	0	0	0	0	0	
0.201647 0	0	0	0	0	0	
0.217779 0	0	0	0	0	0	
0.23391 0	0	0	0	0	0	
0.250042 0	0	0	0	0	0	
0.266174 0	0	0	0	0	0	
0.282306 0	0	0	0	0	0	
0.298437 0	0	0	0	0	0	
0.314569 0	0	0	0	0	0	
0.330701 0	0	0	0	0	0	
0.346833 0	0	0	0	0	0	
0.362964 0	0	0	0	0	0	
0.379096 0	0	0	0	0	0	
0.395228 0	0	0	0	0	0	
0.41136 0	0	0	0	0	0	
0.427491 0	0	0	0	0	0	
0.443623 0	0	0	0	0	0	
0.459755 0	0	0	0	0	0	
0.475887 0	0	0	0	0	0	
0.492018 0	0	0	0	0	0	
0.50815 0	0	0	0	0	0	
0.524282 0	0	0	0	0	0	
0.540414 0	0	0	0	0	0	
0.556545 0	0	0	0	0	0	
0.572677 0	0	0	0	0	0	
0.588809 0	0	0	0	0	0	
0.604941 0	0	0	0	0	0	
0.621072 0	0	0	0	0	0	
0.637204 0	0	0	0	0	0	
0.653336 0	0	0	0	0	0	
0.669468 0	0	0	0	0	0	
0.685599 0	0	0	0	0	0	
0.701731 0	0	0	0	0	0	
0.717863 0	0	0	0	0	0	
0.733995 0	0	0	0	0	0	
0.750126 0	0	0	0	0	0	
0.766258 0	0	0	0	0	0	
0.78239 0	0	0	0	0	0	
0.798522 0	0	0	0	0	0	
0.814653 0	0	0	0	0	0	
0.830785 0	0	0	0	0	0	
0.846917 0	0	0	0	0	0	
