# Time-averaged data for fix TempAve
# TimeStep c_T
45500 297.59
45600 299.936
45700 299.501
45800 299.457
45900 300.678
46000 296.246
46100 296.747
46200 294.768
46300 304.006
46400 300.244
46500 298.279
46600 297.247
46700 295.239
46800 299.499
46900 298.377
47000 298.792
47100 295.466
47200 299.116
47300 302.327
47400 300.324
47500 298.039
47600 297.46
47700 300.915
47800 295.498
47900 296.556
48000 297.484
48100 303.08
48200 300.058
48300 297.88
48400 298.378
48500 294.119
48600 296.74
48700 299.676
48800 302.363
48900 300.148
49000 297.064
49100 297.942
49200 295.518
49300 299.129
49400 301.188
49500 303.266
49600 295.348
49700 297.792
49800 300.656
49900 297.346
50000 293.85
50100 292.32
50200 297.852
50300 299.013
50400 298.091
50500 293.019
50600 300.859
50700 302.563
50800 298.453
50900 296.883
51000 296.312
51100 295.811
51200 297.304
51300 301.295
51400 300.024
51500 298.521
51600 295.168
51700 300.985
51800 296.945
51900 296.467
52000 299.549
52100 294.324
52200 298.745
52300 302.818
52400 298.333
52500 294.068
52600 295.772
52700 300.297
52800 297.856
52900 298.556
53000 296.768
53100 296.41
53200 299.032
53300 298.365
53400 299.649
53500 299.164
53600 296.5
53700 296.245
53800 295.049
53900 296.885
54000 299.703
54100 299.941
54200 295.805
54300 299.652
54400 302.163
54500 299.581
54600 296.727
54700 295.728
54800 299.715
54900 295.595
55000 300.372
55100 301.48
55200 297.972
55300 297.443
55400 294.562
55500 293.198
55600 288.11
55700 295.862
55800 295.702
55900 299.842
56000 300.435
56100 294.183
56200 297.177
56300 294.039
56400 293.39
56500 296.179
56600 299.346
56700 297.27
56800 298.988
56900 301.502
57000 298.156
57100 296.762
57200 294.69
57300 298.487
57400 300.516
57500 300.06
57600 299.613
57700 297.383
57800 291.516
57900 298.639
58000 299.424
58100 297.596
58200 298.938
58300 296.261
58400 294.689
58500 296.307
58600 301.318
58700 300.115
58800 297.834
58900 294.631
59000 298.225
59100 300.127
59200 296.22
59300 297.697
59400 301.731
59500 303.693
59600 295.925
59700 296.7
59800 296.075
59900 299.556
60000 300.484
60100 302.558
60200 298.084
60300 295.044
60400 296.659
60500 300.821
60600 300.936
60700 302.268
60800 293.834
60900 296.563
61000 301.332
61100 298.899
61200 296.623
61300 295.541
61400 292
61500 298.028
61600 297.513
61700 297.985
61800 299.247
61900 301.761
62000 294.384
62100 296.885
62200 296.811
62300 301.863
62400 302.417
62500 297.992
62600 296.172
62700 297.946
62800 299.048
62900 301.35
63000 297.353
63100 293.943
63200 293.679
63300 300.141
63400 299.329
63500 297.258
63600 297.979
63700 299.265
63800 289.671
63900 293.938
64000 298.123
64100 298.871
64200 296.879
64300 303.727
64400 298.645
64500 294.374
64600 293.224
64700 296.946
64800 299.638
64900 302.234
65000 296.288
65100 301.022
65200 297.661
65300 296.595
65400 298.644
65500 302.777
65600 301.011
65700 293.805
65800 297.694
65900 297.982
66000 302.532
66100 302.036
66200 294.483
66300 296.579
66400 296.575
66500 300.603
66600 299.791
66700 295.349
66800 297.903
66900 296.593
67000 294.273
67100 297.602
67200 302.311
67300 298.198
67400 299.191
67500 298.878
67600 298.326
67700 295.375
67800 298.025
67900 302.742
68000 301.41
68100 297.947
68200 296.632
68300 299.617
68400 297.672
68500 292.553
68600 295.145
68700 297.421
68800 300.499
68900 299.546
69000 293.837
69100 292.557
69200 290.615
69300 298.569
69400 296.458
69500 298.952
69600 298.609
69700 299.776
69800 306.167
69900 302.254
70000 299.248
70100 298.103
70200 293.928
70300 296.682
70400 301.922
70500 298.445
70600 299.059
70700 299.429
70800 295.666
70900 295.9
71000 298.576
