# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100 -16117.9 -19977.9 298.9 -189.181
200 -16096.3 -19945.3 298.048 80.827
300 -16052.9 -19922.9 299.681 197.323
400 -15997.1 -19900.1 302.232 8.30761
500 -16033.3 -19925.3 301.378 -28.5207
600 -16135.1 -19966.7 296.699 71.9066
700 -16173.9 -20044.4 299.717 -144.89
800 -16234.6 -20053.7 295.729 -161.465
900 -16265.6 -20099.3 296.873 -101.407
1000 -16239.6 -20061 295.916 20.9784
1100 -16139.6 -20009.8 299.689 19.9542
1200 -16096.9 -19991 301.546 81.7425
1300 -16146.3 -19994.7 298.008 296.775
1400 -16227.4 -20064.7 297.15 -70.1654
1500 -16271.5 -20103.7 296.745 204.549
1600 -16259.1 -20057.9 294.168 72.9136
1700 -16136.1 -20039.3 302.247 -154.083
1800 -16098.3 -19995.9 301.817 -130.916
1900 -16154.4 -20032.9 300.334 -115.414
2000 -16242.4 -20060.9 295.69 -79.6578
2100 -16253.3 -20084.7 296.693 310.453
2200 -16215.1 -20074.6 298.865 -53.9687
2300 -16139.1 -19964.6 296.233 45.553
2400 -16045.7 -19971.9 304.03 -10.3066
2500 -16098.1 -19968.3 299.694 122.721
2600 -16164.8 -19999 296.91 166.323
2700 -16188.1 -20002.9 295.402 -66.772
2800 -16149.2 -20017.2 299.525 -10.712
2900 -16047.3 -19968 303.601 95.7115
3000 -16044.4 -19946.1 302.132 317.345
3100 -16143.8 -20052 302.642 -11.6704
3200 -16222.3 -20085.9 299.182 140.022
3300 -16271.2 -20112.8 297.479 235.611
3400 -16308 -20147 297.278 6.8857
3500 -16349.4 -20160.3 295.101 -96.7894
3600 -16355.9 -20145.1 293.419 -58.6855
3700 -16261.2 -20090.4 296.518 -38.927
3800 -16185.8 -20066.1 300.477 -26.9563
3900 -16193.8 -20062.6 299.581 167.123
4000 -16269.8 -20123.1 298.381 214.171
4100 -16340.6 -20141.1 294.295 -64.9961
4200 -16323.6 -20134.9 295.127 216.576
4300 -16274.9 -20072.5 294.067 -140.252
4400 -16217.4 -20077.3 298.899 54.5061
4500 -16213.3 -20073.1 298.893 189.148
4600 -16234.3 -20081.5 297.913 108.055
4700 -16277.4 -20105.3 296.415 135.81
4800 -16354.1 -20153.1 294.179 53.6273
4900 -16359.8 -20190.9 296.663 176.039
5000 -16283.7 -20116.4 296.791 333.956
5100 -16189.6 -20062.5 299.906 -40.1035
5200 -16190.8 -20060.5 299.657 56.1561
5300 -16233.1 -20071.4 297.222 43.9069
5400 -16296.6 -20140.5 297.66 244.786
5500 -16420.4 -20206.8 293.202 141.806
5600 -16407.1 -20161.7 290.74 99.0676
5700 -16310.1 -20155.3 297.757 171.454
5800 -16272.7 -20143.4 299.734 268.075
5900 -16280.6 -20126.2 297.787 -39.569
6000 -16317.9 -20158.9 297.432 203.321
6100 -16375.7 -20141.7 291.624 65.8914
6200 -16328.4 -20139.1 295.091 221.01
6300 -16223.1 -20097.8 300.039 46.6856
6400 -16212.9 -20066.6 298.413 23.4342
6500 -16208.6 -20042.7 296.901 26.094
6600 -16158 -20057.5 301.961 184.848
6700 -16139.3 -20013.4 299.992 34.2146
6800 -16202.8 -20081.6 300.36 104.313
6900 -16295.9 -20112.1 295.506 -4.196
7000 -16299 -20103.9 294.632 52.0804
7100 -16223.9 -20073.7 298.11 177.874
7200 -16159 -20012.4 298.393 177.218
7300 -16156.8 -20042.4 300.883 137.903
7400 -16192.5 -20016.8 296.134 -23.4863
7500 -16193.1 -20059.8 299.418 -28.2341
7600 -16216.2 -20049.8 296.856 10.2416
7700 -16281.4 -20098.3 295.566 124.13
7800 -16331.7 -20148.8 295.582 -19.586
7900 -16313.1 -20103.8 293.542 -5.75887
8000 -16211.7 -20112.2 302.04 211.883
8100 -16221.2 -20071.1 298.117 190.912
8200 -16246.9 -20097.1 298.143 -163.542
8300 -16283.1 -20083.8 294.312 -31.758
8400 -16293.9 -20121.8 296.418 -17.6191
8500 -16254.8 -20108.4 298.404 -98.8227
8600 -16204.5 -20078.3 299.975 212.64
8700 -16192.1 -20085 301.448 34.4951
8800 -16279.2 -20097.8 295.704 -80.3065
8900 -16331.6 -20145.5 295.333 46.2816
9000 -16309.3 -20154.3 297.739 34.3149
9100 -16188.8 -20085.8 301.767 66.0472
9200 -16131.5 -19997.3 299.347 267.019
9300 -16159.3 -20059.9 302.043 -25.5439
9400 -16240.3 -20073.6 296.834 -186.953
9500 -16252.7 -20101.1 298.008 83.935
9600 -16249.8 -20060.6 295.09 -44.8925
9700 -16195.5 -20089.2 301.51 5.26472
9800 -16159.8 -20046.2 300.951 -48.8884
9900 -16162.1 -20020.2 298.757 -16.1702
10000 -16196.1 -20015.2 295.736 -13.3232
10100 -16190.5 -20059.4 299.59 244.861
10200 -16191.6 -20040.5 298.044 24.6529
10300 -16222.9 -20065.4 297.544 -39.4333
10400 -16273.4 -20092.1 295.705 -68.9148
10500 -16289.5 -20104.3 295.406 34.7656
10600 -16237 -20092.5 298.552 -60.8024
10700 -16148.3 -20043 301.591 307.26
10800 -16156.3 -20051.3 301.618 -7.85036
10900 -16229.6 -20080 298.158 62.8515
11000 -16263.3 -20143.6 300.481 316.251
11100 -16309.3 -20174.5 299.308 -54.5709
11200 -16367.3 -20183 295.473 -172.373
11300 -16367.5 -20152.8 293.125 -110.275
11400 -16247.1 -20102.2 298.52 208.977
11500 -16220.4 -20085.2 299.275 129.05
11600 -16244 -20095.2 298.225 -169.759
11700 -16290.6 -20142.8 298.297 57.484
11800 -16356.9 -20144.9 293.333 196.668
11900 -16328.7 -20128.3 294.226 0.640721
12000 -16212.8 -20057.4 297.709 52.8573
12100 -16172.7 -20027 298.465 18.2372
12200 -16151.1 -20002.5 298.239 -56.7913
12300 -16125.2 -19998 299.896 -188.24
12400 -16132.4 -19987.1 298.495 97.1575
12500 -16171.8 -19967 293.881 158.645
12600 -16150.4 -20007.9 298.712 131.46
12700 -16105.3 -19986.7 300.565 170.635
12800 -16100.1 -19956.6 298.632 75.5221
12900 -16109.6 -19926.2 295.543 -15.3513
13000 -16065.9 -19930.5 299.262 116.726
13100 -16028.4 -19933.7 302.411 285.653
13200 -16108.8 -19977.2 299.552 -200.603
13300 -16185.4 -19999.6 295.359 82.1435
13400 -16179.5 -20024.5 297.739 131.227
13500 -16149.3 -19993.2 297.653 246.857
13600 -16064.7 -19960.6 301.683 -10.2334
13700 -15968.1 -19876.9 302.684 77.5284
13800 -15966.7 -19840.1 299.942 -64.2907
13900 -16099.9 -19948.7 298.035 72.8899
14000 -16168.6 -19995.7 296.357 64.0107
14100 -16146 -19963.8 295.637 -74.1527
14200 -16072.1 -19957.5 300.874 70.8956
14300 -16068.9 -19968.8 301.995 -48.6731
14400 -16174.4 -20012 297.165 65.2075
14500 -16213.6 -20033.6 295.802 -2.03083
14600 -16190.2 -20054.2 299.214 -79.9344
14700 -16179.5 -20037.7 298.764 -99.0386
14800 -16209.3 -20036 296.325 -118.847
14900 -16248.1 -20042.5 293.823 -84.9858
15000 -16219.7 -20069.5 298.113 -119.698
15100 -16149.4 -20026.4 300.221 127.481
15200 -16111.4 -19992.1 300.506 63.0921
15300 -16110.9 -20014.9 302.316 129.181
15400 -16212.3 -20020.8 294.916 -43.3463
15500 -16242.7 -20069.7 296.347 -295.088
15600 -16215.1 -20066.5 298.243 -254.578
15700 -16139.6 -20019.2 300.423 -70.9153
15800 -16079.2 -19981.1 302.149 50.7594
15900 -16137.7 -19989.1 298.236 -250.307
16000 -16245.4 -20025.1 292.684 -63.0758
16100 -16246.7 -20113.9 299.463 170.204
16200 -16252.6 -20077.9 296.215 -210.343
16300 -16211 -20089.3 300.322 -148.846
16400 -16135 -20049.9 303.154 256.419
16500 -16123.8 -20038.9 303.171 230.44
16600 -16233.6 -20058.1 296.158 72.4627
16700 -16259 -20074.7 295.474 71.0345
16800 -16210.2 -20061.8 298.252 -55.1054
16900 -16156.6 -20042.4 300.904 11.3249
17000 -16169.6 -20050.5 300.524 -156.367
17100 -16280.3 -20078.4 294.111 -197.595
17200 -16297.4 -20126.8 296.539 -28.5707
17300 -16254.2 -20118.6 299.248 -41.445
