#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__met	MSD__wat	
 1000 343.097 321.891
 2000 537.648 516.358
 3000 712.762 693.67
 4000 879.683 864.109
 5000 1042.68 1031.53
 6000 1203.83 1197.61
 7000 1363.1 1362.35
 8000 1521.76 1526.45
 9000 1679.83 1690.13
 10000 1837.18 1853.41
 11000 1994.18 2016.37
 12000 2151.1 2179.12
 13000 2307.54 2341.53
 14000 2463.79 2503.64
 15000 2619.61 2665.58
 16000 2775.47 2827.57
 17000 2931.09 2989.31
 18000 3086.57 3151.13
 19000 3242.36 3312.75
 20000 3397.75 3474.17
 21000 3553.02 3635.38
 22000 3707.93 3796.52
 23000 3862.85 3957.51
 24000 4017.67 4118.35
 25000 4172.58 4279.08
 25000 4173.26 4277.02
 50000 8033.66 8280.94
 75000 11878.2 12260.6
 100000 15726.8 16247.2
 125000 19544.4 20229.3
 150000 23358.5 24205.8
 175000 27175.7 28185.3
 200000 31002.2 32174.4
 225000 34830.8 36151.9
 250000 38652.5 40110.6
 275000 42483.2 44078.2
 300000 46312.9 48053.8
 325000 50149.9 52029.7
 350000 53984.7 56005.7
 375000 57843 59983.4
 400000 61671.3 63947.6
 425000 65494.6 67896.9
 450000 69327.6 71850.2
 475000 73152.2 75797.4
 500000 76982.9 79750.3
 525000 80808.2 83686.3
 550000 84624.8 87628.1
 575000 88456.1 91583.7
 600000 92273.5 95547
 625000 96090.8 99501.5
 625000 96357.3 99484.1
 1.25e+06 191375 199078
 1.875e+06 286027 298955
 2.5e+06 382275 402057
 3.125e+06 478229 502870
 3.75e+06 575199 605185
 4.375e+06 674574 706113
 5e+06 774001 808416
 5.625e+06 873642 911774
 6.25e+06 977418 1.01774e+06
 6.875e+06 1.08295e+06 1.12237e+06
 7.5e+06 1.18308e+06 1.22326e+06
 8.125e+06 1.28188e+06 1.32491e+06
 8.75e+06 1.37239e+06 1.42661e+06
 9.375e+06 1.47704e+06 1.52759e+06
 1e+07 1.56677e+06 1.61465e+06
