#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__wat_wat	MSD__wat_met	MSD__met_met	
 1000 337.345 -160.124 123.699
 2000 548.38 -268.628 193.291
 3000 738.131 -368.862 256.414
 4000 918.957 -465.085 315.184
 5000 1093.55 -559.561 371.068
 6000 1268.26 -653.674 426.342
 7000 1440.52 -748.709 482.794
 8000 1613.02 -843.513 537.617
 9000 1784.53 -937.359 591.589
 10000 1957.43 -1032.52 647.135
 11000 2128.01 -1127.11 701.42
 12000 2297.31 -1221.62 756.713
 13000 2465.66 -1315.63 809.986
 14000 2632.13 -1409.38 863.821
 15000 2799.76 -1504.5 918.324
 16000 2964.02 -1596.45 970.591
 17000 3128 -1688.03 1022.45
 18000 3289.66 -1779.53 1074.69
 19000 3456.61 -1873.08 1127.11
 20000 3618.58 -1965.33 1180.18
 21000 3782.33 -2057.89 1233.18
 22000 3945.98 -2152.25 1287.71
 23000 4104.82 -2241.83 1338.26
 24000 4263.79 -2333.26 1390.05
 25000 4430.41 -2426.54 1442.87
 25000 4388.39 -2399.29 1425.22
 50000 8667.23 -4813.06 2783.41
 75000 12809.6 -7119.92 4077.79
 100000 17154 -9583.38 5469.91
 125000 21581.2 -12048.1 6842.38
 150000 26138.4 -14617.3 8290.64
 175000 31159.1 -17439.2 9876.83
 200000 36419.9 -20392.5 11534.7
 225000 42363.4 -23698 13372.6
 250000 47869.2 -26740.9 15056
 275000 53375.6 -29816.7 16777.2
 300000 58828.6 -32880.1 18501
 325000 64281.2 -35975.7 20247.2
 350000 69963.7 -39178.1 22058.5
 375000 75164.9 -42127.9 23722.9
 400000 80373.7 -45045.7 25364.4
 425000 85289.8 -47827.7 26938.6
 450000 90129.3 -50583.4 28514.7
 475000 94836.4 -53261.3 30030.1
 500000 99871.1 -56113.6 31639.2
 525000 104712 -58844.5 33189.1
 550000 109453 -61492.9 34672.1
 575000 114420 -64287.9 36242.7
 600000 119295 -67036 37790.7
 625000 124085 -69703.2 39270.7
 625000 123836 -70289.6 39997.5
 1.25e+06 310916 -175583 99256.9
 1.875e+06 536372 -302286 170457
 2.5e+06 727846 -409742 230784
 3.125e+06 871592 -489685 275213
 3.75e+06 967641 -543760 305663
 4.375e+06 1.13214e+06 -636680 358181
 5e+06 1.36044e+06 -764086 429230
 5.625e+06 1.5779e+06 -886884 498577
 6.25e+06 1.9181e+06 -1.08039e+06 608660
 6.875e+06 2.18818e+06 -1.23266e+06 694473
 7.5e+06 2.27312e+06 -1.2849e+06 726469
 8.125e+06 2.42553e+06 -1.37078e+06 774771
 8.75e+06 2.33676e+06 -1.31692e+06 742305
 9.375e+06 2.0526e+06 -1.1532e+06 648087
 1e+07 1.3391e+06 -751988 422501
