# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100 -16351.9
200 -16288.2
300 -16221.5
400 -16196.4
500 -16175.2
600 -16163.8
700 -16156.3
800 -16194.1
900 -16280.8
1000 -16315.7
1100 -16279.6
1200 -16171.1
1300 -16160.6
1400 -16153.8
1500 -16114.7
1600 -16187
1700 -16272.3
1800 -16242.9
1900 -16200.4
2000 -16227.4
2100 -16278.5
2200 -16290
2300 -16210.9
2400 -16136.5
2500 -16123.2
2600 -16156.7
2700 -16286.3
2800 -16294.1
2900 -16255.1
3000 -16175
3100 -16176.2
3200 -16253.5
3300 -16351.6
3400 -16326.2
3500 -16248.9
3600 -16195.8
3700 -16196.9
3800 -16282.5
3900 -16352.8
4000 -16317.5
4100 -16287.1
4200 -16217.5
4300 -16168.4
4400 -16193.2
4500 -16298.5
4600 -16363.7
4700 -16287.7
4800 -16198.5
4900 -16150.1
5000 -16104.4
5100 -16105.9
5200 -16168.4
5300 -16237.9
5400 -16198.8
5500 -16104.4
5600 -16108.8
5700 -16133.9
5800 -16224.7
5900 -16226.3
6000 -16182.1
6100 -16159.3
6200 -16174.4
6300 -16262.9
6400 -16282.8
6500 -16190.4
6600 -16132.2
6700 -16165.2
6800 -16222.2
6900 -16231.1
7000 -16215.7
7100 -16192.4
7200 -16142.4
7300 -16088.3
7400 -16158.4
7500 -16250.5
7600 -16291.6
7700 -16298.7
7800 -16218.5
7900 -16175.2
8000 -16262.3
8100 -16316.3
8200 -16297.8
8300 -16257
8400 -16192
8500 -16203.7
8600 -16312
8700 -16321.1
8800 -16278.9
8900 -16240.2
9000 -16234.5
9100 -16226
9200 -16188.3
9300 -16108.1
9400 -16031.4
9500 -16089.8
9600 -16163.1
9700 -16165.5
9800 -16155.6
9900 -16187.3
10000 -16277.3
10100 -16302.2
10200 -16207
10300 -16196.8
10400 -16260.9
10500 -16299.7
10600 -16270.4
10700 -16152.7
10800 -16108
10900 -16157
11000 -16205.7
11100 -16220.6
11200 -16167.7
11300 -16075.6
11400 -16124.5
11500 -16212.1
11600 -16251.2
11700 -16229.1
11800 -16212.9
11900 -16232.8
12000 -16183.2
12100 -16103
12200 -16131.6
12300 -16205.1
12400 -16265.9
12500 -16226.9
12600 -16105.3
12700 -16121.1
12800 -16185.5
12900 -16249.4
13000 -16201.1
13100 -16089.4
13200 -16106
13300 -16136.4
13400 -16209.9
13500 -16257.3
13600 -16208.8
13700 -16153.1
13800 -16108.6
13900 -16105.4
14000 -16178.7
14100 -16230
14200 -16173.8
14300 -16067
14400 -16115.8
14500 -16181.2
14600 -16230.7
14700 -16227.5
14800 -16170.6
14900 -16134.6
15000 -16122.3
15100 -16156.2
15200 -16219.4
15300 -16293.4
15400 -16294.1
15500 -16200.8
15600 -16112.2
15700 -16081.6
15800 -16136.1
15900 -16239.8
16000 -16248.3
16100 -16216
16200 -16146.3
16300 -16087.8
16400 -16148.9
16500 -16225.2
16600 -16161.9
16700 -16075.5
16800 -16062.5
16900 -16088.6
17000 -16102.6
17100 -16220.3
17200 -16256.7
17300 -16199.5
17400 -16166.7
17500 -16131.9
17600 -16076.4
17700 -15992.4
17800 -16046
17900 -16135
18000 -16172.7
18100 -16169.8
18200 -16126
18300 -16106.7
18400 -16152.7
18500 -16225.9
18600 -16202.7
18700 -16118
18800 -16092.6
18900 -16207.6
19000 -16262.4
19100 -16245.7
19200 -16267.4
19300 -16331.3
19400 -16277.2
19500 -16198.9
19600 -16216.7
19700 -16273.3
19800 -16280.6
19900 -16252.1
20000 -16210.8
20100 -16091.4
20200 -16074
20300 -16153.1
20400 -16199.1
20500 -16228.9
20600 -16293.8
20700 -16362.2
20800 -16331.2
20900 -16222.3
21000 -16188.2
21100 -16234.3
21200 -16280.6
21300 -16251.7
21400 -16151.8
21500 -16157.5
21600 -16204.8
21700 -16275.9
21800 -16357.4
21900 -16303.3
22000 -16241
22100 -16258.9
22200 -16278.3
22300 -16286.6
22400 -16204.2
22500 -16166.4
22600 -16227.7
22700 -16306.7
22800 -16306
22900 -16263
23000 -16205.2
23100 -16203
23200 -16269.9
23300 -16279.8
23400 -16255
23500 -16198.1
23600 -16188.6
23700 -16287.2
23800 -16340.7
23900 -16323
24000 -16259.3
24100 -16209.1
24200 -16211.4
24300 -16232.9
24400 -16290.6
24500 -16352
24600 -16322.5
24700 -16202.2
24800 -16168.8
24900 -16230.1
25000 -16301.8
25100 -16354.8
25200 -16352
25300 -16317.1
25400 -16258.5
25500 -16251.8
25600 -16246.5
25700 -16231.9
25800 -16229.6
25900 -16295.9
26000 -16314.3
26100 -16255.5
26200 -16224.2
26300 -16304.9
26400 -16330.1
26500 -16275.4
26600 -16260.3
26700 -16261.1
26800 -16278.1
26900 -16222.3
27000 -16166
27100 -16225.9
27200 -16327.2
27300 -16303.1
27400 -16270.4
27500 -16255.2
27600 -16244.5
27700 -16251.9
27800 -16289.7
27900 -16338.6
28000 -16398.2
28100 -16402.9
28200 -16276.5
28300 -16241.5
28400 -16205.6
28500 -16132.6
28600 -16131.7
28700 -16248.5
28800 -16284.3
28900 -16271.8
29000 -16313.6
29100 -16374.7
29200 -16352.5
29300 -16228.8
29400 -16173.2
29500 -16164
29600 -16239.9
29700 -16283.3
29800 -16248.9
29900 -16276.1
30000 -16392.6
30100 -16417.8
30200 -16325.6
30300 -16278.2
30400 -16252.8
30500 -16215.8
30600 -16142.8
30700 -16130.9
30800 -16226.8
30900 -16271.5
31000 -16251.1
31100 -16195.6
31200 -16167.4
31300 -16178.3
31400 -16250.1
31500 -16255.1
31600 -16225.8
31700 -16220.6
31800 -16178
31900 -16157.8
32000 -16252.3
32100 -16335.9
32200 -16279.7
32300 -16237.2
32400 -16211.8
32500 -16145.8
32600 -16050.1
32700 -16055.8
32800 -16166.5
32900 -16192.2
33000 -16177.3
33100 -16154.8
33200 -16150.7
33300 -16131
33400 -16115.2
33500 -16128.8
33600 -16196.3
33700 -16286.5
33800 -16313.7
33900 -16309.1
34000 -16301.5
34100 -16269.6
34200 -16274
34300 -16294.1
34400 -16262.1
34500 -16155.2
34600 -16136.9
34700 -16174.4
34800 -16211.9
34900 -16268.2
35000 -16328.3
35100 -16293.2
35200 -16187.5
35300 -16168.9
35400 -16203.4
35500 -16244.5
35600 -16268.6
35700 -16246
35800 -16166.8
35900 -16147.2
36000 -16211.8
36100 -16293.9
36200 -16233.7
36300 -16144
36400 -16111.4
36500 -16101.3
36600 -16177.2
36700 -16257
36800 -16246
36900 -16238
37000 -16264.6
37100 -16267.6
37200 -16336.4
37300 -16422.8
37400 -16360.7
37500 -16277.9
37600 -16227.9
37700 -16226.9
37800 -16285.8
37900 -16344.2
38000 -16310.5
38100 -16216.7
38200 -16226.4
38300 -16304.9
38400 -16357.7
38500 -16334.2
38600 -16322.2
38700 -16365.5
38800 -16358.9
38900 -16227.6
39000 -16207
39100 -16274.6
39200 -16324.7
39300 -16308.2
39400 -16176
39500 -16130
39600 -16103
39700 -16109.4
39800 -16179.1
39900 -16244.4
40000 -16205.8
40100 -16097.3
40200 -16108.4
40300 -16177.5
40400 -16213.2
40500 -16256.4
40600 -16380.1
40700 -16373.9
40800 -16305.1
40900 -16240.2
41000 -16194.5
41100 -16184.4
41200 -16252.1
41300 -16370
41400 -16400.6
41500 -16374.7
41600 -16290.1
41700 -16206
41800 -16162.4
41900 -16176.4
42000 -16199.7
42100 -16287.6
42200 -16332.9
42300 -16274
42400 -16175.1
42500 -16142.1
42600 -16129.2
42700 -16168
42800 -16249.5
42900 -16283.7
43000 -16292.7
43100 -16220.9
43200 -16140.9
43300 -16158.9
43400 -16196.5
43500 -16266.6
43600 -16343.1
43700 -16315.5
43800 -16207.8
43900 -16198.3
44000 -16205.7
44100 -16180
44200 -16213.9
44300 -16292.5
44400 -16318.4
44500 -16277.6
44600 -16188.3
44700 -16144.4
44800 -16173.3
44900 -16259.6
45000 -16346.7
45100 -16355.4
45200 -16309.4
45300 -16271.8
45400 -16247.5
45500 -16212.7
45600 -16157.4
45700 -16120.6
45800 -16104.3
45900 -16121.9
46000 -16207.4
46100 -16247.8
46200 -16232.2
46300 -16126.4
46400 -16134.3
46500 -16187.7
46600 -16208.8
46700 -16203.8
46800 -16163.6
46900 -16165.6
47000 -16177.3
47100 -16198.4
47200 -16142.7
47300 -16044.8
47400 -16068.5
47500 -16152.4
47600 -16197.7
47700 -16219.5
47800 -16260.5
47900 -16235.3
48000 -16153.4
48100 -16041.9
48200 -16055.5
48300 -16108.7
48400 -16174.4
48500 -16237.2
48600 -16202.5
48700 -16085.4
48800 -16075.3
48900 -16153.6
49000 -16225.8
49100 -16262.5
49200 -16270
49300 -16170.8
49400 -16082.4
49500 -16107.2
49600 -16177.5
49700 -16169.5
49800 -16156.3
49900 -16229.9
50000 -16319.9
50100 -16283.1
50200 -16193.7
50300 -16176.1
50400 -16188.9
50500 -16195.7
50600 -16109.7
50700 -16070
50800 -16135.2
50900 -16200.7
51000 -16209.4
51100 -16183.5
51200 -16127.4
51300 -16085.2
51400 -16110.8
51500 -16139.9
51600 -16146.6
51700 -16109.5
51800 -16123.3
51900 -16144.9
52000 -16155.4
52100 -16194.5
52200 -16167.8
52300 -16114.2
52400 -16148.9
52500 -16240.8
52600 -16231.3
52700 -16179.4
52800 -16169.3
52900 -16167.6
53000 -16193.5
53100 -16199.4
53200 -16177.2
53300 -16154.3
53400 -16126.7
53500 -16137.5
53600 -16200
53700 -16267
53800 -16302.2
53900 -16254.4
54000 -16149.8
54100 -16117.3
54200 -16127.1
54300 -16101.4
54400 -16057.2
54500 -16101.1
54600 -16197.1
54700 -16230.3
54800 -16218.5
54900 -16215.9
55000 -16124.6
55100 -16085.5
55200 -16145.1
