# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100 -16183.1 -19999.6 295.534 -184.584 0.868587
200 -16216.3 -20038.8 296.002 104.006 0.873348
300 -16199 -20050 298.205 131.376 0.877479
400 -16150.8 -20042.6 301.366 314.302 0.879903
500 -16135.5 -19996.9 299.017 -213.862 0.880189
600 -16166.1 -20002.1 297.044 181.206 0.881414
700 -16207.1 -20044.6 297.158 189.986 0.881323
800 -16241.9 -20049.2 294.819 53.6559 0.879357
900 -16226.1 -20040.6 295.386 14.664 0.87663
1000 -16131.8 -20008.4 300.189 -284.203 0.874232
1100 -16098.7 -19981.3 300.656 56.4504 0.874088
1200 -16147.5 -20003.7 298.613 87.1452 0.873691
1300 -16240.4 -20023.2 292.925 -183.447 0.873022
1400 -16220.6 -20047.5 296.339 102.013 0.873379
1500 -16184.5 -20041.1 298.637 89.0119 0.873104
1600 -16185.1 -20031.6 297.86 -44.0179 0.872008
1700 -16184.6 -20009.4 296.181 128.364 0.870884
1800 -16097.6 -19984.4 300.976 202.854 0.868792
1900 -16047.6 -19921.4 299.972 8.551 0.864717
2000 -16049.6 -19887.9 297.222 -67.8631 0.860376
2100 -16066.4 -19934.8 299.549 -422.131 0.857601
2200 -16145.8 -19985.3 297.316 -370.615 0.858768
2300 -16207.6 -19989.6 292.866 -273.417 0.863266
2400 -16158.5 -20019.3 298.964 28.3159 0.869287
2500 -16103.8 -20002.9 301.934 358.061 0.873323
2600 -16179.9 -20024.9 297.742 1.56848 0.873847
2700 -16289.7 -20109.5 295.793 31.303 0.873892
2800 -16277 -20101.1 296.12 67.9496 0.873665
2900 -16213.3 -20049.5 297.064 -16.5013 0.872978
3000 -16140.6 -20008.9 299.552 6.41257 0.872693
3100 -16106.9 -19947.8 297.43 71.9006 0.872175
3200 -16045.4 -19945.2 301.985 0.49865 0.871144
3300 -15967.3 -19904.5 304.879 155.089 0.869888
3400 -16009.7 -19845.2 297.012 -62.4305 0.867484
3500 -16098 -19937.4 297.308 -265.72 0.865905
3600 -16149.8 -19971.7 295.953 -145.605 0.866826
3700 -16147.1 -19997.2 298.137 188.139 0.868852
3800 -16123.7 -19949.6 296.264 69.3809 0.869366
3900 -15970 -19878.2 302.634 50.651 0.868806
4000 -15993.6 -19920.7 304.105 -65.0036 0.868195
4100 -16102.6 -19959.3 298.65 107.058 0.867982
4200 -16174.6 -20018.8 297.674 -174.628 0.86709
