Legend,Volume/[m^3],Box size/[m],Temperature/[K],Number of wat,Number of met,pressure/[Pa],density/[kg/m^3],molarity/[mol/l],molality/[mol/kg],viscosity shear/[Pa*s],viscosity bulk/[Pa*s],Thermal conductivity/[W/(m*K)],Self Diffusion wat/[m^2/s],Self Diffusion met/[m^2/s],Onsager watwat/[m^2/s],Onsager watmet/[m^2/s],Onsager metmet/[m^2/s]
Mean,9.49787e-26,4.562561576324935e-09,298.0018341460001,1000.0,1000.0,-160515.7163693728,875.188744,17.483279110768358,55.508435061791985,0.0010246747204524765,0.0014860609895531814,0.40066963302449726,1.7215133852005099e-09,1.677377448137573e-09,8.441714501715586e-10,-4.733961654040545e-10,2.6859977170125533e-10
std,1.7206045449199565e-29,2.755280108666737e-13,1.2168562545311543,0.0,0.0,6604420.334280104,0.15792331222459768,0.0031677289734145407,0.0,3.206768530234294e-05,0.00017927243573396414,0.027871018167242165,8.393741329274614e-12,9.953919249031379e-12,5.5773953582726265e-11,1.9330830968281825e-11,2.7752096631564934e-11
# success,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
