# Time-averaged data for fix PEAve
# TimeStep v_PotEn
100 -19903.8
200 -19858.6
300 -19969.5
400 -19971.4
500 -20022
600 -20016.7
700 -20084.5
800 -20027.8
900 -20109.7
1000 -20101.3
1100 -20125.9
1200 -20140
1300 -20074.9
1400 -20031.1
1500 -20017.3
1600 -20089.5
1700 -20158.8
1800 -20174.6
1900 -20162.1
2000 -20104.6
2100 -20045.8
2200 -20016.1
2300 -19969.8
2400 -19990.1
2500 -19998.1
2600 -20066.5
2700 -20059
2800 -20117
2900 -20124.7
3000 -20108.4
3100 -20101.6
3200 -20132.6
3300 -20141.3
3400 -20128.7
3500 -20123.4
3600 -20058.3
3700 -20023.8
3800 -20027.1
3900 -20136.3
4000 -20131.1
4100 -20150.3
4200 -20117.8
4300 -20054.3
4400 -20022.7
4500 -19995
4600 -20013.4
4700 -20126.7
4800 -20120.9
4900 -20092
5000 -20069.8
5100 -20036.6
5200 -19995.8
5300 -20018.4
5400 -19990.6
5500 -19983.2
5600 -19984.9
5700 -19989.1
5800 -19975.2
5900 -19990.2
6000 -20006.4
6100 -20043.9
6200 -20063.3
6300 -20166.4
6400 -20162
6500 -20139.2
6600 -20106.5
6700 -20087.2
6800 -20060.7
6900 -20031.1
7000 -20050.1
7100 -20094.4
7200 -20136.5
7300 -20143.7
7400 -20092.5
7500 -20039.1
7600 -20027.3
7700 -19991
7800 -20017
7900 -19922.2
8000 -19920.1
8100 -19932.4
8200 -20022.4
8300 -20019.8
8400 -20042
8500 -20046.6
8600 -20060.3
8700 -20108.8
8800 -20069.4
8900 -20054.1
9000 -20042.1
9100 -20052.3
9200 -20089.3
9300 -20135.2
9400 -20101.1
9500 -20001.7
9600 -19999.1
9700 -20001
9800 -20058.9
9900 -20071.2
10000 -20080.7
10100 -19994.3
10200 -20025.5
10300 -20043.4
10400 -20085.1
10500 -20072.5
10600 -20051.1
10700 -20012.8
10800 -19969.7
10900 -19979.4
11000 -20021.1
11100 -20076.9
11200 -20078.3
11300 -20064.7
11400 -20024.9
11500 -20028
11600 -20067.7
11700 -20083.6
11800 -20105.6
11900 -20028.7
12000 -20006.1
12100 -20023.9
12200 -20051.4
12300 -20106.6
12400 -20150.1
12500 -20158.8
12600 -20164.1
12700 -20110.2
12800 -20137.2
12900 -20139.1
13000 -20151.3
13100 -20158.2
13200 -20107.1
13300 -20055
13400 -20098.6
13500 -20107.4
13600 -20155.7
13700 -20103.2
13800 -20080.2
13900 -20024.1
14000 -20018.8
14100 -20065.7
14200 -20058.8
14300 -20025.7
14400 -20000.3
14500 -19994.3
14600 -20048.7
14700 -20106.9
14800 -20089.1
14900 -20068.5
15000 -20046.2
15100 -20055
15200 -20070.8
15300 -20101.7
15400 -20115
15500 -20084.2
15600 -20060
15700 -20085.6
15800 -20045.4
15900 -20061.5
16000 -20035.5
16100 -20049.3
16200 -20036.5
16300 -19993.2
16400 -19997.2
16500 -20034.5
16600 -20076.8
16700 -20051.1
16800 -20052.7
16900 -20022.1
17000 -20018
17100 -20028.3
17200 -20079.2
17300 -20035.2
17400 -20002.1
17500 -19961
17600 -19973.9
17700 -20028.7
17800 -20031
17900 -20047.9
18000 -19994.1
18100 -19983.2
18200 -19995.3
18300 -20080
18400 -20095
18500 -20090.8
18600 -20047.5
18700 -20018.8
18800 -20039.4
18900 -20034.7
19000 -20068.5
19100 -20063.1
19200 -20081
19300 -20088.4
19400 -20129.4
19500 -20154.9
19600 -20204.9
19700 -20149.9
19800 -20089.7
19900 -20095
20000 -20058.5
20100 -20106.3
20200 -20074.2
20300 -20064.8
20400 -20025.6
20500 -20036.3
20600 -20125.6
20700 -20160.7
20800 -20159.8
20900 -20137.7
21000 -20110.2
21100 -20120.7
21200 -20078.2
21300 -20127.9
21400 -20075.2
21500 -20058.3
21600 -20118.9
21700 -20160.3
21800 -20136.7
21900 -20126.8
22000 -20118.7
