#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 10 6.10458 6.12843 6.13133 6.12145
 20 16.7867 16.8457 16.8624 16.8316
 30 25.5462 25.6044 25.654 25.6015
 40 30.6688 30.6755 30.7702 30.7048
 50 34.7727 34.708 34.8392 34.7733
 60 41.5008 41.3598 41.5146 41.4584
 70 49.9872 49.7561 49.9434 49.8955
 80 58.9902 58.642 58.9012 58.8444
 90 67.1126 66.6302 66.9883 66.9104
 100 74.3519 73.7333 74.1728 74.086
 110 81.408 80.6468 81.1506 81.0685
 120 88.5978 87.6799 88.2474 88.175
 130 96.2044 95.121 95.7743 95.6999
 140 103.778 102.542 103.293 103.204
 150 111.3 109.933 110.763 110.665
 160 118.626 117.136 118.022 117.928
 170 125.891 124.274 125.19 125.118
 180 133.103 131.36 132.303 132.256
 190 140.148 138.26 139.258 139.222
 200 147.198 145.149 146.216 146.188
 210 154.093 151.887 153.008 152.996
 220 160.964 158.628 159.748 159.78
 230 167.73 165.288 166.365 166.461
 240 174.417 171.874 172.915 173.069
 250 181.095 178.444 179.478 179.672
 250 182.204 178.458 179.971 180.211
 500 335.526 330.288 330.356 332.057
 750 475.92 471.34 471.385 472.882
 1000 611.526 605.252 607.666 608.148
 1250 744.813 738.342 744.456 742.537
 1500 877.629 871.213 877.514 875.452
 1750 1007.81 1000.05 1010.77 1006.21
 2000 1139.46 1125.69 1144.48 1136.55
 2250 1269.99 1248.79 1277.81 1265.53
 2500 1400.34 1376.32 1412.43 1396.36
 2750 1528.96 1502.12 1544.36 1525.15
 3000 1657.41 1625.57 1676.86 1653.28
 3250 1786.89 1748.87 1809.72 1781.82
 3500 1916.93 1870.2 1942.43 1909.85
 3750 2046.07 1993.51 2074.21 2037.93
 4000 2173.99 2113.9 2206.96 2164.95
 4250 2304.33 2233.69 2342.73 2293.58
 4500 2435.62 2356.82 2474.18 2422.21
 4750 2564.27 2481.54 2605.37 2550.4
 5000 2691.43 2609.58 2734.05 2678.35
 5250 2819.41 2737.58 2865.96 2807.65
 5500 2945.34 2866.95 2995.26 2935.85
 5750 3072.06 2996.51 3125.02 3064.53
 6000 3201.65 3129.23 3256.02 3195.63
 6250 3329.22 3258.97 3390.09 3326.1
 6250 3219.88 3345.98 3328.5 3298.12
 12500 6353.86 6289.45 6371.23 6338.18
 18750 9307.11 9312.42 9300.27 9306.6
 25000 12025.9 12288.9 12252 12188.9
 31250 14613.8 15346.4 15175.1 15045.1
 37500 17320 18210.6 18238.5 17923
 43750 20012.6 21159.4 21311.2 20827.7
 50000 22577.9 24364.1 24305 23749
 56250 24959 27585.9 27546.4 26697.1
 62500 27212.9 30761.3 30726.1 29566.8
 68750 29285.6 34024.6 33977 32429.1
 75000 31619 37377.3 37163.5 35386.6
 81250 33799.8 40762.2 40860.2 38474.1
 87500 36270.2 44145.8 44791.8 41735.9
 93750 38888.4 47579.3 48729.7 45065.8
 100000 41478.7 50926 52777.9 48394.2
 106250 44153.5 54353.9 56714.1 51740.5
 112500 46658.9 57508.7 60916 55027.9
 118750 49107 60601.4 65238 58315.5
 125000 51670.2 63804.2 69568.9 61681.1
 131250 54103.9 67028.9 73734.6 64955.8
 137500 56230.9 70172.2 78121.1 68174.7
 143750 58252 73078.5 82421.2 71250.6
 150000 60163.4 75917.7 86673.9 74251.7
 156250 62087.7 78563.2 90912.4 77187.8
 156250 70149.6 82756.4 77672.3 76859.4
 312500 120718 151661 165488 145955
 468750 154701 219705 222643 199016
 625000 192776 272074 295489 253446
 781250 221220 335594 382113 312976
 937500 242755 378579 483696 368343
 1.09375e+06 253798 433234 581656 422896
 1.25e+06 253423 494497 740406 496109
 1.40625e+06 235655 579166 929874 581565
 1.5625e+06 273507 645710 1.08568e+06 668298
 1.71875e+06 276812 660313 1.21545e+06 717527
 1.875e+06 261108 689579 1.3664e+06 772363
 2.03125e+06 244669 718599 1.49569e+06 819652
 2.1875e+06 241151 692936 1.6065e+06 846863
 2.34375e+06 222409 685161 1.75527e+06 887612
 2.5e+06 218781 700058 1.88794e+06 935592
 2.65625e+06 229924 730535 1.9744e+06 978286
 2.8125e+06 235472 714369 1.96822e+06 972685
 2.96875e+06 294050 699947 2.01446e+06 1.00282e+06
 3.125e+06 332070 697116 2.07281e+06 1.034e+06
 3.28125e+06 372734 717890 2.05931e+06 1.04998e+06
 3.4375e+06 393807 745201 2.01354e+06 1.05085e+06
 3.59375e+06 433799 765244 1.97896e+06 1.05933e+06
 3.75e+06 426675 775716 1.90609e+06 1.03616e+06
 3.90625e+06 413484 787378 1.79139e+06 997416
 3.90625e+06 1.17427e+06 1.87821e+06 702485 1.25166e+06
 7.8125e+06 2690.47 7.20312e+06 1.16439e+06 2.79007e+06
