# Time-averaged data for fix TempAve
# TimeStep c_T
100 296.848
200 300.103
300 307.507
400 299.254
500 299.191
600 294.871
700 300.247
800 294.257
900 301.619
1000 298.039
1100 294.817
1200 296.643
1300 299.198
1400 301.194
1500 298.453
1600 299.572
1700 295.878
1800 295.715
1900 297.914
2000 298.042
2100 299.749
2200 303.477
2300 301.323
2400 298.035
2500 293.625
2600 300.471
2700 301.108
2800 298.711
2900 294.599
3000 296.714
3100 302
3200 302.373
3300 297.673
3400 296.553
3500 298.447
3600 298.134
3700 301.594
3800 300.675
3900 298.571
4000 294.27
4100 298.752
4200 298.976
4300 297.335
4400 302.294
4500 300.365
4600 296.44
4700 296.207
4800 290.942
4900 294.466
5000 298.91
5100 299.084
5200 297.403
5300 301.987
5400 299.285
5500 293.851
5600 295.578
5700 303.127
5800 300.925
5900 298.276
6000 298.124
6100 299.47
6200 296.045
6300 296.038
6400 291.941
6500 294.419
6600 295.984
6700 298.517
6800 299.696
6900 298.966
7000 303.915
7100 301.742
7200 297.618
7300 295.97
7400 294.811
7500 299.296
7600 300.025
7700 295.129
7800 299.771
7900 299.18
8000 304
8100 300.674
8200 301.62
8300 297.427
8400 297.777
8500 297.872
8600 296.965
8700 297.209
8800 291.734
8900 298.085
9000 300.635
9100 299.01
9200 296.192
9300 295.595
9400 295.482
9500 298.658
9600 301.028
9700 298.056
9800 297.141
9900 293.874
10000 297.967
10100 301.288
10200 303.877
10300 298.868
10400 297.754
10500 294.836
10600 297.684
10700 303.089
10800 298.733
10900 297.402
11000 298.484
11100 295.364
11200 292.368
11300 296.766
11400 297.386
11500 299.165
11600 300.042
11700 294.286
11800 294.153
11900 298.069
12000 301.825
12100 300.3
12200 295.581
12300 298.265
12400 298.932
12500 292.643
12600 295.041
12700 300.27
12800 302.354
12900 296.824
13000 294.891
13100 298.734
13200 301.861
13300 301.185
13400 299.397
13500 293.284
13600 299.733
13700 297.515
13800 298.9
13900 301.706
14000 302.184
14100 298.151
14200 295.03
14300 296.262
14400 299.099
14500 301.099
14600 300.232
14700 295.586
14800 295.454
14900 299.2
15000 300.562
15100 298.373
15200 292.389
15300 296.524
15400 302.692
15500 297.626
15600 288.428
15700 296.124
15800 298.567
15900 301.579
16000 294.595
16100 294.339
16200 302.879
16300 300.936
16400 296.89
16500 295.958
16600 296.712
16700 293.928
16800 298.772
16900 300.769
17000 299.759
17100 293.862
17200 294.795
17300 297.322
17400 302.642
17500 298.21
17600 297.174
17700 298.999
17800 292.786
17900 293.098
18000 297.844
18100 300.381
18200 298.776
18300 299.298
18400 294.623
18500 295.463
18600 296.265
18700 297.832
18800 300.889
18900 297.641
19000 297.925
19100 296.847
19200 298.925
19300 298.575
19400 298.431
19500 294.466
19600 296.659
19700 293.644
19800 298.123
19900 302.682
20000 295.737
20100 296.902
20200 296.488
20300 303.874
20400 300.7
20500 296.495
20600 298.501
20700 292.091
20800 291.702
20900 295.861
21000 299.435
21100 300.889
21200 293.256
21300 297.715
21400 300.883
21500 302.578
21600 300.93
21700 298.775
21800 295.724
21900 297.716
22000 302.14
22100 303.364
22200 296.399
22300 295.176
22400 296.695
22500 300.209
22600 299.367
22700 299.566
22800 293.825
22900 293.253
23000 297.396
23100 298.885
23200 298.804
23300 300.005
23400 298.081
23500 297.56
23600 294.825
23700 294.196
