#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__wat	MSD__met	
 1000 321.507 343.166
 2000 515.944 538.234
 3000 693.997 714.176
 4000 864.722 881.666
 5000 1031.81 1044.75
 6000 1197.57 1206.13
 7000 1362.55 1366.33
 8000 1526.66 1525.72
 9000 1690.1 1684.25
 10000 1852.97 1841.96
 11000 2015.29 1999.2
 12000 2177.14 2155.97
 13000 2338.63 2312.46
 14000 2499.98 2468.69
 15000 2660.96 2624.72
 16000 2821.67 2780.28
 17000 2982.35 2935.71
 18000 3142.7 3091.06
 19000 3303.06 3246.16
 20000 3463.29 3401.24
 21000 3623.26 3556.29
 22000 3783.03 3710.98
 23000 3942.83 3865.82
 24000 4102.56 4020.34
 25000 4262.38 4175.02
 25000 4261.76 4172.54
 50000 8235.96 8029.43
 75000 12194.1 11889.5
 100000 16145.2 15760.6
 125000 20095.3 19616.1
 150000 24040.1 23484.8
 175000 27989.8 27351.8
 200000 31938.8 31221.6
 225000 35886.3 35082
 250000 39835.2 38920.7
 275000 43775.1 42754.3
 300000 47712.1 46594.6
 325000 51659.4 50439.2
 350000 55608.9 54276.3
 375000 59564.3 58120.6
 400000 63524.6 61969.6
 425000 67485.2 65808.4
 450000 71444.6 69663.9
 475000 75412.1 73523
 500000 79372.5 77389.9
 525000 83345.8 81254.1
 550000 87314.3 85126.6
 575000 91279.7 89000.8
 600000 95234.5 92892.7
 625000 99189.6 96798.2
 625000 99196 96580.7
 1.25e+06 197509 194564
 1.875e+06 296592 291577
 2.5e+06 394107 390802
 3.125e+06 492893 488549
 3.75e+06 591259 585947
 4.375e+06 689034 685595
 5e+06 789462 787020
 5.625e+06 891394 886861
 6.25e+06 993117 988108
 6.875e+06 1.09604e+06 1.08797e+06
 7.5e+06 1.19607e+06 1.18782e+06
 8.125e+06 1.29682e+06 1.28599e+06
 8.75e+06 1.39881e+06 1.38408e+06
 9.375e+06 1.50275e+06 1.48836e+06
 1e+07 1.60262e+06 1.59408e+06
