# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
2.52451 0.364007	0.364114	0.442658	0.442347	0.505786	0.505938	
2.54064 0.599443	0.599616	0.660793	0.660325	0.696126	0.696333	
2.55677 0.92002	0.920284	0.932657	0.931997	0.909683	0.909953	
2.5729 1.32678	1.32716	1.25021	1.24933	1.1383	1.13864	
2.58903 1.81736	1.81791	1.60222	1.6011	1.37266	1.37308	
2.60516 2.3667	2.36747	1.96945	1.9681	1.60018	1.60068	
2.62129 2.95114	2.95218	2.33608	2.33453	1.80414	1.80472	
2.63742 3.53492	3.5363	2.67398	2.67228	1.98158	1.98226	
2.65355 4.08809	4.08987	2.97524	2.97343	2.12498	2.12573	
2.66968 4.5887	4.59095	3.22352	3.22167	2.22608	2.22692	
2.68582 5.00623	5.009	3.40958	3.40775	2.28541	2.28631	
2.70195 5.31762	5.32092	3.5325	3.53074	2.30937	2.31033	
2.71808 5.52685	5.53068	3.59275	3.5911	2.29313	2.29413	
2.73421 5.63136	5.63567	3.59053	3.58904	2.24348	2.2445	
2.75034 5.63935	5.64409	3.54267	3.54135	2.1732	2.17423	
2.76647 5.56298	5.56807	3.44138	3.44023	2.08527	2.08629	
2.7826 5.41784	5.4232	3.31398	3.313	1.97699	1.97799	
2.79873 5.21457	5.2201	3.1554	3.15458	1.85971	1.86068	
2.81486 4.96259	4.96818	2.98421	2.98353	1.7429	1.74383	
2.83099 4.68641	4.69199	2.79542	2.79488	1.6181	1.61899	
2.84713 4.39467	4.40016	2.61016	2.60973	1.50154	1.50237	
2.86326 4.09099	4.09633	2.42296	2.42261	1.38383	1.3846	
2.87939 3.79841	3.80355	2.23981	2.23954	1.27336	1.27409	
2.89552 3.50338	3.50828	2.06419	2.06398	1.16591	1.16657	
2.91165 3.23205	3.2367	1.8975	1.89734	1.07089	1.0715	
2.92778 2.9724	2.97678	1.74396	1.74384	0.980687	0.981246	
2.94391 2.72535	2.72946	1.60033	1.60024	0.89743	0.89794	
2.96004 2.50548	2.50932	1.46894	1.46886	0.821819	0.822283	
