# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
11200 -16282.9 -20083.6 294.308 -183.513 0.87511
11300 -16195.5 -20054.9 298.856 -150.702 0.874458
11400 -16180.1 -20026 297.805 -150.614 0.875284
11500 -16148.7 -20000.9 298.298 18.8965 0.877426
11600 -16137.9 -20053.6 303.214 11.6203 0.879852
11700 -16239.3 -20090 298.183 60.9434 0.882216
11800 -16285.4 -20104.6 295.744 80.3912 0.883934
11900 -16260.8 -20086.3 296.235 200.808 0.88461
12000 -16194.1 -20065.3 299.767 3.37237 0.883788
12100 -16112.5 -20021.8 302.724 69.0524 0.882384
12200 -16025.5 -19961 304.753 208.28 0.880011
12300 -16097.1 -19978.4 300.554 -103.377 0.876144
12400 -16194.4 -20027.3 296.803 -55.7964 0.872658
12500 -16215.4 -20055.4 297.355 -271.637 0.870201
12600 -16206.3 -20031.6 296.22 -65.2268 0.869837
12700 -16120.7 -19989.4 299.573 108.387 0.870366
12800 -16062.6 -19949.4 300.976 -93.8097 0.870297
12900 -16082.4 -19942.4 298.907 -199.134 0.870766
13000 -16167.5 -19948.7 292.8 -6.2587 0.873065
13100 -16270.9 -20089.2 295.677 -37.025 0.876293
13200 -16300.8 -20140.5 297.33 247.895 0.880071
13300 -16281 -20078.4 294.055 252.298 0.882257
13400 -16148.4 -20056.2 302.607 131.107 0.882045
13500 -16151.5 -19998.3 297.88 260.574 0.879945
13600 -16192.7 -20041.9 298.07 -227.367 0.875487
13700 -16238.7 -20026.5 293.312 -312.253 0.872466
13800 -16163.6 -20009.4 297.805 -76.2489 0.872059
13900 -16090.1 -20001.7 302.899 81.3234 0.872432
14000 -16128.1 -20005.3 300.24 113.124 0.872123
14100 -16188.4 -20044.1 298.569 -149.423 0.870726
14200 -16222.8 -20023.7 294.327 -203.282 0.870487
14300 -16176.1 -20003.2 296.358 -113.274 0.872366
14400 -16133.2 -20009.4 300.159 247.993 0.875455
14500 -16162.4 -20041.5 300.383 -10.988 0.877357
14600 -16224.7 -20073 297.997 58.0258 0.87899
14700 -16292.4 -20150.9 298.786 232.155 0.880065
14800 -16350.7 -20150.1 294.206 -26.769 0.87933
14900 -16320.6 -20109.1 293.364 -23.1324 0.878437
15000 -16275.3 -20120.1 297.72 63.0522 0.877479
15100 -16247.9 -20069.5 295.933 -37.1039 0.87616
15200 -16190 -20062.5 299.876 29.9651 0.874985
15300 -16133.3 -20009.7 300.172 -5.73124 0.873381
15400 -16102.3 -20006.4 302.321 -82.1258 0.871685
15500 -16186.5 -20019.6 296.822 -412.145 0.870842
15600 -16253.8 -20062.4 294.923 -130.356 0.873623
15700 -16241.6 -20093 298.243 66.4344 0.878466
15800 -16188.3 -20069.5 300.547 343.185 0.882507
15900 -16105 -19983 300.3 64.068 0.883757
16000 -16058.9 -19979.2 303.577 193.744 0.883933
16100 -16153.5 -20027.7 300.008 84.7326 0.882331
16200 -16249.7 -20109.9 298.924 -32.6161 0.879891
